阿泊加,a'bo'jia
原库存进货额,yuan'ku'cun'jin'huo'e
原库存零售额,yuan'ku'cun'ling'shou'e
原库存数量,yuan'ku'cun'shu'liang
原零售额,yuan'ling'shou'e
原零售价,yuan'ling'shou'jia
原零售价格,yuan'ling'shou'jia'ge
原零售金额,yuan'ling'shou'jin'e
院内感染,yuan'nei'gan'ran
原批发额,yuan'pi'fa'e
原批发价,yuan'pi'fa'jia
原批发价格,yuan'pi'fa'jia'ge
原批发金额,yuan'pi'fa'jin'e
院评比单号,yuan'ping'bi'dan'hao
原始金额,yuan'shi'jin'e
原始位置,yuan'shi'wei'zhi
原使用数,yuan'shi'yong'shu
原现值单价,yuan'xian'zhi'dan'jia
原有床数,yuan'you'chuang'shu
原有人数,yuan'you'ren'shu
原职称,yuan'zhi'cheng
原职务,yuan'zhi'wu
原子判别,yuan'zi'pan'bie
月份,yue'fen
月结日期,yue'jie'ri'qi
月结在院人数,yue'jie'zai'yuan'ren'shu
约束名称,yue'shu'ming'cheng
约束时间,yue'shu'shi'jian
运动员慎用,yun'dong'yuan'shen'yong
运算符号,yun'suan'fu'hao
允许好转,yun'xu'hao'zhuan
允许其它,yun'xu'qi'ta
允许死亡,yun'xu'si'wang
允许未愈,yun'xu'wei'yu
允许治愈,yun'xu'zhi'yu
在岗职工性质,zai'gang'zhi'gong'xing'zhi
灾害事故名称,zai'hai'shi'gu'ming'cheng
再借日期,zai'jie'ri'qi
在用科室,zai'yong'ke'shi
在用仪器,zai'yong'yi'qi
在院人数,zai'yuan'ren'shu
在职退休,zai'zhi'tui'xiu
再转科室,zai'zhuan'ke'shi
暂停标志,zan'ting'biao'zhi
暂住证号,zan'zhu'zheng'hao
脏腑小计,zang'fu'xiao'ji
早产分娩,zao'chan'fen'mian
早退次数,zao'tui'ci'shu
责任人,ze'ren'ren
责任人代码,ze'ren'ren'dai'ma
责任人员,ze'ren'ren'yuan
增加单号,zeng'jia'dan'hao
增加方式,zeng'jia'fang'shi
增加人,zeng'jia'ren
增加时间,zeng'jia'shi'jian
增加序号,zeng'jia'xu'hao
增减后进货金额,zeng'jian'hou'jin'huo'jin'e
增减后零售金额,zeng'jian'hou'ling'shou'jin'e
增减后数量,zeng'jian'hou'shu'liang
增减前进货金额,zeng'jian'qian'jin'huo'jin'e
增减前零售金额,zeng'jian'qian'ling'shou'jin'e
增减前数量,zeng'jian'qian'shu'liang
增减数量,zeng'jian'shu'liang
增减序号,zeng'jian'xu'hao
摘要,zhai'yao
占用床日,zhan'yong'chuang'ri
帐薄类别,zhang'bo'lei'bie
帐薄名称,zhang'bo'ming'cheng
帐薄序号,zhang'bo'xu'hao
帐簿序号,zhang'bu'xu'hao
帐户金额,zhang'hu'jin'e
帐户类别,zhang'hu'lei'bie
帐户密码,zhang'hu'mi'ma
帐户名称,zhang'hu'ming'cheng
帐户序号,zhang'hu'xu'hao
帐户余额,zhang'hu'yu'e
帐户支付,zhang'hu'zhi'fu
帐面数量,zhang'mian'shu'liang
照片路径,zhao'pian'lu'jing
照片文件,zhao'pian'wen'jian
折叠次数,zhe'die'ci'shu
折后年份,zhe'hou'nian'fen
折旧年限,zhe'jiu'nian'xian
折旧前现值,zhe'jiu'qian'xian'zhi
折旧日期,zhe'jiu'ri'qi
折旧时间,zhe'jiu'shi'jian
折旧算法,zhe'jiu'suan'fa
折旧序号,zhe'jiu'xu'hao
折旧月数,zhe'jiu'yue'shu
折让金额,zhe'rang'jin'e
折算百分比,zhe'suan'bai'fen'bi
蔗糖量,zhe'tang'liang
诊察费,zhen'cha'fei
诊断编码,zhen'duan'bian'ma
诊断措施,zhen'duan'cuo'shi
诊断代码,zhen'duan'dai'ma
诊断单号,zhen'duan'dan'hao
诊断符合,zhen'duan'fu'he
诊断结果,zhen'duan'jie'guo
诊断类别,zhen'duan'lei'bie
诊断名称,zhen'duan'ming'cheng
诊断判别,zhen'duan'pan'bie
诊断人,zhen'duan'ren
诊断时间,zhen'duan'shi'jian
诊断序号,zhen'duan'xu'hao
诊疗费,zhen'liao'fei
诊疗金额,zhen'liao'jin'e
诊疗小组,zhen'liao'xiao'zu
诊室名称,zhen'shi'ming'cheng
正常标志,zheng'chang'biao'zhi
正常分娩,zheng'chang'fen'mian
正常值,zheng'chang'zhi
整改措施,zheng'gai'cuo'shi
证号判别,zheng'hao'pan'bie
证号效期,zheng'hao'xiao'qi
征候编码,zheng'hou'bian'ma
征候个数,zheng'hou'ge'shu
蒸馏操作者,zheng'liu'cao'zuo'zhe
蒸馏水,zheng'liu'shui
蒸馏原料名称,zheng'liu'yuan'liao'ming'cheng
征求病人,zheng'qiu'bing'ren
征求时间,zheng'qiu'shi'jian
政治面貌,zheng'zhi'mian'mao
值班护士,zhi'ban'hu'shi
值班类别,zhi'ban'lei'bie
制备备注,zhi'bei'bei'zhu
制备工艺判断标识,zhi'bei'gong'yi'pan'duan'biao'zhi
制备日期,zhi'bei'ri'qi
指标单位,zhi'biao'dan'wei
指标名称,zhi'biao'ming'cheng
制表人,zhi'biao'ren
制表日期,zhi'biao'ri'qi
指标性质,zhi'biao'xing'zhi
指标序号,zhi'biao'xu'hao
支出层次,zhi'chu'ceng'ci
支出合计,zhi'chu'he'ji
支出名称,zhi'chu'ming'cheng
支出项目,zhi'chu'xiang'mu
值代码,zhi'dai'ma
制单工号,zhi'dan'gong'hao
制单时间,zhi'dan'shi'jian
指导意见,zhi'dao'yi'jian
制定部门,zhi'ding'bu'men
制定单位,zhi'ding'dan'wei
指定科目,zhi'ding'ke'mu
制定人,zhi'ding'ren
制定人代码,zhi'ding'ren'dai'ma
制定日期,zhi'ding'ri'qi
制定时间,zhi'ding'shi'jian
制度编号,zhi'du'bian'hao
制度类型,zhi'du'lei'xing
制度名称,zhi'du'ming'cheng
制度内容,zhi'du'nei'rong
制剂包装,zhi'ji'bao'zhuang
制剂包装费,zhi'ji'bao'zhuang'fei
制剂编号,zhi'ji'bian'hao
制剂标签使用说明,zhi'ji'biao'qian'shi'yong'shuo'ming
制剂材料费,zhi'ji'cai'liao'fei
制剂操作规范,zhi'ji'cao'zuo'gui'fan
制剂产量,zhi'ji'chan'liang
制剂方法,zhi'ji'fang'fa
制剂规格,zhi'ji'gui'ge
制剂价格,zhi'ji'jia'ge
制剂名称,zhi'ji'ming'cheng
制剂判别,zhi'ji'pan'bie
制剂批次,zhi'ji'pi'ci
制剂批号,zhi'ji'pi'hao
制剂日期,zhi'ji'ri'qi
制剂入库标志,zhi'ji'ru'ku'biao'zhi
制剂效期,zhi'ji'xiao'qi
制剂总数量,zhi'ji'zong'shu'liang
质检单号,zhi'jian'dan'hao
质检费,zhi'jian'fei
质检类型,zhi'jian'lei'xing
质检明细,zhi'jian'ming'xi
质检人,zhi'jian'ren
质检日期,zhi'jian'ri'qi
质检序号,zhi'jian'xu'hao
质检指标,zhi'jian'zhi'biao
质控护士,zhi'kong'hu'shi
质控数值,zhi'kong'shu'zhi
质控项目编码,zhi'kong'xiang'mu'bian'ma
质控医师,zhi'kong'yi'shi
值类型,zhi'lei'xing
质量标准,zhi'liang'biao'zhun
治疗方案调整,zhi'liao'fang'an'tiao'zheng
治疗费,zhi'liao'fei
治疗结果,zhi'liao'jie'guo
治疗结束日期,zhi'liao'jie'shu'ri'qi
治疗开始日期,zhi'liao'kai'shi'ri'qi
治疗类别,zhi'liao'lei'bie
治疗效果,zhi'liao'xiao'guo
治疗原则,zhi'liao'yuan'ze
值名称,zhi'ming'cheng
支票号码,zhi'piao'hao'ma
支票金额,zhi'piao'jin'e
支票张数,zhi'piao'zhang'shu
指示剂,zhi'shi'ji
制糖浆者,zhi'tang'jiang'zhe
职务,zhi'wu
执行标志,zhi'xing'biao'zhi
执行窗口,zhi'xing'chuang'kou
执行对象,zhi'xing'dui'xiang
执行工号,zhi'xing'gong'hao
执行科室,zhi'xing'ke'shi
执行判别,zhi'xing'pan'bie
执行人员,zhi'xing'ren'yuan
执行日期,zhi'xing'ri'qi
执行时间,zhi'xing'shi'jian
执行序列,zhi'xing'xu'lie
执行医生,zhi'xing'yi'sheng
执行员工,zhi'xing'yuan'gong
职业代码,zhi'ye'dai'ma
治愈出院,zhi'yu'chu'yuan
治愈人数,zhi'yu'ren'shu
制造厂商,zhi'zao'chang'shang
中标号,zhong'biao'hao
重点评价,zhong'dian'ping'jia
中毒人数,zhong'du'ren'shu
中件数,zhong'jian'shu
肿瘤编码,zhong'liu'bian'ma
中文名称,zhong'wen'ming'cheng
中西治疗,zhong'xi'zhi'liao
中药材前处理,zhong'yao'cai'qian'chu'li
中药方,zhong'yao'fang
中药费,zhong'yao'fei
中药权限,zhong'yao'quan'xian
中医编码,zhong'yi'bian'ma
中医辩证,zhong'yi'bian'zheng
中医方药,zhong'yi'fang'yao
中医门出,zhong'yi'men'chu
中医门诊,zhong'yi'men'zhen
中医入出,zhong'yi'ru'chu
中医入院,zhong'yi'ru'yuan
中医治法,zhong'yi'zhi'fa
中医治疗,zhong'yi'zhi'liao
中医主病,zhong'yi'zhu'bing
中医主证,zhong'yi'zhu'zheng
终止发票,zhong'zhi'fa'piao
终止号码,zhong'zhi'hao'ma
终止日期,zhong'zhi'ri'qi
终止时间,zhong'zhi'shi'jian
终止收据,zhong'zhi'shou'ju
主标题,zhu'biao'ti
主标题加粗,zhu'biao'ti'jia'cu
主标题加下划线,zhu'biao'ti'jia'xia'hua'xian
主标题斜体,zhu'biao'ti'xie'ti
主标题字号,zhu'biao'ti'zi'hao
主标题字体,zhu'biao'ti'zi'ti
主标题字体颜色,zhu'biao'ti'zi'ti'yan'se
主病编码,zhu'bing'bian'ma
主病转归,zhu'bing'zhuan'gui
注册编号,zhu'ce'bian'hao
注册人,zhu'ce'ren
注册日期,zhu'ce'ri'qi
注册时间,zhu'ce'shi'jian
注册失效日期,zhu'ce'shi'xiao'ri'qi
注册数量,zhu'ce'shu'liang
注册证号,zhu'ce'zheng'hao
助产情况,zhu'chan'qing'kuang
主持人,zhu'chi'ren
主持人员,zhu'chi'ren'yuan
贮存期限,zhu'cun'qi'xian
煮沸时间起止,zhu'fei'shi'jian'qi'zhi
主管部门经办人,zhu'guan'bu'men'jing'ban'ren
主管部门审批日期,zhu'guan'bu'men'shen'pi'ri'qi
主管部门意见,zhu'guan'bu'men'yi'jian
主管意见,zhu'guan'yi'jian
助记代码,zhu'ji'dai'ma
助记妈,zhu'ji'ma
煮煎时间起止,zhu'jian'shi'jian'qi'zhi
主任医生,zhu'ren'yi'sheng
主任医师,zhu'ren'yi'shi
注射后体温,zhu'she'hou'ti'wen
注射时间时分,zhu'she'shi'jian'shi'fen
注射收费,zhu'she'shou'fei
助手,zhu'shou
主题,zhu'ti
主题简介,zhu'ti'jian'jie
注销标志,zhu'xiao'biao'zhi
主要情况,zhu'yao'qing'kuang
主要诊断,zhu'yao'zhen'duan
注意事项,zhu'yi'shi'xiang
住院病区,zhu'yuan'bing'qu
住院费,zhu'yuan'fei
住院费用,zhu'yuan'fei'yong
住院归并,zhu'yuan'gui'bing
住院号,zhu'yuan'hao
住院号码,zhu'yuan'hao'ma
住院记录,zhu'yuan'ji'lu
住院检查申请单,zhu'yuan'jian'cha'shen'qing'dan
住院科室,zhu'yuan'ke'shi
住院人数,zhu'yuan'ren'shu
住院使用,zhu'yuan'shi'yong
住院天数,zhu'yuan'tian'shu
住院危重病人抢救成功数,zhu'yuan'wei'zhong'bing'ren'qiang'jiu'cheng'gong'shu
住院危重病人抢救人数,zhu'yuan'wei'zhong'bing'ren'qiang'jiu'ren'shu
住院医生,zhu'yuan'yi'sheng
住院医师,zhu'yuan'yi'shi
住院主诊,zhu'yuan'zhu'zhen
主诊标志,zhu'zhen'biao'zhi
主证编码,zhu'zheng'bian'ma
主证转归,zhu'zheng'zhuan'gui
住址,zhu'zhi
主治疗效,zhu'zhi'liao'xiao
主治医生,zhu'zhi'yi'sheng
主治医师,zhu'zhi'yi'shi
转存判别,zhuan'cun'pan'bie
转归情况,zhuan'gui'qing'kuang
转规情况,zhuan'gui'qing'kuang
转后科室,zhuan'hou'ke'shi
转后医生,zhuan'hou'yi'sheng
专家标志,zhuan'jia'biao'zhi
专家费用,zhuan'jia'fei'yong
专家金额,zhuan'jia'jin'e
专家门诊,zhuan'jia'men'zhen
专家判别,zhuan'jia'pan'bie
专家人次,zhuan'jia'ren'ci
专家收入,zhuan'jia'shou'ru
专科标志,zhuan'ke'biao'zhi
转科病区,zhuan'ke'bing'qu
转科床号,zhuan'ke'chuang'hao
转科次数,zhuan'ke'ci'shu
转科科室,zhuan'ke'ke'shi
转科情况,zhuan'ke'qing'kuang
专科人次,zhuan'ke'ren'ci
转科日期,zhuan'ke'ri'qi
转科时间,zhuan'ke'shi'jian
专科收入,zhuan'ke'shou'ru
转科原因,zhuan'ke'yuan'yin
转科状态,zhuan'ke'zhuang'tai
转前科室,zhuan'qian'ke'shi
转前医生,zhuan'qian'yi'sheng
转往科室,zhuan'wang'ke'shi
转往他科,zhuan'wang'ta'ke
专业论著,zhuan'ye'lun'zhu
转移工号,zhuan'yi'gong'hao
转移日期,zhuan'yi'ri'qi
转移数量,zhuan'yi'shu'liang
转院人数,zhuan'yuan'ren'shu
状态,zhuang'tai
状态标志,zhuang'tai'biao'zhi
状态检测周期,zhuang'tai'jian'ce'zhou'qi
资产编号,zi'chan'bian'hao
资产单位,zi'chan'dan'wei
资产类别,zi'chan'lei'bie
资产名称,zi'chan'ming'cheng
资产年号,zi'chan'nian'hao
资产数量,zi'chan'shu'liang
资产图片,zi'chan'tu'pian
资产现值,zi'chan'xian'zhi
资产序号,zi'chan'xu'hao
资产原值,zi'chan'yuan'zhi
资产状态,zi'chan'zhuang'tai
自带条码,zi'dai'tiao'ma
自定义床位,zi'ding'yi'chuang'wei
字段类型,zi'duan'lei'xing
字段描述,zi'duan'miao'shu
字段序号,zi'duan'xu'hao
自费金额,zi'fei'jin'e
自费判别,zi'fei'pan'bie
自负比例,zi'fu'bi'li
自负点金额,zi'fu'dian'jin'e
自负合计,zi'fu'he'ji
自负金额,zi'fu'jin'e
自负判别,zi'fu'pan'bie
资金偿还能力,zi'jin'chang'huan'neng'li
资金来源,zi'jin'lai'yuan
自理金额,zi'li'jin'e
自身编号,zi'shen'bian'hao
子孙科室,zi'sun'ke'shi
子孙项目,zi'sun'xiang'mu
子孙性质,zi'sun'xing'zhi
子孙支出,zi'sun'zhi'chu
自选产地,zi'xuan'chan'di
自制中药,zi'zhi'zhong'yao
总费用,zong'fei'yong
总分,zong'fen
总工作量,zong'gong'zuo'liang
综合费用率,zong'he'fei'yong'lv
综合评价总计,zong'he'ping'jia'zong'ji
总计金额,zong'ji'jin'e
总计缺勤,zong'ji'que'qin
纵向坐标,zong'xiang'zuo'biao
组成食物编号,zu'cheng'shi'wu'bian'hao
组成食物的数量,zu'cheng'shi'wu'de'shu'liang
组成食物食部,zu'cheng'shi'wu'shi'bu
组套编号,zu'tao'bian'hao
组套类别,zu'tao'lei'bie
组套名称,zu'tao'ming'cheng
最大长度,zui'da'chang'du
最低标准,zui'di'biao'zhun
最高标准,zui'gao'biao'zhun
最高体温,zui'gao'ti'wen
最后刷新时间,zui'hou'shua'xin'shi'jian
最小包装,zui'xiao'bao'zhuang
最小长度,zui'xiao'chang'du
最小单位,zui'xiao'dan'wei
最小计价单位,zui'xiao'ji'jia'dan'wei
最小周期,zui'xiao'zhou'qi
遵章守纪,zun'zhang'shou'ji
作废标志,zuo'fei'biao'zhi
作废发票,zuo'fei'fa'piao
作废工号,zuo'fei'gong'hao
作废金额,zuo'fei'jin'e
作废判别,zuo'fei'pan'bie
作废人,zuo'fei'ren
作废日期,zuo'fei'ri'qi
作废时间,zuo'fei'shi'jian
座位号码,zuo'wei'hao'ma
