阿达帕林,a'da'pa'lin
恰加斯病,qia'jia'si'bing
钱币状融合性乳头瘤病,qian'bi'zhuang'rong'he'xing'ru'tou'liu'bing
钱币状湿疹,qian'bi'zhuang'shi'zhen
钱币状银屑病,qian'bi'zhuang'yin'xie'bing
钱币状掌跖角化病,qian'bi'zhuang'zhang'zhi'jiao'hua'bing
浅表化脓型腺性唇炎,qian'biao'hua'nong'xing'xian'xing'chun'yan
浅表性皮肤脂肪瘤痣,qian'biao'xing'pi'fu'zhi'fang'liu'zhi
前带现象,qian'dai'xian'xiang
嵌甲,qian'jia
前胶原肽,qian'jiao'yuan'tai
牵拉性脱发,qian'la'xing'tuo'fa
浅色脂溢性角化病,qian'se'zhi'yi'xing'jiao'hua'bing
前生长期,qian'sheng'zhang'qi
钳形甲综合征,qian'xing'jia'zong'he'zheng
钱癣样雅司,qian'xuan'yang'ya'si
迁移性结节性红斑,qian'yi'xing'jie'jie'xing'hong'ban
潜蚤病,qian'zao'bing
羟基脲,qiang'ji'niao
羟甲基纤维素,qiang'jia'ji'xian'wei'su
羟甲烯龙,qiang'jia'xi'long
羟甲氧苯酮,qiang'jia'yang'ben'tong
腔口部皮肤结核,qiang'kou'bu'pi'fu'jie'he
强力霉素,qiang'li'mei'su
羟磷灰石,qiang'lin'hui'shi
羟嗪,qiang'qin
羟乙基纤维素,qiang'yi'ji'xian'wei'su
强直舌,qiang'zhi'she
强直性脊椎炎,qiang'zhi'xing'ji'zhui'yan
桥斑蛋白,qiao'ban'dan'bai
桥斑珠蛋白,qiao'ban'zhu'dan'bai
桥粒,qiao'li
桥粒芯糖蛋白,qiao'li'xin'tang'dan'bai
撬毛,qiao'mao
桥粘素,qiao'zhan'su
亲表皮性,qin'biao'pi'xing
侵蚀性溃疡,qin'shi'xing'kui'yang
侵袭性指趾乳头状腺瘤,qin'xi'xing'zhi'zhi'ru'tou'zhuang'xian'liu
庆大霉素,qing'da'mei'su
氢化可的松,qing'hua'ke'di'song
氢化可的松丁酸酯,qing'hua'ke'di'song'ding'suan'zhi
氢化可的松戊酸酯,qing'hua'ke'di'song'wu'suan'zhi
氢醌,qing'kun
青霉素,qing'mei'su
青霉素钾盐,qing'mei'su'jia'yan
青年弹性瘤,qing'nian'tan'xing'liu
青少年春季疹,qing'shao'nian'chun'ji'zhen
青少年丘疹性皮疹,qing'shao'nian'qiu'zhen'xing'pi'zhen
氢氧化钙,qing'yang'hua'gai
氢氧化假,qing'yang'hua'jia
氢氧化钠,qing'yang'hua'na
鲭鱼类中毒所致潮红综合症,qing'yu'lei'zhong'du'suo'zhi'chao'hong'zong'he'zheng
轻症痒疹,qing'zheng'yang'zhen
青紫性血栓性静脉炎,qing'zi'xing'xue'shuan'xing'jing'mai'yan
球孢子菌病,qiu'bao'zi'jun'bing
巯基鸟嘌呤,qiu'ji'niao'piao'ling
巯基嘌呤,qiu'ji'piao'ling
球拍状甲,qiu'pai'zhuang'jia
丘疱疹,qiu'pao'zhen
秋水仙碱,qiu'shui'xian'jian
巯氧吡啶锌,qiu'yang'bi'ding'xin
丘疹,qiu'zhen
丘疹坏死性结核,qiu'zhen'huai'si'xing'jie'he
丘疹坏死性结核疹,qiu'zhen'huai'si'xing'jie'he'zhen
丘疹水疱肢端局限性综合征,qiu'zhen'shui'pao'zhi'duan'ju'xian'xing'zong'he'zheng
丘疹性痤疮,qiu'zhen'xing'cuo'chuang
丘疹性红斑,qiu'zhen'xing'hong'ban
丘疹性红皮病,qiu'zhen'xing'hong'pi'bing
丘疹性粘蛋白病,qiu'zhen'xing'nian'dan'bai'bing
丘疹性软下疳,qiu'zhen'xing'ruan'xia'gan
丘疹性荨麻疹,qiu'zhen'xing'xun'ma'zhen
丘疹性掌跖角化症,qiu'zhen'xing'zhang'zhi'jiao'hua'zheng
丘疹紫癜性手套和短袜样综合征,qiu'zhen'zi'dian'xing'shou'tao'he'duan'wa'yang'zong'he'zheng
巯唑嘌呤,qiu'zuo'piao'ling
曲安萘德,qu'an'nai'de
曲安西龙,qu'an'xi'long
区带,qu'dai
取代对位苯二胺,qu'dai'dui'wei'ben'er'an
曲古霉素,qu'gu'mei'su
曲骨霉素,qu'gu'mei'su
趋化机能不全综合征,qu'hua'ji'neng'bu'quan'zong'he'zheng
趋化性,qu'hua'xing
曲霉病,qu'mei'bing
曲尼司特,qu'ni'si'te
曲普利啶,qu'pu'li'ding
去氢异雄甾酮,qu'qing'yi'xiong'zai'tong
曲酸,qu'suan
曲他胺,qu'ta'an
去纤维蛋白综合症,qu'xian'wei'dan'bai'zong'he'zheng
去氧米松,qu'yang'mi'song
去乙酰甲基秋水仙碱,qu'yi'xian'jia'ji'qiu'shui'xian'jian
全白甲,quan'bai'jia
颧部褐青色痣,quan'bu'he'qing'se'zhi
全层萎缩,quan'ceng'wei'suo
全甲分离,quan'jia'fen'li
全浆分泌,quan'jiang'fen'mi
全身偏侧萎缩,quan'shen'pian'ce'wei'suo
全身性皮肤松弛症,quan'shen'xing'pi'fu'song'chi'zheng
全身性瘙痒病,quan'shen'xing'sao'yang'bing
全身性粟粒性皮肤结核,quan'shen'xing'su'li'xing'pi'fu'jie'he
全身性脂肪萎缩,quan'shen'xing'zhi'fang'wei'suo
醛缩酶,quan'suo'mei
全秃,quan'tu
全萎缩,quan'wei'suo
全血细胞减少及多发性畸形,quan'xue'xi'bao'jian'shao'ji'duo'fa'xing'ji'xing
雀斑,que'ban
炔雌醇,que'ci'chun
缺铁性节段性灰发,que'tie'xing'jie'duan'xing'hui'fa
缺铁性吞咽困难综合症,que'tie'xing'tun'yan'kun'nan'zong'he'zheng
缺血性肌挛缩,que'xue'xing'ji'luan'suo
染色体疏松抗原,ran'se'ti'shu'song'kang'yuan
热带汗闭性衰竭,re'dai'han'bi'xing'shuai'jie
热带溃疡,re'dai'kui'yang
热带利士曼原虫,re'dai'li'shi'man'yuan'chong
热带莓疮,re'dai'mei'chuang
热带念珠菌,re'dai'nian'zhu'jun
热荨麻疹,re'xun'ma'zhen
韧带样瘤,ren'dai'yang'liu
壬二酸,ren'er'suan
人工皮炎,ren'gong'pi'yan
人工性脂膜炎,ren'gong'xing'zhi'mo'yan
人工银屑病,ren'gong'yin'xie'bing
人工紫癜,ren'gong'zi'dian
人猴痘,ren'hou'dou
人类单纯疱疹病毒,ren'lei'dan'chun'pao'zhen'bing'du
人类免疫缺陷病毒,ren'lei'mian'yi'que'xian'bing'du
人类尾巴,ren'lei'wei'ba
人乳头瘤病毒,ren'ru'tou'liu'bing'du
妊娠毒血疹,ren'shen'du'xue'zhen
妊娠多形疹,ren'shen'duo'xing'zhen
妊娠疱疹,ren'shen'pao'zhen
妊娠纹,ren'shen'wen
妊娠性丘疹性皮炎,ren'shen'xing'qiu'zhen'xing'pi'yan
妊娠性痒疹,ren'shen'xing'yang'zhen
妊娠中毒性红斑,ren'shen'zhong'du'xing'hong'ban
任意运动,ren'yi'yun'dong
日光性唇炎,ri'guang'xing'chun'yan
日光性甲分离,ri'guang'xing'jia'fen'li
日光性角化病,ri'guang'xing'jiao'hua'bing
日光性弹性纤维病,ri'guang'xing'tan'xing'xian'wei'bing
日光性荨麻疹,ri'guang'xing'xun'ma'zhen
日光性紫癜,ri'guang'xing'zi'dian
日晒病,ri'shai'bing
融合性网状乳头瘤病,rong'he'xing'wang'zhuang'ru'tou'liu'bing
溶胶原纤维酶,rong'jiao'yuan'xian'wei'mei
绒毛膜促性腺激素,rong'mao'mo'cu'xing'xian'ji'su
溶弹性纤维酶,rong'tan'xing'xian'wei'mei
溶血性链球菌性坏疽,rong'xue'xing'lian'qiu'jun'xing'huai'ju
溶液,rong'ye
容易挫伤综合征,rong'yi'cuo'shang'zong'he'zheng
溶组织阿米巴,rong'zu'zhi'a'mi'ba
鞣酸,rou'suan
肉芽肿病,rou'ya'zhong'bing
肉芽肿荚膜杆菌,rou'ya'zhong'jia'mo'gan'jun
肉芽肿性棒状杆菌,rou'ya'zhong'xing'bang'zhuang'gan'jun
肉芽肿性唇炎,rou'ya'zhong'xing'chun'yan
肉芽肿性酒渣鼻,rou'ya'zhong'xing'jiu'zha'bi
肉芽肿性巨唇炎,rou'ya'zhong'xing'ju'chun'yan
褥疮,ru'chuang
乳房部位弹性纤维痣,ru'fang'bu'wei'tan'xing'xian'wei'zhi
乳房外湿疹样癌,ru'fang'wai'shi'zhen'yang'ai
乳剂,ru'ji
乳碱综合征,ru'jian'zong'he'zheng
乳酸,ru'suan
乳酸脱氢酶,ru'suan'tuo'qing'mei
乳头导管菜花样乳头状瘤病,ru'tou'dao'guan'cai'hua'yang'ru'tou'zhuang'liu'bing
乳头多空病毒,ru'tou'duo'kong'bing'du
乳头瘤病毒,ru'tou'liu'bing'du
乳头糜烂性腺瘤病,ru'tou'mi'lan'xing'xian'liu'bing
乳头乳晕角化过度症,ru'tou'ru'yun'jiao'hua'guo'du'zheng
乳头状汗管囊腺瘤,ru'tou'zhuang'han'guan'nang'xian'liu
乳头状汗管囊腺瘤痣,ru'tou'zhuang'han'guan'nang'xian'liu'zhi
乳头状汗腺瘤,ru'tou'zhuang'han'xian'liu
乳头状汗腺腺瘤,ru'tou'zhuang'han'xian'xian'liu
乳头状狼疮,ru'tou'zhuang'lang'chuang
软膏剂,ruan'gao'ji
软骨发育异常血管瘤综合症,ruan'gu'fa'yu'yi'chang'xue'guan'liu'zong'he'zheng
软骨毛发发育不良综合征,ruan'gu'mao'fa'fa'yu'bu'liang'zong'he'zheng
软骨毛发发育不全,ruan'gu'mao'fa'fa'yu'bu'quan
软骨胚叶发育不良,ruan'gu'pei'ye'fa'yu'bu'liang
软骨皮肤角膜营养不良综合症,ruan'gu'pi'fu'jiao'mo'ying'yang'bu'liang'zong'he'zheng
软骨性痣,ruan'gu'xing'zhi
软骨样汗管瘤,ruan'gu'yang'han'guan'liu
软骨营养不良血管瘤综合症,ruan'gu'ying'yang'bu'liang'xue'guan'liu'zong'he'zheng
软瘊,ruan'hou
软甲,ruan'jia
软下疳,ruan'xia'gan
软纤维瘤,ruan'xian'wei'liu
蚋叮咬,rui'ding'yao
萨拉霉素,sa'la'mei'su
萨罗,sa'luo
噻康唑,sai'kang'zuo
噻氯匹啶,sai'lv'pi'ding
噻替派,sai'ti'pai
三叉神经营养性损害,san'cha'shen'jing'ying'yang'xing'sun'hai
三叉神经营养性综合症,san'cha'shen'jing'ying'yang'xing'zong'he'zheng
散发性斑疹伤寒,san'fa'xing'ban'zhen'shang'han
三氯醋酸,san'lv'cu'suan
三体综合征,san'ti'zong'he'zheng
三体综合症,san'ti'zong'he'zheng
三乙基金膦化物,san'yi'ji'jin'lin'hua'wu
伞状,san'zhuang
三唑仑,san'zuo'lun
桑毛虫皮炎,sang'mao'chong'pi'yan
桑椹齿,sang'shen'chi
瘙痒病,sao'yang'bing
瘙痒性紫癜,sao'yang'xing'zi'dian
色氨酸吡咯酶缺乏,se'an'suan'bi'luo'mei'que'fa
色甘酸二钠,se'gan'suan'er'na
色甘酸钠,se'gan'suan'na
色汗症,se'han'zheng
色基,se'ji
色素沉着息肉综合征,se'su'chen'zhuo'xi'rou'zong'he'zheng
色素失禁症,se'su'shi'jin'zheng
色素细胞痣综合症,se'su'xi'bao'zhi'zong'he'zheng
色素性类脂质组织细胞病,se'su'xing'lei'zhi'zhi'zu'zhi'xi'bao'bing
色素性毛表皮痣,se'su'xing'mao'biao'pi'zhi
色素性毛囊囊肿,se'su'xing'mao'nang'nang'zhong
色素性玫瑰疹,se'su'xing'mei'gui'zhen
色素性玫瑰诊,se'su'xing'mei'gui'zhen
色素性疣疹,se'su'xing'you'zhen
色素性紫癜性皮肤病,se'su'xing'zi'dian'xing'pi'fu'bing
色痣,se'zhi
沙雷菌属,sha'lei'jun'shu
沙利度胺,sha'li'du'an
砂砾样瘢痕,sha'li'yang'ban'hen
沙门菌属感染肠热症的皮肤表现,sha'men'jun'shu'gan'ran'chang're'zheng'de'pi'fu'biao'xian
沙漠疮,sha'mo'chuang
杀念珠菌素,sha'nian'zhu'jun'su
闪光泵染料,shan'guang'beng'ran'liao
珊瑚割伤,shan'hu'ge'shang
陕西金兰皮肤病研究所,shan'xi'jin'lan'pi'fu'bing'yan'jiu'suo
上层突然坏死松解,shang'ceng'tu'ran'huai'si'song'jie
上皮样癌,shang'pi'yang'ai
上皮样肉瘤,shang'pi'yang'rou'liu
上皮样细胞组织细胞瘤,shang'pi'yang'xi'bao'zu'zhi'xi'bao'liu
上皮样血管瘤病,shang'pi'yang'xue'guan'liu'bing
烧伤,shao'shang
蛇床子,she'chuang'zi
舌的静脉曲张,she'de'jing'mai'qu'zhang
舌热症,she're'zheng
舌乳头萎缩,she'ru'tou'wei'suo
舌舐皮炎,she'shi'pi'yan
舌痛症,she'tong'zheng
舌下静脉曲张,she'xia'jing'mai'qu'zhang
麝香草脑,she'xiang'cao'nao
蛇行状银屑病,she'xing'zhuang'yin'xie'bing
舌炎,she'yan
舌灼症,she'zhuo'zheng
深部化脓型腺性唇炎,shen'bu'hua'nong'xing'xian'xing'chun'yan
深部粟粒疹,shen'bu'su'li'zhen
深部硬斑病,shen'bu'ying'ban'bing
渗出性多形红斑,shen'chu'xing'duo'xing'hong'ban
渗出性盘状及苔藓样皮炎,shen'chu'xing'pan'zhuang'ji'tai'xian'yang'pi'yan
渗出性神经性皮炎,shen'chu'xing'shen'jing'xing'pi'yan
砷角化病,shen'jiao'hua'bing
神经管,shen'jing'guan
神经官能病性表皮剥脱,shen'jing'guan'neng'bing'xing'biao'pi'bo'tuo
神经脊,shen'jing'ji
神经内膜,shen'jing'nei'mo
神经皮肤病,shen'jing'pi'fu'bing
神经皮肤黑变病,shen'jing'pi'fu'hei'bian'bing
神经皮肤黑素母细胞增多症,shen'jing'pi'fu'hei'su'mu'xi'bao'zeng'duo'zheng
神经皮肤综合症,shen'jing'pi'fu'zong'he'zheng
神经束膜,shen'jing'shu'mo
神经肽性肢端感觉异常,shen'jing'tai'xing'zhi'duan'gan'jue'yi'chang
神经外膜,shen'jing'wai'mo
神经酰胺,shen'jing'xian'an
神经酰胺酶缺乏,shen'jing'xian'an'mei'que'fa
神经纤维瘤病,shen'jing'xian'wei'liu'bing
神经纤维瘤性巨舌,shen'jing'xian'wei'liu'xing'ju'she
神经性皮炎,shen'jing'xing'pi'yan
神经眼皮肤综合征,shen'jing'yan'pi'fu'zong'he'zheng
肾上腺生殖器综合征,shen'shang'xian'sheng'zhi'qi'zong'he'zheng
肾上腺性征异常综合征,shen'shang'xian'xing'zheng'yi'chang'zong'he'zheng
伸舌性痴呆,shen'she'xing'chi'dai
深在性红斑狼疮,shen'zai'xing'hong'ban'lang'chuang
生发层,sheng'fa'ceng
升华硫黄,sheng'hua'liu'huang
生物碱类,sheng'wu'jian'lei
生物素,sheng'wu'su
生橡胶,sheng'xiang'jiao
生长期,sheng'zhang'qi
生长期头发,sheng'zhang'qi'tou'fa
生长期头发松动综合征,sheng'zhang'qi'tou'fa'song'dong'zong'he'zheng
生长期脱发,sheng'zhang'qi'tuo'fa
生长因子,sheng'zhang'yin'zi
生长因子和转化生长因子,sheng'zhang'yin'zi'he'zhuan'hua'sheng'zhang'yin'zi
生殖器汗管瘤,sheng'zhi'qi'han'guan'liu
生殖器念珠菌病,sheng'zhi'qi'nian'zhu'jun'bing
生殖器疱疹,sheng'zhi'qi'pao'zhen
生殖器疣,sheng'zhi'qi'you
生殖器侏儒,sheng'zhi'qi'zhu'ru
虱病,shi'bing
尸毒疣,shi'du'you
嗜铬细胞瘤甲状腺髓样癌,shi'ge'xi'bao'liu'jia'zhuang'xian'sui'yang'ai
石蜡,shi'la
石蜡瘤,shi'la'liu
十六醇,shi'liu'chun
十六碳烯酸,shi'liu'tan'xi'suan
石棉状糠疹,shi'mian'zhuang'kang'zhen
石棉状癣,shi'mian'zhuang'xuan
嗜酸性蜂窝织炎,shi'suan'xing'feng'wo'zhi'yan
嗜酸性筋膜炎,shi'suan'xing'jin'mo'yan
嗜酸性粒细胞增多综合症,shi'suan'xing'li'xi'bao'zeng'duo'zong'he'zheng
嗜酸性脓疱性毛囊炎,shi'suan'xing'nong'pao'xing'mao'nang'yan
嗜酸性脂膜炎,shi'suan'xing'zhi'mo'yan
石炭酸,shi'tan'suan
实体囊性汗腺瘤,shi'ti'nang'xing'han'xian'liu
视网膜血管瘤病,shi'wang'mo'xue'guan'liu'bing
十五碳烯酸,shi'wu'tan'xi'suan
嗜血分枝杆菌,shi'xue'fen'zhi'gan'jun
湿疹,shi'zhen
湿疹疹样紫癜,shi'zhen'zhen'yang'zi'dian
收敛剂,shou'lian'ji
手术后进行性协同性坏疽,shou'shu'hou'jin'xing'xing'xie'tong'xing'huai'ju
手足表浅性大疱性脓皮病,shou'zu'biao'qian'xing'da'pao'xing'nong'pi'bing
手足胶原斑,shou'zu'jiao'yuan'ban
手足皲裂,shou'zu'jun'lie
手足口病,shou'zu'kou'bing
手足癣,shou'zu'xuan
舒乐安定,shu'le'an'ding
疏散性跖部汗孔角化症,shu'san'xing'zhi'bu'han'kong'jiao'hua'zheng
鼠伤寒杆菌,shu'shang'han'gan'jun
树突状表皮细胞,shu'tu'zhuang'biao'pi'xi'bao
树突状细胞,shu'tu'zhuang'xi'bao
鼠咬热,shu'yao're
鼠咬热螺旋体,shu'yao're'luo'xuan'ti
鼠疫,shu'yi
鼠疫菌病耶尔森菌病,shu'yi'jun'bing'ye'er'sen'jun'bing
鼠疫痈,shu'yi'yong
树枝状皮炎,shu'zhi'zhuang'pi'yan
树枝状青斑,shu'zhi'zhuang'qing'ban
树枝状细胞,shu'zhi'zhuang'xi'bao
栓剂,shuan'ji
双醋氟美松,shuang'cu'fu'mei'song
双氟米松戊酸酯,shuang'fu'mi'song'wu'suan'zhi
双嘧达莫,shuang'mi'da'mo
双氢速甾醇,shuang'qing'su'zai'chun
双脱氧胞苷,shuang'tuo'yang'bao'gan
双脱氧肌苷,shuang'tuo'yang'ji'gan
双向电子网络,shuang'xiang'dian'zi'wang'luo
双香豆素,shuang'xiang'dou'su
双香豆素乙酯,shuang'xiang'dou'su'yi'zhi
双相型号淀粉样变病,shuang'xiang'xing'hao'dian'fen'yang'bian'bing
水痘,shui'dou
水痘带状疱疹病毒,shui'dou'dai'zhuang'pao'zhen'bing'du
水痘样疹,shui'dou'yang'zhen
水合氯醛,shui'he'lv'quan
水疱,shui'pao
水疱性远端指炎,shui'pao'xing'yuan'duan'zhi'yan
水屏障,shui'ping'zhang
水杨酸,shui'yang'suan
水杨酸苯酯,shui'yang'suan'ben'zhi
水脂化物,shui'zhi'hua'wu
水蛭素,shui'zhi'su
水蛭咬伤,shui'zhi'yao'shang
水肿性巨舌,shui'zhong'xing'ju'she
水肿性硬化症,shui'zhong'xing'ying'hua'zheng
顺势疗法,shun'shi'liao'fa
顺式作用元件,shun'shi'zuo'yong'yuan'jian
四氮唑蓝试验,si'dan'zuo'lan'shi'yan
斯蒂尔病,si'di'er'bing
司氟沙星,si'fu'sha'xing
四环素,si'huan'su
丝聚合蛋白,si'ju'he'dan'bai
丝聚合蛋白原,si'ju'he'dan'bai'yuan
丝裂霉素,si'lie'mei'su
四氯化碳,si'lv'hua'tan
司盘,si'pan
司坦唑醇,si'tan'zuo'chun
四氧化钌,si'yang'hua'liao
丝状疣,si'zhuang'you
松毛虫皮炎,song'mao'chong'pi'yan
松香,song'xiang
粟粒状脓肿,su'li'zhuang'nong'zhong
苏木素小体,su'mu'su'xiao'ti
粟丘疹,su'qiu'zhen
羧苄西林,suo'bian'xi'lin
索丙酸酯,suo'bing'suan'zhi
羧甲基纤维素,suo'jia'ji'xian'wei'su
锁链素,suo'lian'su
梭状芽胞杆菌厌氧性蜂窝织炎,suo'zhuang'ya'bao'gan'jun'yan'yang'xing'feng'wo'zhi'yan
他卡西醇,ta'ka'xi'chun
他克莫司,ta'ke'mo'si
它扎罗定,ta'zha'luo'ding
酞丁安,tai'ding'an
胎毛,tai'mao
太田痣,tai'tian'zhi
苔藓化,tai'xian'hua
苔藓样淀粉样变病,tai'xian'yang'dian'fen'yang'bian'bing
苔藓样结核疹,tai'xian'yang'jie'he'zhen
苔藓样念珠状疹,tai'xian'yang'nian'zhu'zhuang'zhen
苔藓样型副银屑病,tai'xian'yang'xing'fu'yin'xie'bing
苔状足,tai'zhuang'zu
炭疽,tan'ju
碳水化合物性高脂血症,tan'shui'hua'he'wu'xing'gao'zhi'xue'zheng
碳酸钙,tan'suan'gai
弹性单素纤维,tan'xing'dan'su'xian'wei
弹性纤维瘤,tan'xing'xian'wei'liu
弹性纤维性假黄瘤,tan'xing'xian'wei'xing'jia'huang'liu
弹性相关纤维,tan'xing'xiang'guan'xian'wei
糖馏油,tang'liu'you
糖尿病性长须妇女,tang'niao'bing'xing'chang'xu'fu'nv
糖尿病性感染,tang'niao'bing'xing'gan'ran
糖尿病性甲病,tang'niao'bing'xing'jia'bing
糖尿病性局部缺血,tang'niao'bing'xing'ju'bu'que'xue
糖尿病性皮肤病,tang'niao'bing'xing'pi'fu'bing
糖尿病性皮肤发红,tang'niao'bing'xing'pi'fu'fa'hong
糖尿病性神经疾病,tang'niao'bing'xing'shen'jing'ji'bing
糖尿病性血管病,tang'niao'bing'xing'xue'guan'bing
绦虫感染,tao'chong'gan'ran
套叠性脆发病,tao'die'xing'cui'fa'bing
萄球菌性烫伤样皮肤综合症,tao'qiu'jun'xing'tang'shang'yang'pi'fu'zong'he'zheng
特比萘芬,te'bi'nai'fen
特发性,te'fa'xing
特发性迟发性免疫球蛋白缺乏症,te'fa'xing'chi'fa'xing'mian'yi'qiu'dan'bai'que'fa'zheng
特发性大泡,te'fa'xing'da'pao
特发性点状色素减少症,te'fa'xing'dian'zhuang'se'su'jian'shao'zheng
特发性多发性斑状色素沉着症,te'fa'xing'duo'fa'xing'ban'zhuang'se'su'chen'zhuo'zheng
特发性多毛症,te'fa'xing'duo'mao'zheng
特发性家族性高脂血症,te'fa'xing'jia'zu'xing'gao'zhi'xue'zheng
特发性皮肤钙沉着症,te'fa'xing'pi'fu'gai'chen'zhuo'zheng
特发性嗜酸性肺病,te'fa'xing'shi'suan'xing'fei'bing
特发性网状青斑,te'fa'xing'wang'zhuang'qing'ban
特发性血小板减少性紫癜,te'fa'xing'xue'xiao'ban'jian'shao'xing'zi'dian
特应性白内障,te'ying'xing'bai'nei'zhang
剔甲癖,ti'jia'pi
剔甲癖或拔甲癖,ti'jia'pi'huo'ba'jia'pi
替卡西林,ti'ka'xi'lin
体癣,ti'xuan
体质性痒疹,ti'zhi'xing'yang'zhen
天花,tian'hua
天花病毒,tian'hua'bing'du
天疱疮,tian'pao'chuang
调理化,tiao'li'hua
条纹状角皮症,tiao'wen'zhuang'jiao'pi'zheng
铁丝圈,tie'si'quan
痛风,tong'feng
同化激素,tong'hua'ji'su
酮康唑,tong'kang'zuo
酮替芬,tong'ti'fen
同心性毛癣菌,tong'xin'xing'mao'xuan'jun
痛性挫伤综合症,tong'xing'cuo'shang'zong'he'zheng
同形反应,tong'xing'fan'ying
痛性肥胖病,tong'xing'fei'pang'bing
同型胱氨酸尿症,tong'xing'guang'an'suan'niao'zheng
痛性脂肪疝,tong'xing'zhi'fang'shan
痛性脂肪综合症,tong'xing'zhi'fang'zong'he'zheng
痛性指肿综合症,tong'xing'zhi'zhong'zong'he'zheng
同源性,tong'yuan'xing
头孢泊肟,tou'bao'bo'wo
头孢地,tou'bao'di
头孢呋辛,tou'bao'fu'xin
头孢克洛,tou'bao'ke'luo
头孢拉定,tou'bao'la'ding
头孢孟多,tou'bao'meng'duo
头孢嘧啶,tou'bao'mi'ding
头孢尼西,tou'bao'ni'xi
头孢哌酮钠,tou'bao'pai'tong'na
头孢匹林,tou'bao'pi'lin
头孢曲松,tou'bao'qu'song
头孢噻肟,tou'bao'sai'wo
头孢他啶,tou'bao'ta'ding
头孢特仑,tou'bao'te'lun
头孢替安,tou'bao'ti'an
头孢唑林钠,tou'bao'zuo'lin'na
头部毛囊周围炎,tou'bu'mao'nang'zhou'wei'yan
头部脓肿性穿掘性毛囊周围炎,tou'bu'nong'zhong'xing'chuan'jue'xing'mao'nang'zhou'wei'yan
头部乳头状皮炎,tou'bu'ru'tou'zhuang'pi'yan
头部瘙痒病,tou'bu'sao'yang'bing
头巾瘤,tou'jin'liu
头面畸形牙畸形侏儒,tou'mian'ji'xing'ya'ji'xing'zhu'ru
透明蛋白,tou'ming'dan'bai
透明细胞,tou'ming'xi'bao
透明细胞汗管瘤,tou'ming'xi'bao'han'guan'liu
透明细胞汗腺瘤,tou'ming'xi'bao'han'xian'liu
透明细胞棘皮瘤,tou'ming'xi'bao'ji'pi'liu
透明细胞肌上皮瘤,tou'ming'xi'bao'ji'shang'pi'liu
透明细胞型外泌汗腺腺瘤,tou'ming'xi'bao'xing'wai'mi'han'xian'xian'liu
头皮部分割性蜂窝织炎,tou'pi'bu'fen'ge'xing'feng'wo'zhi'yan
头皮部结节性神经性皮炎,tou'pi'bu'jie'jie'xing'shen'jing'xing'pi'yan
头皮部痒疹,tou'pi'bu'yang'zhen
头皮环状渐进性坏死,tou'pi'huan'zhuang'jian'jin'xing'huai'si
头皮毛发肿瘤,tou'pi'mao'fa'zhong'liu
头皮糜烂脓疱性皮病,tou'pi'mi'lan'nong'pao'xing'pi'bing
头癣,tou'xuan
图案状白皮病,tu'an'zhuang'bai'pi'bing
秃发性毛发角化症,tu'fa'xing'mao'fa'jiao'hua'zheng
秃发性毛囊炎,tu'fa'xing'mao'nang'yan
土霉素,tu'mei'su
突然死亡,tu'ran'si'wang
吐温,tu'wen
腿部瘙痒病,tui'bu'sao'yang'bing
退行期,tui'xing'qi
吞入,tun'ru
吞噬功能障碍综合征,tun'shi'gong'neng'zhang'ai'zong'he'zheng
吞噬体,tun'shi'ti
吞噬细胞机能不全综合征,tun'shi'xi'bao'ji'neng'bu'quan'zong'he'zheng
吞噬作用激素,tun'shi'zuo'yong'ji'su
妥布霉素,tuo'bu'mei'su
脱发多汗角膜营养不良综合征,tuo'fa'duo'han'jiao'mo'ying'yang'bu'liang'zong'he'zheng
脱发多汗舌状角膜浑浊综合征,tuo'fa'duo'han'she'zhuang'jiao'mo'hun'zhuo'zong'he'zheng
托氟沙星,tuo'fu'sha'xing
脱甲病,tuo'jia'bing
妥拉唑林,tuo'la'zuo'lin
脱敏疗法,tuo'min'liao'fa
脱色性色素失禁症,tuo'se'xing'se'su'shi'jin'zheng
脱屑,tuo'xie
外根鞘,wai'gen'qiao
外泌汗腺,wai'mi'han'xian
外胚层发育不良综合症,wai'pei'ceng'fa'yu'bu'liang'zong'he'zheng
外胚层少汗性综合症,wai'pei'ceng'shao'han'xing'zong'he'zheng
外胚层综合征,wai'pei'ceng'zong'he'zheng
外胚叶发育不良,wai'pei'ye'fa'yu'bu'liang
外皮层,wai'pi'ceng
外伤性表皮囊肿,wai'shang'xing'biao'pi'nang'zhong
外伤性脂肪坏死,wai'shang'xing'zhi'fang'huai'si
外显子,wai'xian'zi
外显子遗漏,wai'xian'zi'yi'lou
外阴白斑,wai'yin'bai'ban
外阴白色病变,wai'yin'bai'se'bing'bian
外阴阴道牙龈综合征,wai'yin'yin'dao'ya'yin'zong'he'zheng
外援性光感性皮炎,wai'yuan'xing'guang'gan'xing'pi'yan
外源性色素沉着,wai'yuan'xing'se'su'chen'zhuo
外周恒温器,wai'zhou'heng'wen'qi
网状红瘢性毛囊炎,wang'zhuang'hong'ban'xing'mao'nang'yan
网状红斑性粘蛋白病,wang'zhuang'hong'ban'xing'nian'dan'bai'bing
网状青斑,wang'zhuang'qing'ban
网状色素皮病,wang'zhuang'se'su'pi'bing
网状色素失禁症,wang'zhuang'se'su'shi'jin'zheng
