艾滋病防治条例,ai'zi'bing'fang'zhi'tiao'li
法定语言,fa'ding'yu'yan
法定债务人,fa'ding'zhai'wu'ren
法定证据,fa'ding'zheng'ju
法定证据制度,fa'ding'zheng'ju'zhi'du
法定之债,fa'ding'zhi'zhai
法定主管当局,fa'ding'zhu'guan'dang'ju
法定准备金,fa'ding'zhun'bei'jin
法定孳息,fa'ding'zi'xi
法官,fa'guan
法官法,fa'guan'fa
法官考评委员会,fa'guan'kao'ping'wei'yuan'hui
法规,fa'gui
发回重审,fa'hui'chong'shen
发货人,fa'huo'ren
法纪,fa'ji
法纪监督,fa'ji'jian'du
法警,fa'jing
罚款,fa'kuan
法理背景,fa'li'bei'jing
法理学,fa'li'xue
法令,fa'ling
法律程序文件,fa'lv'cheng'xu'wen'jian
法律冲突,fa'lv'chong'tu
法律翻译公司,fa'lv'fan'yi'gong'si
法律服务,fa'lv'fu'wu
法律服务所,fa'lv'fu'wu'suo
法律概念,fa'lv'gai'nian
法律顾问,fa'lv'gu'wen
法律顾问处,fa'lv'gu'wen'chu
法律规避,fa'lv'gui'bi
法律后果,fa'lv'hou'guo
法律婚,fa'lv'hun
法律解释权,fa'lv'jie'shi'quan
法律理据,fa'lv'li'ju
法律面前人人平等,fa'lv'mian'qian'ren'ren'ping'deng
法律事务,fa'lv'shi'wu
法律事务公司,fa'lv'shi'wu'gong'si
法律史学会,fa'lv'shi'xue'hui
法律书信,fa'lv'shu'xin
法律文书,fa'lv'wen'shu
法律效果,fa'lv'xiao'guo
法律性,fa'lv'xing
法律行律,fa'lv'xing'lv
法律行为,fa'lv'xing'wei
法律性文献,fa'lv'xing'wen'xian
法律虚无主义,fa'lv'xu'wu'zhu'yi
法律意见书,fa'lv'yi'jian'shu
法律依据,fa'lv'yi'ju
法律与习俗,fa'lv'yu'xi'su
法律渊源,fa'lv'yuan'yuan
法律援助,fa'lv'yuan'zhu
法律援助条例,fa'lv'yuan'zhu'tiao'li
法律责任,fa'lv'ze'ren
法律制裁,fa'lv'zhi'cai
法律制度,fa'lv'zhi'du
法律咨询,fa'lv'zi'xun
法律资询中心,fa'lv'zi'xun'zhong'xin
发明创造,fa'ming'chuang'zao
发明权,fa'ming'quan
发票地,fa'piao'di
发票管理办法,fa'piao'guan'li'ban'fa
发票管理办法实施细则,fa'piao'guan'li'ban'fa'shi'shi'xi'ze
发票日,fa'piao'ri
发起人,fa'qi'ren
法人,fa'ren
法人代表,fa'ren'dai'biao
法人单位,fa'ren'dan'wei
法人股,fa'ren'gu
法人股东,fa'ren'gu'dong
法人合伙,fa'ren'he'huo
法人委托书,fa'ren'wei'tuo'shu
法人型联营,fa'ren'xing'lian'ying
发生法律效力,fa'sheng'fa'lv'xiao'li
法庭,fa'ting
法庭辩论,fa'ting'bian'lun
法庭程序文件,fa'ting'cheng'xu'wen'jian
法庭调查,fa'ting'diao'cha
法庭审查笔录,fa'ting'shen'cha'bi'lu
法庭审查方式,fa'ting'shen'cha'fang'shi
法庭庭长,fa'ting'ting'zhang
法团公司,fa'tuan'gong'si
法系地区,fa'xi'di'qu
发现,fa'xian
发现权,fa'xian'quan
发行货币,fa'xing'huo'bi
发行审核委员会,fa'xing'shen'he'wei'yuan'hui
发行总股本,fa'xing'zong'gu'ben
法学,fa'xue
法学博士学位,fa'xue'bo'shi'xue'wei
法学会,fa'xue'hui
法学课程,fa'xue'ke'cheng
法学派别,fa'xue'pai'bie
法学硕士学位,fa'xue'shuo'shi'xue'wei
法学系,fa'xue'xi
法学研究所,fa'xue'yan'jiu'suo
法学院,fa'xue'yuan
法医,fa'yi
法院,fa'yuan
法院公告,fa'yuan'gong'gao
法院组织法,fa'yuan'zu'zhi'fa
发展规划,fa'zhan'gui'hua
发展计划委员会,fa'zhan'ji'hua'wei'yuan'hui
发展研究中心,fa'zhan'yan'jiu'zhong'xin
法治,fa'zhi
法制办,fa'zhi'ban
法制局,fa'zhi'ju
法制委员会,fa'zhi'wei'yuan'hui
反驳,fan'bo
反补贴条例,fan'bu'tie'tiao'li
反不正当竞争法,fan'bu'zheng'dang'jing'zheng'fa
反对通知书,fan'dui'tong'zhi'shu
反分裂国家法,fan'fen'lie'guo'jia'fa
反革命宣传煽动罪,fan'ge'ming'xuan'chuan'shan'dong'zui
反革命罪,fan'ge'ming'zui
返还,fan'huan
返还性损害赔偿金,fan'huan'xing'sun'hai'pei'chang'jin
反悔,fan'hui
反垄断法,fan'long'duan'fa
贩卖毒品,fan'mai'du'pin
贩卖假药罪,fan'mai'jia'yao'zui
贩卖淫秽物品罪,fan'mai'yin'hui'wu'pin'zui
反倾销和反补贴条例,fan'qing'xiao'he'fan'bu'tie'tiao'li
反倾销条例,fan'qing'xiao'tiao'li
反倾销退税暂行规则,fan'qing'xiao'tui'shui'zan'xing'gui'ze
犯人,fan'ren
反诉,fan'su
反诉答辩状,fan'su'da'bian'zhuang
反诉状,fan'su'zhuang
反洗钱法,fan'xi'qian'fa
翻新,fan'xin
反兴奋剂条例,fan'xing'fen'ji'tiao'li
反要约,fan'yao'yue
犯意表示,fan'yi'biao'shi
贩运伪造的国家货币罪,fan'yun'wei'zao'de'guo'jia'huo'bi'zui
反致,fan'zhi
反走私,fan'zou'si
犯罪,fan'zui
犯罪的客观方面,fan'zui'de'ke'guan'fang'mian
犯罪的主观方面,fan'zui'de'zhu'guan'fang'mian
犯罪动机,fan'zui'dong'ji
犯罪对象,fan'zui'dui'xiang
犯罪分子,fan'zui'fen'zi
犯罪构成,fan'zui'gou'cheng
犯罪故意,fan'zui'gu'yi
犯罪过失,fan'zui'guo'shi
犯罪既遂,fan'zui'ji'sui
犯罪客观方面,fan'zui'ke'guan'fang'mian
犯罪客体,fan'zui'ke'ti
犯罪目的,fan'zui'mu'di
犯罪事实,fan'zui'shi'shi
犯罪未遂,fan'zui'wei'sui
犯罪嫌疑人,fan'zui'xian'yi'ren
犯罪心理学,fan'zui'xin'li'xue
犯罪心意,fan'zui'xin'yi
犯罪形态,fan'zui'xing'tai
犯罪行为,fan'zui'xing'wei
犯罪学,fan'zui'xue
犯罪预备,fan'zui'yu'bei
犯罪中断,fan'zui'zhong'duan
犯罪中止,fan'zui'zhong'zhi
犯罪主观,fan'zui'zhu'guan
犯罪主观方面,fan'zui'zhu'guan'fang'mian
犯罪主体,fan'zui'zhu'ti
妨碍,fang'ai
妨碍司法公正,fang'ai'si'fa'gong'zheng
方便与公平的原则,fang'bian'yu'gong'ping'de'yuan'ze
房产测绘管理办法,fang'chan'ce'hui'guan'li'ban'fa
房产税暂行条例,fang'chan'shui'zan'xing'tiao'li
防城各族自治县,fang'cheng'ge'zu'zi'zhi'xian
房地产,fang'di'chan
房地产律师,fang'di'chan'lv'shi
房地产投资,fang'di'chan'tou'zi
房管局,fang'guan'ju
妨害公务罪,fang'hai'gong'wu'zui
妨害社会管理秩序罪,fang'hai'she'hui'guan'li'zhi'xu'zui
妨害他人婚姻家庭罪,fang'hai'ta'ren'hun'yin'jia'ting'zui
放火罪,fang'huo'zui
房款凭证,fang'kuan'ping'zheng
防雷减灾管理办法,fang'lei'jian'zai'guan'li'ban'fa
放弃,fang'qi
放射性污染防治法,fang'she'xing'wu'ran'fang'zhi'fa
放射诊疗管理规定,fang'she'zhen'liao'guan'li'gui'ding
放松银根,fang'song'yin'gen
防卫过当,fang'wei'guo'dang
防卫行为,fang'wei'xing'wei
房屋的产权,fang'wu'de'chan'quan
房屋登记办法,fang'wu'deng'ji'ban'fa
房屋估价单,fang'wu'gu'jia'dan
房屋继承,fang'wu'ji'cheng
房屋所有权,fang'wu'suo'you'quan
放行条,fang'xing'tiao
防震减灾法,fang'zhen'jian'zai'fa
纺织工业局,fang'zhi'gong'ye'ju
纺织品出口管理办法,fang'zhi'pin'chu'kou'guan'li'ban'fa
防止性禁制令,fang'zhi'xing'jin'zhi'ling
仿制药品审批办法,fang'zhi'yao'pin'shen'pi'ban'fa
纺织总会,fang'zhi'zong'hui
诽谤,fei'bang
废除,fei'chu
非法,fei'fa
非法查封,fei'fa'cha'feng
非法查封财产,fei'fa'cha'feng'cai'chan
非法逮捕,fei'fa'dai'bu
非法的告发,fei'fa'de'gao'fa
非法的检举,fei'fa'de'jian'ju
非法购买,fei'fa'gou'mai
非法僭建物,fei'fa'jian'jian'wu
非法禁锢,fei'fa'jin'gu
非法拘禁罪,fei'fa'ju'jin'zui
非法同居关系,fei'fa'tong'ju'guan'xi
非法制造枪支及弹药罪,fei'fa'zhi'zao'qiang'zhi'ji'dan'yao'zui
非法转让,fei'fa'zhuan'rang
非合伙律师,fei'he'huo'lv'shi
非婚生子女,fei'hun'sheng'zi'nv
非金融部门债权,fei'jin'rong'bu'men'zhai'quan
非诉讼业务,fei'su'song'ye'wu
非现场稽核,fei'xian'chang'ji'he
飞行基本规则,fei'xing'ji'ben'gui'ze
非银行金融机构,fei'yin'hang'jin'rong'ji'gou
非赢利性机构,fei'ying'li'xing'ji'gou
非专属权,fei'zhuan'shu'quan
非专业人士,fei'zhuan'ye'ren'shi
非专有技术出资,fei'zhuan'you'ji'shu'chu'zi
分割,fen'ge
分居,fen'ju
分离,fen'li
分期付款,fen'qi'fu'kuan
分期支付,fen'qi'zhi'fu
分权共有人,fen'quan'gong'you'ren
分权学说,fen'quan'xue'shuo
分税制,fen'shui'zhi
分摊,fen'tan
分业经营,fen'ye'jing'ying
分灶吃饭重点建设,fen'zao'chi'fan'zhong'dian'jian'she
纷争的解决,fen'zheng'de'jie'jue
分租,fen'zu
风景名胜区条例,feng'jing'ming'sheng'qu'tiao'li
丰宁满族自治县,feng'ning'man'zu'zi'zhi'xian
风险,feng'xian
风险暴露,feng'xian'bao'lu
风险敞口,feng'xian'chang'kou
风险管理,feng'xian'guan'li
风险投资,feng'xian'tou'zi
风险投资基金,feng'xian'tou'zi'ji'jin
风险意识,feng'xian'yi'shi
风险资本比例,feng'xian'zi'ben'bi'li
风险资本标准,feng'xian'zi'ben'biao'zhun
封宗法主意思想,feng'zong'fa'zhu'yi'si'xiang
封租,feng'zu
否定,fou'ding
否决权,fou'jue'quan
否认,fou'ren
否认立约,fou'ren'li'yue
否认权,fou'ren'quan
复查,fu'cha
富川瑶族自治县,fu'chuan'yao'zu'zi'zhi'xian
服从,fu'cong
复代理,fu'dai'li
复代理人,fu'dai'li'ren
附带民事诉讼,fu'dai'min'shi'su'song
附带民事诉讼案件,fu'dai'min'shi'su'song'an'jian
附带民事诉讼被告,fu'dai'min'shi'su'song'bei'gao
浮动名册,fu'dong'ming'ce
付购,fu'gou
符号,fu'hao
复合氨基酸,fu'he'an'ji'suan
复核审法院,fu'he'shen'fa'yuan
复婚,fu'hun
附件,fu'jian
副检察长,fu'jian'cha'zhang
福利社会,fu'li'she'hui
附录,fu'lu
父母权,fu'mu'quan
妇女儿童权益保护法,fu'nv'er'tong'quan'yi'bao'hu'fa
妇女联合会,fu'nv'lian'he'hui
妇女权益保护法,fu'nv'quan'yi'bao'hu'fa
妇女权益保障法,fu'nv'quan'yi'bao'zhang'fa
扶贫,fu'pin
扶贫开发办,fu'pin'kai'fa'ban
夫妻,fu'qi
夫妻分居,fu'qi'fen'ju
夫妻感情,fu'qi'gan'qing
夫妻共同财产,fu'qi'gong'tong'cai'chan
夫妻共同所有财产,fu'qi'gong'tong'suo'you'cai'chan
夫妻关系,fu'qi'guan'xi
夫妻关系中的子女,fu'qi'guan'xi'zhong'de'zi'nv
夫妻间有互相扶养的义务,fu'qi'jian'you'hu'xiang'fu'yang'de'yi'wu
夫妻名义,fu'qi'ming'yi
夫妻身份,fu'qi'shen'fen
附期限民事法律行为,fu'qi'xian'min'shi'fa'lv'xing'wei
夫妻在婚姻关系存续期间,fu'qi'zai'hun'yin'guan'xi'cun'xu'qi'jian
父亲,fu'qin
付清余款,fu'qing'yu'kuan
复式预算制,fu'shi'yu'suan'zhi
附属公司,fu'shu'gong'si
附属于,fu'shu'yu
附条件民事法律行为,fu'tiao'jian'min'shi'fa'lv'xing'wei
服务商标,fu'wu'shang'biao
服务事业收入,fu'wu'shi'ye'shou'ru
服务优先权,fu'wu'you'xian'quan
复息,fu'xi
抚恤金,fu'xu'jin
复验,fu'yan
抚养,fu'yang
扶养的义务,fu'yang'de'yi'wu
扶养费,fu'yang'fei
抚养费,fu'yang'fei
抚养关系的继父子,fu'yang'guan'xi'de'ji'fu'zi
复议,fu'yi
复员费,fu'yuan'fei
复员军人,fu'yuan'jun'ren
负责,fu'ze
负增长,fu'zeng'zhang
改革试点,gai'ge'shi'dian
改过自新,gai'guo'zi'xin
盖章,gai'zhang
干部,gan'bu
感化,gan'hua
感情破裂,gan'qing'po'lie
干扰,gan'rao
干扰证人,gan'rao'zheng'ren
干预,gan'yu
港澳办,gang'ao'ban
港币发行权,gang'bi'fa'xing'quan
杠杆率,gang'gan'lv
杠杆收购,gang'gan'shou'gou
港口法,gang'kou'fa
港口工程竣工验收办法,gang'kou'gong'cheng'jun'gong'yan'shou'ban'fa
港口规划管理规定,gang'kou'gui'hua'guan'li'gui'ding
港口经营管理规定,gang'kou'jing'ying'guan'li'gui'ding
港口危险货物管理规定,gang'kou'wei'xian'huo'wu'guan'li'gui'ding
港内拖带合同,gang'nei'tuo'dai'he'tong
钢铁产业发展,gang'tie'chan'ye'fa'zhan
高等教育法,gao'deng'jiao'yu'fa
高等学校档案管理办法,gao'deng'xue'xiao'dang'an'guan'li'ban'fa
高等学校学生行为准则,gao'deng'xue'xiao'xue'sheng'xing'wei'zhun'ze
高级合伙人,gao'ji'he'huo'ren
高速公路交通管理办法,gao'su'gong'lu'jiao'tong'guan'li'ban'fa
高速客船安全管理,gao'su'ke'chuan'an'quan'guan'li
高息集资,gao'xi'ji'zi
高新技术成果出资,gao'xin'ji'shu'cheng'guo'chu'zi
各级,ge'ji
各级地方政府,ge'ji'di'fang'zheng'fu
各尽所能,ge'jin'suo'neng
个人财产,ge'ren'cai'chan
个人独资企业,ge'ren'du'zi'qi'ye
个人股,ge'ren'gu
个人合伙,ge'ren'he'huo
个人所得税法,ge'ren'suo'de'shui'fa
个人所得税法实施条例,ge'ren'suo'de'shui'fa'shi'shi'tiao'li
个人所得税管理办法,ge'ren'suo'de'shui'guan'li'ban'fa
个人外汇管理办法,ge'ren'wai'hui'guan'li'ban'fa
各省,ge'sheng
格式合同,ge'shi'he'tong
个体工商户,ge'ti'gong'shang'hu
个体工商户验照办法,ge'ti'gong'shang'hu'yan'zhao'ban'fa
个体户,ge'ti'hu
个体劳动者所有权,ge'ti'lao'dong'zhe'suo'you'quan
个体劳动者协会,ge'ti'lao'dong'zhe'xie'hui
革委会,ge'wei'hui
格言,ge'yan
根本法律,gen'ben'fa'lv
根本扭转,gen'ben'niu'zhuan
耕地占补平衡考核办法,geng'di'zhan'bu'ping'heng'kao'he'ban'fa
更改,geng'gai
更换,geng'huan
公安,gong'an
公安部,gong'an'bu
公安部法规局,gong'an'bu'fa'gui'ju
公安处,gong'an'chu
公安机关,gong'an'ji'guan
公安机关信访工作规定,gong'an'ji'guan'xin'fang'gong'zuo'gui'ding
公安机关行政处罚决定,gong'an'ji'guan'xing'zheng'chu'fa'jue'ding
公安机关组织管理条例,gong'an'ji'guan'zu'zhi'guan'li'tiao'li
公安局,gong'an'ju
公安派出所,gong'an'pai'chu'suo
公安人员,gong'an'ren'yuan
工程院,gong'cheng'yuan
供大于求,gong'da'yu'qiu
供电营业规则,gong'dian'ying'ye'gui'ze
公法,gong'fa
共负盈亏,gong'fu'ying'kui
公告,gong'gao
公共开支,gong'gong'kai'zhi
公共文化体育设施条例,gong'gong'wen'hua'ti'yu'she'shi'tiao'li
公共性,gong'gong'xing
公共帐目,gong'gong'zhang'mu
公共政策,gong'gong'zheng'ce
公共政策的原则,gong'gong'zheng'ce'de'yuan'ze
公共秩序,gong'gong'zhi'xu
公共秩序保留,gong'gong'zhi'xu'bao'liu
公共主管当局,gong'gong'zhu'guan'dang'ju
工会法,gong'hui'fa
公积金,gong'ji'jin
公检法,gong'jian'fa
公检法机关,gong'jian'fa'ji'guan
公开,gong'kai
公开聆讯方式,gong'kai'ling'xun'fang'shi
公开审理,gong'kai'shen'li
公开市场操作,gong'kai'shi'chang'cao'zuo
公款私存,gong'kuan'si'cun
工矿产品合同试行条例,gong'kuang'chan'pin'he'tong'shi'xing'tiao'li
工矿区,gong'kuang'qu
公力救济,gong'li'jiu'ji
公路法,gong'lu'fa
公路工程质量监督规定,gong'lu'gong'cheng'zhi'liang'jian'du'gui'ding
公路管理条例,gong'lu'guan'li'tiao'li
公路建设监督管理办法,gong'lu'jian'she'jian'du'guan'li'ban'fa
公路建设市场管理办法,gong'lu'jian'she'shi'chang'guan'li'ban'fa
公民,gong'min
公民出境入境管理法,gong'min'chu'jing'ru'jing'guan'li'fa
公民劳动义务,gong'min'lao'dong'yi'wu
共谋,gong'mou
工农联盟,gong'nong'lian'meng
公平,gong'ping
公平原则,gong'ping'yuan'ze
共青团中央,gong'qing'tuan'zhong'yang
供认,gong'ren
工伤保险条例,gong'shang'bao'xian'tiao'li
工商登记,gong'shang'deng'ji
工伤认定办法,gong'shang'ren'ding'ban'fa
工商统一税,gong'shang'tong'yi'shui
工商行政管理局,gong'shang'xing'zheng'guan'li'ju
工商银行,gong'shang'yin'hang
工商银行办公室,gong'shang'yin'hang'ban'gong'shi
工商银行财务会计部,gong'shang'yin'hang'cai'wu'kuai'ji'bu
工商银行工交信贷部,gong'shang'yin'hang'gong'jiao'xin'dai'bu
工伤与职业病鉴定标准,gong'shang'yu'zhi'ye'bing'jian'ding'biao'zhun
公社,gong'she
共识政府,gong'shi'zheng'fu
供述,gong'shu
公司,gong'si
公司并购,gong'si'bing'gou
公司存续,gong'si'cun'xu
公司存在期限,gong'si'cun'zai'qi'xian
公司登记,gong'si'deng'ji
公司登记管理条例,gong'si'deng'ji'guan'li'tiao'li
公司法,gong'si'fa
公司法律顾问,gong'si'fa'lv'gu'wen
公司犯罪,gong'si'fan'zui
公司管理,gong'si'guan'li
公司合并分立,gong'si'he'bing'fen'li
公司和解,gong'si'he'jie
公司解散,gong'si'jie'san
公司名称,gong'si'ming'cheng
公司清理,gong'si'qing'li
公司清算,gong'si'qing'suan
公司上市,gong'si'shang'shi
公司歇业,gong'si'xie'ye
公司债券发行试点办法,gong'si'zhai'quan'fa'xing'shi'dian'ban'fa
公司章程,gong'si'zhang'cheng
公司整顿,gong'si'zheng'dun
公司住址,gong'si'zhu'zhi
公诉,gong'su
公诉案件,gong'su'an'jian
公诉机关,gong'su'ji'guan
公诉人,gong'su'ren
公诉书,gong'su'shu
共同被告人,gong'tong'bei'gao'ren
共同财产,gong'tong'cai'chan
共同代理,gong'tong'dai'li
共同犯罪,gong'tong'fan'zui
共同纲领,gong'tong'gang'ling
共同共有,gong'tong'gong'you
共同过错,gong'tong'guo'cuo
共同海损优先权,gong'tong'hai'sun'you'xian'quan
共同继承,gong'tong'ji'cheng
共同权利,gong'tong'quan'li
共同实施违法行为,gong'tong'shi'shi'wei'fa'xing'wei
共同诉讼人,gong'tong'su'song'ren
共同误解,gong'tong'wu'jie
共同原告,gong'tong'yuan'gao
共同债务,gong'tong'zhai'wu
公务人员,gong'wu'ren'yuan
公务员法,gong'wu'yuan'fa
公务员考核规定,gong'wu'yuan'kao'he'gui'ding
公务员录用规定,gong'wu'yuan'lu'yong'gui'ding
共享软件,gong'xiang'ruan'jian
供销合作社,gong'xiao'he'zuo'she
供销合作总社,gong'xiao'he'zuo'zong'she
公序良俗,gong'xu'liang'su
供养,gong'yang
供养费,gong'yang'fei
工业产权,gong'ye'chan'quan
工业产权出资,gong'ye'chan'quan'chu'zi
工业成本利润率,gong'ye'cheng'ben'li'run'lv
工业增加值,gong'ye'zeng'jia'zhi
公用建管面积分摊规则,gong'yong'jian'guan'mian'ji'fen'tan'gui'ze
公用事业,gong'yong'shi'ye
公有经济,gong'you'jing'ji
公有制,gong'you'zhi
公约国,gong'yue'guo
公约证明书,gong'yue'zheng'ming'shu
公证,gong'zheng
公证承付,gong'zheng'cheng'fu
公证程序规则,gong'zheng'cheng'xu'gui'ze
公证法,gong'zheng'fa
公证行业自律公约,gong'zheng'hang'ye'zi'lv'gong'yue
公证机构执业管理办法,gong'zheng'ji'gou'zhi'ye'guan'li'ban'fa
公证机关,gong'zheng'ji'guan
公证会计师办事处,gong'zheng'kuai'ji'shi'ban'shi'chu
公证人,gong'zheng'ren
公证书,gong'zheng'shu
公证员协会,gong'zheng'yuan'xie'hui
公证员执业管理办法,gong'zheng'yuan'zhi'ye'guan'li'ban'fa
公证暂行条例,gong'zheng'zan'xing'tiao'li
公证证明,gong'zheng'zheng'ming
公职,gong'zhi
公众假期,gong'zhong'jia'qi
公众假日,gong'zhong'jia'ri
公众利益,gong'zhong'li'yi
工资制度改革小组,gong'zi'zhi'du'gai'ge'xiao'zu
工资支付暂行规定,gong'zi'zhi'fu'zan'xing'gui'ding
工作场所,gong'zuo'chang'suo
构成要件,gou'cheng'yao'jian
勾结,gou'jie
股本,gu'ben
固定名册,gu'ding'ming'ce
固定资产,gu'ding'zi'chan
固定资产贷款,gu'ding'zi'chan'dai'kuan
股东,gu'dong
股东大会,gu'dong'da'hui
股东大会决议,gu'dong'da'hui'jue'yi
股东大会议事规则,gu'dong'da'hui'yi'shi'gui'ze
股份合作企业,gu'fen'he'zuo'qi'ye
股份两合公司,gu'fen'liang'he'gong'si
股份有限公司,gu'fen'you'xian'gong'si
股份制企业,gu'fen'zhi'qi'ye
股份制银行,gu'fen'zhi'yin'hang
估计,gu'ji
鼓励措施,gu'li'cuo'shi
股息,gu'xi
故意,gu'yi
故意的动机,gu'yi'de'dong'ji
故意犯罪,gu'yi'fan'zui
故意破坏公私财物罪,gu'yi'po'huai'gong'si'cai'wu'zui
故意杀人罪,gu'yi'sha'ren'zui
故意伤害,gu'yi'shang'hai
故意伤害致人死亡,gu'yi'shang'hai'zhi'ren'si'wang
故意伤害致死罪,gu'yi'shang'hai'zhi'si'zui
故意伤害罪,gu'yi'shang'hai'zui
故意投毒,gu'yi'tou'du
雇佣合同,gu'yong'he'tong
雇佣合约,gu'yong'he'yue
固有法,gu'you'fa
寡妇,gua'fu
挂靠,gua'kao
挂牌公司,gua'pai'gong'si
拐卖人口罪,guai'mai'ren'kou'zui
贯彻执行,guan'che'zhi'xing
关键,guan'jian
管卡压,guan'ka'ya
管理办法,guan'li'ban'fa
关联企业,guan'lian'qi'ye
官僚主义,guan'liao'zhu'yi
关税壁垒,guan'shui'bi'lei
关税减免,guan'shui'jian'mian
关税减让,guan'shui'jian'rang
关税税则委员会,guan'shui'shui'ze'wei'yuan'hui
关税优惠,guan'shui'you'hui
关系恶化,guan'xi'e'hua
关系过远,guan'xi'guo'yuan
管辖范围,guan'xia'fan'wei
管辖权,guan'xia'quan
关押,guan'ya
管有令状,guan'you'ling'zhuang
关员级人员,guan'yuan'ji'ren'yuan
官职,guan'zhi
管制,guan'zhi
广播电视管理条例,guang'bo'dian'shi'guan'li'tiao'li
广播电视设施保护条例,guang'bo'dian'shi'she'shi'bao'hu'tiao'li
广播电影电视总局,guang'bo'dian'ying'dian'shi'zong'ju
光船租船合同,guang'chuan'zu'chuan'he'tong
广告法,guang'gao'fa
广告管理条例,guang'gao'guan'li'tiao'li
广告管理条例施行细则,guang'gao'guan'li'tiao'li'shi'xing'xi'ze
广告商标,guang'gao'shang'biao
规范,gui'fan
规范行为,gui'fan'xing'wei
归还,gui'huan
归口经营,gui'kou'jing'ying
规模效益,gui'mo'xiao'yi
归侨侨眷权益保护法,gui'qiao'qiao'juan'quan'yi'bao'hu'fa
规则,gui'ze
规章,gui'zhang
国办律师事务所,guo'ban'lv'shi'shi'wu'suo
过错责任,guo'cuo'ze'ren
过度竞争,guo'du'jing'zheng
过度膨胀,guo'du'peng'zhang
国防部,guo'fang'bu
国防动员委员会,guo'fang'dong'yuan'wei'yuan'hui
国防法,guo'fang'fa
国防教育法,guo'fang'jiao'yu'fa
国防科学技术工业委员会,guo'fang'ke'xue'ji'shu'gong'ye'wei'yuan'hui
国防专利条例,guo'fang'zhuan'li'tiao'li
国徽法,guo'hui'fa
国籍,guo'ji
国籍法,guo'ji'fa
国际法学会,guo'ji'fa'xue'hui
国际分工,guo'ji'fen'gong
国际供应合同,guo'ji'gong'ying'he'tong
国际惯例,guo'ji'guan'li
国际海事卫星组织公约,guo'ji'hai'shi'wei'xing'zu'zhi'gong'yue
国际海运条例实施细则,guo'ji'hai'yun'tiao'li'shi'shi'xi'ze
国际贸易,guo'ji'mao'yi
国际贸易促进委员会,guo'ji'mao'yi'cu'jin'wei'yuan'hui
国计民生,guo'ji'min'sheng
国际收支,guo'ji'shou'zhi
国际私法,guo'ji'si'fa
国际诉讼,guo'ji'su'song
国际运输,guo'ji'yun'shu
国家安全法,guo'jia'an'quan'fa
国家安全法实施细则,guo'jia'an'quan'fa'shi'shi'xi'ze
国家安全局,guo'jia'an'quan'ju
国家版权局,guo'jia'ban'quan'ju
国家保密法,guo'jia'bao'mi'fa
国家保密局,guo'jia'bao'mi'ju
国家编制委员会,guo'jia'bian'zhi'wei'yuan'hui
国家标准局,guo'jia'biao'zhun'ju
国家测绘局,guo'jia'ce'hui'ju
国家城市建设总局,guo'jia'cheng'shi'jian'she'zong'ju
国家出版局,guo'jia'chu'ban'ju
国家出入境检验检疫局,guo'jia'chu'ru'jing'jian'yan'jian'yi'ju
国家档案局,guo'jia'dang'an'ju
