阿贝他,a'bei'ta
百草妇炎清栓,bai'cao'fu'yan'qing'shuan
白带净胶囊,bai'dai'jing'jiao'nang
白带丸水丸,bai'dai'wan'shui'wan
百德,bai'de
白癜风胶囊,bai'dian'feng'jiao'nang
白癜风丸浓缩水丸,bai'dian'feng'wan'nong'suo'shui'wan
百定,bai'ding
百多邦,bai'duo'bang
柏多瑞,bai'duo'rui
拜耳医药保健有限公司,bai'er'yi'yao'bao'jian'you'xian'gong'si
拜复乐,bai'fu'le
百扶力,bai'fu'li
百服咛,bai'fu'ning
百合固金口服液,bai'he'gu'jin'kou'fu'ye
百宏,bai'hong
百红优,bai'hong'you
白加黑,bai'jia'hei
败酱片,bai'jiang'pian
柏洁洗剂,bai'jie'xi'ji
百科康迪,bai'ke'kang'di
百科洛维,bai'ke'luo'wei
百科沙,bai'ke'sha
百乐眠胶囊,bai'le'mian'jiao'nang
百力特,bai'li'te
柏灵,bai'ling
百令胶囊,bai'ling'jiao'nang
百令片,bai'ling'pian
百梅止咳颗粒,bai'mei'zhi'ke'ke'li
百沫舒,bai'mo'shu
佰莫亭,bai'mo'ting
柏纳力,bai'na'li
柏诺特,bai'nuo'te
拜朋,bai'peng
白蒲黄片薄膜衣,bai'pu'huang'pian'bo'mo'yi
百普乐,bai'pu'le
百普力,bai'pu'li
白葡奈氏菌片薄膜衣,bai'pu'nai'shi'jun'pian'bo'mo'yi
百普素,bai'pu'su
白求恩医科大学制药厂,bai'qiu'en'yi'ke'da'xue'zhi'yao'chang
白求恩医科大学制药厂二分厂,bai'qiu'en'yi'ke'da'xue'zhi'yao'chang'er'fen'chang
柏芮,bai'rui
百锐得,bai'rui'de
百赛诺,bai'sai'nuo
白山市长白山制药有限责任公司,bai'shan'shi'chang'bai'shan'zhi'yao'you'xian'ze'ren'gong'si
白芍总苷胶囊,bai'shao'zong'gan'jiao'nang
白石清热颗粒,bai'shi'qing're'ke'li
百士欣,bai'shi'xin
拜唐苹,bai'tang'ping
白特喜,bai'te'xi
百为乐,bai'wei'le
百为晴,bai'wei'qing
百为坦,bai'wei'tan
拜新同,bai'xin'tong
百癣夏塔热片薄膜衣,bai'xuan'xia'ta're'pian'bo'mo'yi
百癣夏塔热片糖衣,bai'xuan'xia'ta're'pian'tang'yi
百夜星,bai'ye'xing
百优解,bai'you'jie
白芝颗粒,bai'zhi'ke'li
柏栀祛湿喷雾剂,bai'zhi'qu'shi'pen'wu'ji
柏栀祛湿洗液,bai'zhi'qu'shi'xi'ye
白纸扇感冒颗粒,bai'zhi'shan'gan'mao'ke'li
柏子养心片,bai'zi'yang'xin'pian
柏子养心丸,bai'zi'yang'xin'wan
柏子养心丸大蜜丸,bai'zi'yang'xin'wan'da'mi'wan
板蓝根颗粒,ban'lan'gen'ke'li
板蓝根颗粒无糖型,ban'lan'gen'ke'li'wu'tang'xing
板蓝根糖浆,ban'lan'gen'tang'jiang
板蓝根注射液,ban'lan'gen'zhu'she'ye
班宁,ban'ning
班赛,ban'sai
斑秃丸水蜜丸,ban'tu'wan'shui'mi'wan
半夏糖浆,ban'xia'tang'jiang
邦奥舒,bang'ao'shu
帮备,bang'bei
邦川乃新,bang'chuan'nai'xin
邦达,bang'da
邦解清,bang'jie'qing
邦莱,bang'lai
棒林,bang'lin
邦罗力,bang'luo'li
邦纳,bang'na
邦能,bang'neng
邦平,bang'ping
邦瑞得,bang'rui'de
邦赛,bang'sai
邦坦,bang'tan
邦亭,bang'ting
邦止林新,bang'zhi'lin'xin
宝宝乐颗粒,bao'bao'le'ke'li
保定步长天浩制药有限公司,bao'ding'bu'chang'tian'hao'zhi'yao'you'xian'gong'si
保定孚泰药业有限公司,bao'ding'fu'tai'yao'ye'you'xian'gong'si
保定三九济世生物药业有限公司,bao'ding'san'jiu'ji'shi'sheng'wu'yao'ye'you'xian'gong'si
保定中药制药有限公司,bao'ding'zhong'yao'zhi'yao'you'xian'gong'si
保儿安颗粒,bao'er'an'ke'li
宝儿康散,bao'er'kang'san
保儿宁颗粒,bao'er'ning'ke'li
保法止,bao'fa'zhi
保妇康泡沫剂,bao'fu'kang'pao'mo'ji
保妇康栓,bao'fu'kang'shuan
葆宫止血颗粒,bao'gong'zhi'xue'ke'li
保和堂焦作制药有限公司,bao'he'tang'jiao'zuo'zhi'yao'you'xian'gong'si
保和丸大蜜丸,bao'he'wan'da'mi'wan
保和丸浓缩丸,bao'he'wan'nong'suo'wan
宝鸡鑫中天制药有限公司,bao'ji'xin'zhong'tian'zhi'yao'you'xian'gong'si
保节力,bao'jie'li
宝咳宁颗粒,bao'ke'ning'ke'li
宝乐安,bao'le'an
葆利安,bao'li'an
保利尔胶囊,bao'li'er'jiao'nang
保力津,bao'li'jin
保列治,bao'lie'zhi
包林,bao'lin
胞磷胆碱钠胶囊,bao'lin'dan'jian'na'jiao'nang
胞磷胆碱钠氯化钠注射液,bao'lin'dan'jian'na'lv'hua'na'zhu'she'ye
胞磷胆碱钠片,bao'lin'dan'jian'na'pian
胞磷胆碱钠葡萄糖注射液,bao'lin'dan'jian'na'pu'tao'tang'zhu'she'ye
胞磷胆碱钠注射液,bao'lin'dan'jian'na'zhu'she'ye
宝龄托利儿,bao'ling'tuo'li'er
包醛氧淀粉胶囊,bao'quan'yang'dian'fen'jiao'nang
包醛氧淀粉散,bao'quan'yang'dian'fen'san
宝商集团陕西辰济药业有限公司,bao'shang'ji'tuan'shan'xi'chen'ji'yao'ye'you'xian'gong'si
保肾康,bao'shen'kang
保胎灵胶囊,bao'tai'ling'jiao'nang
保胎灵片薄膜衣,bao'tai'ling'pian'bo'mo'yi
保胎灵片糖衣,bao'tai'ling'pian'tang'yi
保泰松片糖衣,bao'tai'song'pian'tang'yi
保胎无忧片,bao'tai'wu'you'pian
保胎无忧散,bao'tai'wu'you'san
包头康力药业股份有限公司,bao'tou'kang'li'yao'ye'gu'fen'you'xian'gong'si
包头中药有限责任公司,bao'tou'zhong'yao'you'xian'ze'ren'gong'si
保胃胶囊,bao'wei'jiao'nang
保心宁胶囊,bao'xin'ning'jiao'nang
保心宁片,bao'xin'ning'pian
贝邦,bei'bang
呗呗嘿,bei'bei'hei
棓丙酯氯化钠注射液,bei'bing'zhi'lv'hua'na'zhu'she'ye
棓丙酯注射液,bei'bing'zhi'zhu'she'ye
倍得芬,bei'de'fen
倍恩,bei'en
倍芬,bei'fen
贝分,bei'fen
贝复济,bei'fu'ji
贝复舒,bei'fu'shu
贝复新,bei'fu'xin
北海国发海洋生物产业股份有限公司制药厂,bei'hai'guo'fa'hai'yang'sheng'wu'chan'ye'gu'fen'you'xian'gong'si'zhi'yao'chang
北海阳光药业有限公司,bei'hai'yang'guang'yao'ye'you'xian'gong'si
倍佳,bei'jia
北京安万特制药有限公司,bei'jing'an'wan'te'zhi'yao'you'xian'gong'si
北京百奥药业有限责任公司,bei'jing'bai'ao'yao'ye'you'xian'ze'ren'gong'si
北京百慧生化制药有限责任公司,bei'jing'bai'hui'sheng'hua'zhi'yao'you'xian'ze'ren'gong'si
北京北大维信生物科技有限公司,bei'jing'bei'da'wei'xin'sheng'wu'ke'ji'you'xian'gong'si
北京北大药业有限公司,bei'jing'bei'da'yao'ye'you'xian'gong'si
北京北陆药业股份有限公司,bei'jing'bei'lu'yao'ye'gu'fen'you'xian'gong'si
北京北卫药业有限责任公司,bei'jing'bei'wei'yao'ye'you'xian'ze'ren'gong'si
北京北医联合药业有限公司,bei'jing'bei'yi'lian'he'yao'ye'you'xian'gong'si
北京勃然制药有限公司,bei'jing'bo'ran'zhi'yao'you'xian'gong'si
北京长城制药厂,bei'jing'chang'cheng'zhi'yao'chang
北京大恒倍生制药厂有限公司,bei'jing'da'heng'bei'sheng'zhi'yao'chang'you'xian'gong'si
北京大恒榕业制药有限公司,bei'jing'da'heng'rong'ye'zhi'yao'you'xian'gong'si
北京东方协和医药生物技术有限公司,bei'jing'dong'fang'xie'he'yi'yao'sheng'wu'ji'shu'you'xian'gong'si
北京恩泽嘉事制药有限公司,bei'jing'en'ze'jia'shi'zhi'yao'you'xian'gong'si
北京费森尤斯卡比医药有限公司,bei'jing'fei'sen'you'si'ka'bi'yi'yao'you'xian'gong'si
北京广大制药厂,bei'jing'guang'da'zhi'yao'chang
北京海德润制药有限公司,bei'jing'hai'de'run'zhi'yao'you'xian'gong'si
北京海联制药有限公司,bei'jing'hai'lian'zhi'yao'you'xian'gong'si
北京汉典制药有限公司,bei'jing'han'dian'zhi'yao'you'xian'gong'si
北京韩美药品有限公司,bei'jing'han'mei'yao'pin'you'xian'gong'si
北京红林制药有限公司,bei'jing'hong'lin'zhi'yao'you'xian'gong'si
北京华尔孚制药公司,bei'jing'hua'er'fu'zhi'yao'gong'si
北京华靳制药有限公司,bei'jing'hua'jin'zhi'yao'you'xian'gong'si
北京华神制药有限公司,bei'jing'hua'shen'zhi'yao'you'xian'gong'si
北京华素制药股份有限公司,bei'jing'hua'su'zhi'yao'gu'fen'you'xian'gong'si
北京华洋奎龙药业有限公司,bei'jing'hua'yang'kui'long'yao'ye'you'xian'gong'si
北京嘉德制药有限公司,bei'jing'jia'de'zhi'yao'you'xian'gong'si
北京嘉林药业股份有限公司,bei'jing'jia'lin'yao'ye'gu'fen'you'xian'gong'si
北京建生药业有限公司,bei'jing'jian'sheng'yao'ye'you'xian'gong'si
北京京丰制药有限公司,bei'jing'jing'feng'zhi'yao'you'xian'gong'si
北京京海药业有限责任公司,bei'jing'jing'hai'yao'ye'you'xian'ze'ren'gong'si
北京京铁华龙药业有限责任公司,bei'jing'jing'tie'hua'long'yao'ye'you'xian'ze'ren'gong'si
北京九发药业有限公司,bei'jing'jiu'fa'yao'ye'you'xian'gong'si
北京九和药业有限公司,bei'jing'jiu'he'yao'ye'you'xian'gong'si
北京九龙制药有限公司,bei'jing'jiu'long'zhi'yao'you'xian'gong'si
北京巨能制药有限责任公司,bei'jing'ju'neng'zhi'yao'you'xian'ze'ren'gong'si
北京凯因生物技术有限公司,bei'jing'kai'yin'sheng'wu'ji'shu'you'xian'gong'si
北京康蒂尼药业有限公司,bei'jing'kang'di'ni'yao'ye'you'xian'gong'si
北京康而福药业有限责任公司,bei'jing'kang'er'fu'yao'ye'you'xian'ze'ren'gong'si
北京康乃克药业公司,bei'jing'kang'nai'ke'yao'ye'gong'si
北京朗依制药有限公司,bei'jing'lang'yi'zhi'yao'you'xian'gong'si
北京利龄恒泰药业有限公司,bei'jing'li'ling'heng'tai'yao'ye'you'xian'gong'si
北京利祥制药有限公司,bei'jing'li'xiang'zhi'yao'you'xian'gong'si
北京联合伟华药业有限公司,bei'jing'lian'he'wei'hua'yao'ye'you'xian'gong'si
北京龙泰基药业有限责任公司,bei'jing'long'tai'ji'yao'ye'you'xian'ze'ren'gong'si
北京麦迪海药业有限责任公司,bei'jing'mai'di'hai'yao'ye'you'xian'ze'ren'gong'si
北京诺华制药有限公司,bei'jing'nuo'hua'zhi'yao'you'xian'gong'si
北京秦武田制药有限公司,bei'jing'qin'wu'tian'zhi'yao'you'xian'gong'si
北京清华紫光制药厂,bei'jing'qing'hua'zi'guang'zhi'yao'chang
北京瑞得合通药业有限公司,bei'jing'rui'de'he'tong'yao'ye'you'xian'gong'si
北京锐业制药有限公司,bei'jing'rui'ye'zhi'yao'you'xian'gong'si
北京赛而生物药业有限公司,bei'jing'sai'er'sheng'wu'yao'ye'you'xian'gong'si
北京赛科药业有限责任公司,bei'jing'sai'ke'yao'ye'you'xian'ze'ren'gong'si
北京赛生药业有限公司,bei'jing'sai'sheng'yao'ye'you'xian'gong'si
北京三九药业有限公司,bei'jing'san'jiu'yao'ye'you'xian'gong'si
北京三元基因工程有限公司,bei'jing'san'yuan'ji'yin'gong'cheng'you'xian'gong'si
北京圣永制药有限公司,bei'jing'sheng'yong'zhi'yao'you'xian'gong'si
北京市东升药业有限责任公司,bei'jing'shi'dong'sheng'yao'ye'you'xian'ze'ren'gong'si
北京世桥生物制药有限公司,bei'jing'shi'qiao'sheng'wu'zhi'yao'you'xian'gong'si
北京市永康药业有限公司,bei'jing'shi'yong'kang'yao'ye'you'xian'gong'si
北京曙光药业有限责任公司,bei'jing'shu'guang'yao'ye'you'xian'ze'ren'gong'si
北京双鹤高科天然药物有限责任公司,bei'jing'shuang'he'gao'ke'tian'ran'yao'wu'you'xian'ze'ren'gong'si
北京双鹤现代医药技术有限责任公司,bei'jing'shuang'he'xian'dai'yi'yao'ji'shu'you'xian'ze'ren'gong'si
北京双鹤药业股份有限公司,bei'jing'shuang'he'yao'ye'gu'fen'you'xian'gong'si
北京双吉制药有限公司,bei'jing'shuang'ji'zhi'yao'you'xian'gong'si
北京双鹭药业股份有限公司,bei'jing'shuang'lu'yao'ye'gu'fen'you'xian'gong'si
北京顺鑫祥云药业有限责任公司,bei'jing'shun'xin'xiang'yun'yao'ye'you'xian'ze'ren'gong'si
北京四环科宝制药有限公司,bei'jing'si'huan'ke'bao'zhi'yao'you'xian'gong'si
北京四环生物制药有限公司,bei'jing'si'huan'sheng'wu'zhi'yao'you'xian'gong'si
北京四环医药科技股份有限公司,bei'jing'si'huan'yi'yao'ke'ji'gu'fen'you'xian'gong'si
北京四环制药有限公司,bei'jing'si'huan'zhi'yao'you'xian'gong'si
北京泰德制药有限公司,bei'jing'tai'de'zhi'yao'you'xian'gong'si
北京太洋药业有限公司,bei'jing'tai'yang'yao'ye'you'xian'gong'si
北京天九药业有限公司,bei'jing'tian'jiu'yao'ye'you'xian'gong'si
北京天坛生物制品股份有限公司,bei'jing'tian'tan'sheng'wu'zhi'pin'gu'fen'you'xian'gong'si
北京同仁堂股份有限公司同仁堂制药厂,bei'jing'tong'ren'tang'gu'fen'you'xian'gong'si'tong'ren'tang'zhi'yao'chang
北京同仁堂鸿日药业有限公司,bei'jing'tong'ren'tang'hong'ri'yao'ye'you'xian'gong'si
北京同仁堂科技发展股份有限公司制药厂,bei'jing'tong'ren'tang'ke'ji'fa'zhan'gu'fen'you'xian'gong'si'zhi'yao'chang
北京托毕西药业有限公司,bei'jing'tuo'bi'xi'yao'ye'you'xian'gong'si
北京万辉双鹤药业有限责任公司,bei'jing'wan'hui'shuang'he'yao'ye'you'xian'ze'ren'gong'si
北京万生药业有限责任公司,bei'jing'wan'sheng'yao'ye'you'xian'ze'ren'gong'si
北京协和康友制药有限公司,bei'jing'xie'he'kang'you'zhi'yao'you'xian'gong'si
北京协和药厂,bei'jing'xie'he'yao'chang
北京新里程药业有限公司,bei'jing'xin'li'cheng'yao'ye'you'xian'gong'si
北京星昊医药股份有限公司,bei'jing'xing'hao'yi'yao'gu'fen'you'xian'gong'si
北京修成药业有限公司,bei'jing'xiu'cheng'yao'ye'you'xian'gong'si
北京亚东生物制药有限公司,bei'jing'ya'dong'sheng'wu'zhi'yao'you'xian'gong'si
北京益民药业有限公司,bei'jing'yi'min'yao'ye'you'xian'gong'si
北京银建药业有限公司,bei'jing'yin'jian'yao'ye'you'xian'gong'si
北京永正制药有限责任公司,bei'jing'yong'zheng'zhi'yao'you'xian'ze'ren'gong'si
北京友博药业有限责任公司,bei'jing'you'bo'yao'ye'you'xian'ze'ren'gong'si
北京优华药业有限公司,bei'jing'you'hua'yao'ye'you'xian'gong'si
北京优你特药业有限公司,bei'jing'you'ni'te'yao'ye'you'xian'gong'si
北京远策药业有限责任公司,bei'jing'yuan'ce'yao'ye'you'xian'ze'ren'gong'si
北京源生素源生物科技有限公司,bei'jing'yuan'sheng'su'yuan'sheng'wu'ke'ji'you'xian'gong'si
北京云大药业有限公司,bei'jing'yun'da'yao'ye'you'xian'gong'si
北京贞玉民生药业有限公司,bei'jing'zhen'yu'min'sheng'yao'ye'you'xian'gong'si
北京正邦制药有限公司,bei'jing'zheng'bang'zhi'yao'you'xian'gong'si
北京中新制药厂,bei'jing'zhong'xin'zhi'yao'chang
北京中医药大学药厂,bei'jing'zhong'yi'yao'da'xue'yao'chang
北京紫竹药业有限公司,bei'jing'zi'zhu'yao'ye'you'xian'gong'si
贝桔止咳糖浆,bei'ju'zhi'ke'tang'jiang
贝可,bei'ke
贝莱,bei'lai
贝兰德,bei'lan'de
贝乐司,bei'le'si
倍乐信,bei'le'xin
贝力斯,bei'li'si
蓓隆,bei'long
倍珞,bei'luo
贝美格注射液,bei'mei'ge'zhu'she'ye
倍美力,bei'mei'li
贝美前列素滴眼液,bei'mei'qian'lie'su'di'yan'ye
贝敏伪麻片,bei'min'wei'ma'pian
倍能,bei'neng
倍尼,bei'ni
倍诺喜,bei'nuo'xi
贝诺酯分散片,bei'nuo'zhi'fen'san'pian
贝诺酯片,bei'nuo'zhi'pian
倍平,bei'ping
倍清星,bei'qing'xing
倍然,bei'ran
倍溶,bei'rong
贝瑞宁,bei'rui'ning
倍沙,bei'sha
贝施利,bei'shi'li
备疏,bei'shu
倍舒林,bei'shu'lin
贝思,bei'si
倍司特克,bei'si'te'ke
贝速清,bei'su'qing
贝他根,bei'ta'gen
倍他胡萝卜素胶囊,bei'ta'hu'luo'bo'su'jiao'nang
倍他乐克,bei'ta'le'ke
倍他米松磷酸钠注射液,bei'ta'mi'song'lin'suan'na'zhu'she'ye
倍他米松片,bei'ta'mi'song'pian
倍他米松乳膏,bei'ta'mi'song'ru'gao
倍他舒,bei'ta'shu
贝唐宁,bei'tang'ning
贝特令,bei'te'ling
贝特舒,bei'te'shu
贝希,bei'xi
贝西迪,bei'xi'di
倍欣,bei'xin
倍辛,bei'xin
倍兴,bei'xing
北镇市山庆制药有限公司,bei'zhen'shi'shan'qing'zhi'yao'you'xian'gong'si
倍宗,bei'zong
苯磺酸氨氯地平分散片,ben'huang'suan'an'lv'di'ping'fen'san'pian
苯磺酸氨氯地平胶囊,ben'huang'suan'an'lv'di'ping'jiao'nang
苯磺酸氨氯地平片,ben'huang'suan'an'lv'di'ping'pian
苯磺酸左旋氨氯地平片,ben'huang'suan'zuo'xuan'an'lv'di'ping'pian
苯甲醇注射液,ben'jia'chun'zhu'she'ye
苯甲酸利扎曲普坦胶囊,ben'jia'suan'li'zha'qu'pu'tan'jiao'nang
本力,ben'li
苯妥英钠片,ben'tuo'ying'na'pian
苯酰甲硝唑分散片,ben'xian'jia'xiao'zuo'fen'san'pian
苯酰甲硝唑胶囊,ben'xian'jia'xiao'zuo'jiao'nang
苯溴马隆胶囊,ben'xiu'ma'long'jiao'nang
苯溴马隆片,ben'xiu'ma'long'pian
本悦,ben'yue
苯扎贝特片,ben'zha'bei'te'pian
苯扎贝特片薄膜衣,ben'zha'bei'te'pian'bo'mo'yi
苯扎氯铵溶液,ben'zha'lv'an'rong'ye
苯唑西林钠胶囊,ben'zuo'xi'lin'na'jiao'nang
蚌埠市宏业生化制药厂,beng'bu'shi'hong'ye'sheng'hua'zhi'yao'chang
比拜克胶囊,bi'bai'ke'jiao'nang
吡贝地尔缓释片,bi'bei'di'er'huan'shi'pian
必采尼,bi'cai'ni
必存,bi'cun
彼迪明,bi'di'ming
鼻窦炎口服液,bi'dou'yan'kou'fu'ye
必伏,bi'fu
碧洁,bi'jie
比卡鲁胺胶囊,bi'ka'lu'an'jiao'nang
吡拉西坦胶囊,bi'la'xi'tan'jiao'nang
吡拉西坦颗粒,bi'la'xi'tan'ke'li
吡拉西坦口服溶液,bi'la'xi'tan'kou'fu'rong'ye
吡拉西坦氯化钠注射液,bi'la'xi'tan'lv'hua'na'zhu'she'ye
吡拉西坦片,bi'la'xi'tan'pian
吡拉西坦葡萄糖注射液,bi'la'xi'tan'pu'tao'tang'zhu'she'ye
吡拉西坦注射液,bi'la'xi'tan'zhu'she'ye
必兰,bi'lan
比立,bi'li
毕利,bi'li
比利时先灵葆雅制药厂,bi'li'shi'xian'ling'bao'ya'zhi'yao'chang
比利时先灵葆雅制药厂上海先灵葆雅分装,bi'li'shi'xian'ling'bao'ya'zhi'yao'chang'shang'hai'xian'ling'bao'ya'fen'zhuang
毕立枢,bi'li'shu
必理通,bi'li'tong
必亮,bi'liang
荜铃胃痛颗粒,bi'ling'wei'tong'ke'li
吡硫翁锌气雾剂,bi'liu'weng'xin'qi'wu'ji
必洛斯,bi'luo'si
彼洛彤,bi'luo'tong
吡罗昔康肠溶片,bi'luo'xi'kang'chang'rong'pian
吡罗昔康片糖衣,bi'luo'xi'kang'pian'tang'yi
吡罗昔康软膏,bi'luo'xi'kang'ruan'gao
吡罗昔康贴片,bi'luo'xi'kang'tie'pian
吡罗昔康注射液,bi'luo'xi'kang'zhu'she'ye
蓖麻油,bi'ma'you
铋镁豆蔻片,bi'mei'dou'kou'pian
吡美莫司乳膏,bi'mei'mo'si'ru'gao
吡嘧司特钾滴眼液,bi'mi'si'te'jia'di'yan'ye
吡嘧司特钾片薄膜衣,bi'mi'si'te'jia'pian'bo'mo'yi
必纳维,bi'na'wei
彼诺,bi'nuo
毕诺,bi'nuo
吡诺克辛滴眼液,bi'nuo'ke'xin'di'yan'ye
吡诺克辛钠滴眼液,bi'nuo'ke'xin'na'di'yan'ye
吡哌酸片,bi'pai'suan'pian
必奇,bi'qi
痹祺胶囊,bi'qi'jiao'nang
吡嗪酰胺片,bi'qin'xian'an'pian
鼻塞通滴鼻剂,bi'se'tong'di'bi'ji
比沙可啶栓,bi'sha'ke'ding'shuan
鼻舒适片薄膜衣,bi'shu'shi'pian'bo'mo'yi
彼司克,bi'si'ke
毕思灵,bi'si'ling
比索洛尔氢氯噻嗪片薄膜衣,bi'suo'luo'er'qing'lv'sai'qin'pian'bo'mo'yi
比特力,bi'te'li
鼻通滴鼻剂,bi'tong'di'bi'ji
痹痛宁胶囊,bi'tong'ning'jiao'nang
比希,bi'xi
萆薢分清丸水丸,bi'xie'fen'qing'wan'shui'wan
彼欣,bi'xin
痹欣片薄膜衣,bi'xin'pian'bo'mo'yi
比亚芬,bi'ya'fen
鼻咽灵片糖衣,bi'yan'ling'pian'tang'yi
鼻炎灵丸水丸,bi'yan'ling'wan'shui'wan
鼻炎宁冲剂,bi'yan'ning'chong'ji
鼻炎宁胶囊,bi'yan'ning'jiao'nang
鼻炎糖浆,bi'yan'tang'jiang
鼻渊胶囊,bi'yuan'jiao'nang
鼻渊舒口服液无糖型,bi'yuan'shu'kou'fu'ye'wu'tang'xing
鼻渊通窍颗粒,bi'yuan'tong'qiao'ke'li
毕正,bi'zheng
苄达赖氨酸滴眼液,bian'da'lai'an'suan'di'yan'ye
表实感冒颗粒,biao'shi'gan'mao'ke'li
标准桃金娘油肠溶胶囊成人装,biao'zhun'tao'jin'niang'you'chang'rong'jiao'nang'cheng'ren'zhuang
标准桃金娘油肠溶胶囊儿童装,biao'zhun'tao'jin'niang'you'chang'rong'jiao'nang'er'tong'zhuang
鳖甲消痔胶囊,bie'jia'xiao'zhi'jiao'nang
别嘌醇片,bie'piao'chun'pian
丙氨酰谷氨酰胺注射液,bing'an'xian'gu'an'xian'an'zhu'she'ye
丙泊酚中长链脂肪乳注射液,bing'bo'fen'zhong'chang'lian'zhi'fang'ru'zhu'she'ye
丙泊酚注射液,bing'bo'fen'zhu'she'ye
丙谷胺片,bing'gu'an'pian
冰黄肤乐软膏,bing'huang'fu'le'ruan'gao
槟榔十三味丸水丸,bing'lang'shi'san'wei'wan'shui'wan
冰连滴耳剂,bing'lian'di'er'ji
丙硫氧嘧啶肠溶胶囊,bing'liu'yang'mi'ding'chang'rong'jiao'nang
丙硫氧嘧啶片,bing'liu'yang'mi'ding'pian
丙酸倍氯米松鼻气雾剂,bing'suan'bei'lv'mi'song'bi'qi'wu'ji
丙酸倍氯米松气雾剂,bing'suan'bei'lv'mi'song'qi'wu'ji
丙酸倍氯米松乳膏,bing'suan'bei'lv'mi'song'ru'gao
丙酸氟替卡松鼻喷雾剂,bing'suan'fu'ti'ka'song'bi'pen'wu'ji
丙酸氟替卡松乳膏,bing'suan'fu'ti'ka'song'ru'gao
丙酸氟替卡松吸入气雾剂,bing'suan'fu'ti'ka'song'xi'ru'qi'wu'ji
丙酸睾酮注射液,bing'suan'gao'tong'zhu'she'ye
丙戊酸镁缓释片,bing'wu'suan'mei'huan'shi'pian
丙戊酸镁片,bing'wu'suan'mei'pian
丙戊酸钠缓释片,bing'wu'suan'na'huan'shi'pian
丙戊酸钠口服溶液,bing'wu'suan'na'kou'fu'rong'ye
丙戊酸钠片,bing'wu'suan'na'pian
丙戊酸钠片糖衣,bing'wu'suan'na'pian'tang'yi
丙戊酸钠糖浆,bing'wu'suan'na'tang'jiang
丙氧氨酚片,bing'yang'an'fen'pian
波贝,bo'bei
博德,bo'de
博帝,bo'di
博迪同,bo'di'tong
伯尔定,bo'er'ding
博尔宁胶囊,bo'er'ning'jiao'nang
博福益普生天津制药有限公司,bo'fu'yi'pu'sheng'tian'jin'zhi'yao'you'xian'gong'si
伯基,bo'ji
博健,bo'jian
博静,bo'jing
博卡莱,bo'ka'lai
博可保,bo'ke'bao
伯克纳,bo'ke'na
博拉康唯,bo'la'kang'wei
博来宁,bo'lai'ning
伯来通,bo'lai'tong
博乐,bo'le
博乐欣,bo'le'xin
博力高,bo'li'gao
搏力高,bo'li'gao
博利康尼,bo'li'kang'ni
玻璃酸钠滴眼液,bo'li'suan'na'di'yan'ye
玻璃酸钠注射液,bo'li'suan'na'zhu'she'ye
波利特,bo'li'te
波立维,bo'li'wei
博路定,bo'lu'ding
菠萝蛋白酶肠溶片,bo'luo'dan'bai'mei'chang'rong'pian
博洛克,bo'luo'ke
博曼欣,bo'man'xin
博美欣,bo'mei'xin
薄膜衣片,bo'mo'yi'pian
博那痛,bo'na'tong
博宁,bo'ning
博平,bo'ping
博普,bo'pu
博璞青,bo'pu'qing
泊瑞,bo'rui
博沙,bo'sha
博生,bo'sheng
博仕多邦,bo'shi'duo'bang
博仕多清,bo'shi'duo'qing
博士多他,bo'shi'duo'ta
博士多为,bo'shi'duo'wei
博帅,bo'shuai
博爽,bo'shuang
博思清,bo'si'qing
博斯特,bo'si'te
博苏,bo'su
博维赫,bo'wei'he
搏沃欣,bo'wo'xin
博信,bo'xin
博欣,bo'xin
波依定,bo'yi'ding
博盈康,bo'ying'kang
拨云锭,bo'yun'ding
博占同,bo'zhan'tong
博治,bo'zhi
薄芝片,bo'zhi'pian
薄芝糖肽注射液,bo'zhi'tang'tai'zhu'she'ye
布地奈德鼻喷雾剂,bu'di'nai'de'bi'pen'wu'ji
布地奈德粉吸入剂,bu'di'nai'de'fen'xi'ru'ji
布地奈德福莫特罗粉吸入剂,bu'di'nai'de'fu'mo'te'luo'fen'xi'ru'ji
布地奈德气雾剂,bu'di'nai'de'qi'wu'ji
补肺活血胶囊,bu'fei'huo'xue'jiao'nang
步复迈,bu'fu'mai
补骨脂注射液,bu'gu'zhi'zhu'she'ye
补佳乐,bu'jia'le
卜可,bu'ke
不拉拉,bu'la'la
布累迪宁,bu'lei'di'ning
步利仙,bu'li'xian
布林佐胺滴眼液,bu'lin'zuo'an'di'yan'ye
布洛芬干混悬剂,bu'luo'fen'gan'hun'xuan'ji
布洛芬缓释胶囊,bu'luo'fen'huan'shi'jiao'nang
布洛芬缓释片,bu'luo'fen'huan'shi'pian
布洛芬混悬液,bu'luo'fen'hun'xuan'ye
布洛芬咀嚼片,bu'luo'fen'ju'jue'pian
布洛芬颗粒,bu'luo'fen'ke'li
布洛芬口服液,bu'luo'fen'kou'fu'ye
布洛芬口腔崩解片,bu'luo'fen'kou'qiang'beng'jie'pian
布洛芬片薄膜衣,bu'luo'fen'pian'bo'mo'yi
布洛芬片糖衣,bu'luo'fen'pian'tang'yi
布洛芬乳膏,bu'luo'fen'ru'gao
布洛芬软胶囊,bu'luo'fen'ruan'jiao'nang
布洛伪麻干混悬剂,bu'luo'wei'ma'gan'hun'xuan'ji
布洛伪麻片,bu'luo'wei'ma'pian
