阿大多为,a'da'duo'wei
包装机,bao'zhuang'ji
包装机械,bao'zhuang'ji'xie
包装检验,bao'zhuang'jian'yan
包装箱,bao'zhuang'xiang
包装用线盘,bao'zhuang'yong'xian'pan
包装运输及称量,bao'zhuang'yun'shu'ji'cheng'liang
保自动化,bao'zi'dong'hua
保自动化二,bao'zi'dong'hua'er
背板,bei'ban
背板图,bei'ban'tu
被测,bei'ce
被代,bei'dai
被动,bei'dong
被动式放线装置,bei'dong'shi'fang'xian'zhuang'zhi
贝尔电话试验室,bei'er'dian'hua'shi'yan'shi
贝尔通信标准,bei'er'tong'xin'biao'zhun
贝尔通信研究所,bei'er'tong'xin'yan'jiu'suo
被放在,bei'fang'zai
备份,bei'fen
被风相,bei'feng'xiang
备件,bei'jian
备件备用部件,bei'jian'bei'yong'bu'jian
备件仓库,bei'jian'cang'ku
备件清单,bei'jian'qing'dan
北京,bei'jing
北京华力,bei'jing'hua'li
北京四方,bei'jing'si'fang
北井线,bei'jing'xian
背裂,bei'lie
贝纶,bei'lun
北门,bei'men
背面,bei'mian
背面布线,bei'mian'bu'xian
备品,bei'pin
备品备件,bei'pin'bei'jian
备品贮存,bei'pin'zhu'cun
北平,bei'ping
被迫,bei'po
背上,bei'shang
背上就,bei'shang'jiu
贝氏体,bei'shi'ti
被踢,bei'ti
备投解列,bei'tou'jie'lie
卑微,bei'wei
背向散射,bei'xiang'san'she
贝歇尔管,bei'xie'er'guan
备用,bei'yong
备用保护,bei'yong'bao'hu
备用处理,bei'yong'chu'li
备用电缆,bei'yong'dian'lan
备用电源,bei'yong'dian'yuan
备用柜,bei'yong'gui
备用间隔,bei'yong'jian'ge
备用孔,bei'yong'kong
备用零件,bei'yong'ling'jian
备用母线,bei'yong'mu'xian
备用设备,bei'yong'she'bei
备用四线组,bei'yong'si'xian'zu
备用线,bei'yong'xian
备用线对,bei'yong'xian'dui
备用线组,bei'yong'xian'zu
备用芯,bei'yong'xin
备用中继线,bei'yong'zhong'ji'xian
备战,bei'zhan
备战继保,bei'zhan'ji'bao
备注,bei'zhu
杯锥形断线,bei'zhui'xing'duan'xian
杯锥状断口钢丝,bei'zhui'zhuang'duan'kou'gang'si
备自投,bei'zi'tou
备自投分,bei'zi'tou'fen
备自投该接线,bei'zi'tou'gai'jie'xian
备自投实跳,bei'zi'tou'shi'tiao
备自投试验,bei'zi'tou'shi'yan
备自投调,bei'zi'tou'tiao
备自投正确,bei'zi'tou'zheng'que
备自投主电源,bei'zi'tou'zhu'dian'yuan
备自投装置,bei'zi'tou'zhuang'zhi
被子图,bei'zi'tu
苯胺点,ben'an'dian
本安电缆,ben'an'dian'lan
本安电路,ben'an'dian'lu
本版,ben'ban
笨并三唑,ben'bing'san'zuo
本次,ben'ci
本次轰动,ben'ci'hong'dong
本单位,ben'dan'wei
本单元,ben'dan'yuan
本地交换机,ben'di'jiao'huan'ji
本地前端,ben'di'qian'duan
本地网,ben'di'wang
本地用户连接电缆,ben'di'yong'hu'lian'jie'dian'lan
本方案,ben'fang'an
本公司,ben'gong'si
苯基硅氧烷,ben'ji'gui'yang'wan
本间隔,ben'jian'ge
本开关,ben'kai'guan
本科,ben'ke
本科继保工,ben'ke'ji'bao'gong
本例,ben'li
本年度,ben'nian'du
本期,ben'qi
本人,ben'ren
本身,ben'shen
本体,ben'ti
本体保护,ben'ti'bao'hu
本体档位,ben'ti'dang'wei
本体端子,ben'ti'duan'zi
本体端子箱,ben'ti'duan'zi'xiang
本体轻瓦斯,ben'ti'qing'wa'si
本体调试,ben'ti'tiao'shi
本体瓦斯,ben'ti'wa'si
本体压力释放,ben'ti'ya'li'shi'fang
本体重瓦斯,ben'ti'zhong'wa'si
本文,ben'wen
本线,ben'xian
本学习,ben'xue'xi
苯乙烯,ben'yi'xi
苯乙烯丁二烯橡胶,ben'yi'xi'ding'er'xi'xiang'jiao
苯乙烯绝缘电缆,ben'yi'xi'jue'yuan'dian'lan
本月,ben'yue
本站,ben'zhan
本章节,ben'zhang'jie
本着,ben'zhe
本周,ben'zhou
本周安全,ben'zhou'an'quan
本专业,ben'zhuan'ye
泵浦方式,beng'pu'fang'shi
泵用电缆,beng'yong'dian'lan
绷扎,beng'zha
比比率比值,bi'bi'lv'bi'zhi
必答题,bi'da'ti
必定,bi'ding
闭端,bi'duan
壁挂空调,bi'gua'kong'tiao
壁厚不均,bi'hou'bu'jun
壁厚及偏心测控仪,bi'hou'ji'pian'xin'ce'kong'yi
壁厚计算,bi'hou'ji'suan
闭环,bi'huan
闭环管理,bi'huan'guan'li
闭环厚度控制,bi'huan'hou'du'kong'zhi
闭环控制,bi'huan'kong'zhi
闭环式比例积分微分控制器,bi'huan'shi'bi'li'ji'fen'wei'fen'kong'zhi'qi
闭环式过滤系统,bi'huan'shi'guo'lv'xi'tong
闭环式控制器,bi'huan'shi'kong'zhi'qi
闭环式水冷却系统,bi'huan'shi'shui'leng'que'xi'tong
闭环张力控制,bi'huan'zhang'li'kong'zhi
笔记,bi'ji
比较,bi'jiao
比较保护,bi'jiao'bao'hu
比较低,bi'jiao'di
比较乱,bi'jiao'luan
比较强,bi'jiao'qiang
比较容易的,bi'jiao'rong'yi'de
比较仪,bi'jiao'yi
避开,bi'kai
闭孔结构,bi'kong'jie'gou
闭孔泡沫聚合物,bi'kong'pao'mo'ju'he'wu
闭孔泡沫塑料,bi'kong'pao'mo'su'liao
闭口杯引火点,bi'kou'bei'yin'huo'dian
避雷电缆,bi'lei'dian'lan
避雷器,bi'lei'qi
避雷器试验,bi'lei'qi'shi'yan
避雷器型号,bi'lei'qi'xing'hao
避雷线,bi'lei'xian
避雷线的铅垂部分,bi'lei'xian'de'qian'chui'bu'fen
避雷针,bi'lei'zhen
比例积分微分控制系统,bi'li'ji'fen'wei'fen'kong'zhi'xi'tong
闭路电视,bi'lu'dian'shi
闭路摄像机电缆,bi'lu'she'xiang'ji'dian'lan
比率差动,bi'lv'cha'dong
比率差动门槛,bi'lv'cha'dong'men'kan
比率制动,bi'lv'zhi'dong
避免,bi'mian
比拼,bi'pin
必然,bi'ran
比如,bi'ru
比赛,bi'sai
比色计,bi'se'ji
比试,bi'shi
笔试,bi'shi
闭锁,bi'suo
闭锁功能,bi'suo'gong'neng
闭锁了,bi'suo'le
闭锁式,bi'suo'shi
闭锁式保护,bi'suo'shi'bao'hu
闭锁式超范围保护,bi'suo'shi'chao'fan'wei'bao'hu
闭锁式皱纹,bi'suo'shi'zhou'wen
闭锁有载调压,bi'suo'you'zai'tiao'ya
闭锁中,bi'suo'zhong
比特差错率,bi'te'cha'cuo'lv
比特传输系统,bi'te'chuan'shu'xi'tong
比特传送系统,bi'te'chuan'song'xi'tong
比特间插,bi'te'jian'cha
比武,bi'wu
比武岗位,bi'wu'gang'wei
笔芯,bi'xin
比新贵,bi'xin'gui
毕新贵,bi'xin'gui
毕新贵范斌良,bi'xin'gui'fan'bin'liang
毕新贵壹,bi'xin'gui'yi
毕兴贵,bi'xing'gui
必须,bi'xu
必须关联,bi'xu'guan'lian
必须经过,bi'xu'jing'guo
必要,bi'yao
必要的,bi'yao'de
必要时,bi'yao'shi
毕业,bi'ye
毕业的梦想,bi'ye'de'meng'xiang
毕业证书,bi'ye'zheng'shu
比重瓶法,bi'zhong'ping'fa
鼻子,bi'zi
编包电缆,bian'bao'dian'lan
变比,bian'bi
扁编织导线,bian'bian'zhi'dao'xian
变成,bian'cheng
扁充油电缆,bian'chong'you'dian'lan
边打着,bian'da'zhe
便带呢,bian'dai'ne
扁导体带状电缆,bian'dao'ti'dai'zhuang'dian'lan
变电,bian'dian
变电部分,bian'dian'bu'fen
扁电磁线,bian'dian'ci'xian
变电检修,bian'dian'jian'xiu
变电检修二次,bian'dian'jian'xiu'er'ci
变电检修分公司,bian'dian'jian'xiu'fen'gong'si
变电检修工,bian'dian'jian'xiu'gong
变电检修公司,bian'dian'jian'xiu'gong'si
变电检修专工,bian'dian'jian'xiu'zhuan'gong
变电运行,bian'dian'yun'xing
变电运行人员,bian'dian'yun'xing'ren'yuan
变电运行验收,bian'dian'yun'xing'yan'shou
变电站,bian'dian'zhan
变电站保护,bian'dian'zhan'bao'hu
变电站初验,bian'dian'zhan'chu'yan
变电站的,bian'dian'zhan'de
变电站干旱,bian'dian'zhan'gan'han
变电站工作,bian'dian'zhan'gong'zuo
变电站技术,bian'dian'zhan'ji'shu
变电站母线,bian'dian'zhan'mu'xian
变电站内,bian'dian'zhan'nei
变电站跳开,bian'dian'zhan'tiao'kai
变电站线路,bian'dian'zhan'xian'lu
变电站主变,bian'dian'zhan'zhu'bian
变电站资料,bian'dian'zhan'zi'liao
变电专职,bian'dian'zhuan'zhi
编订进行,bian'ding'jin'xing
变动力矩,bian'dong'li'ju
变二,bian'er
变幅,bian'fu
变改造工程,bian'gai'zao'gong'cheng
扁钢,bian'gang
扁钢丝铠装,bian'gang'si'kai'zhuang
变革,bian'ge
变更,bian'geng
变更通知书,bian'geng'tong'zhi'shu
编号,bian'hao
变化,bian'hua
变化误差率,bian'hua'wu'cha'lv
变换,bian'huan
变换节距,bian'huan'jie'ju
变换扭绞平衡,bian'huan'niu'jiao'ping'heng
变换器,bian'huan'qi
变换区,bian'huan'qu
变换蚀储线器,bian'huan'shi'chu'xian'qi
边角,bian'jiao
变进线,bian'jin'xian
边坑边隧道光纤,bian'keng'bian'sui'dao'guang'xian
边坑光纤,bian'keng'guang'xian
便利,bian'li
编码,bian'ma
编码格式,bian'ma'ge'shi
编码机,bian'ma'ji
编码解码器,bian'ma'jie'ma'qi
编码器,bian'ma'qi
变频电机,bian'pin'dian'ji
变频器,bian'pin'qi
扁平编织线,bian'ping'bian'zhi'xian
扁平带状电缆,bian'ping'dai'zhuang'dian'lan
边坡,bian'po
辨识,bian'shi
变失灵,bian'shi'ling
扁丝绞合机,bian'si'jiao'he'ji
扁丝绕包机,bian'si'rao'bao'ji
变送器,bian'song'qi
变速齿轮箱,bian'su'chi'lun'xiang
变速齿轮装置,bian'su'chi'lun'zhuang'zhi
变速电动机,bian'su'dian'dong'ji
变速器,bian'su'qi
编外,bian'wai
变为,bian'wei
变位,bian'wei
变细,bian'xi
扁线,bian'xian
边线,bian'xian
扁线机,bian'xian'ji
变相关,bian'xiang'guan
便携,bian'xie
编写,bian'xie
便携机,bian'xie'ji
便携式,bian'xie'shi
便携式海洋电缆处理设备,bian'xie'shi'hai'yang'dian'lan'chu'li'she'bei
便携式软线,bian'xie'shi'ruan'xian
便携式张力测试仪,bian'xie'shi'zhang'li'ce'shi'yi
变新增,bian'xin'zeng
变形,bian'xing
变形成,bian'xing'cheng
扁形电缆,bian'xing'dian'lan
变形区,bian'xing'qu
扁形软电缆,bian'xing'ruan'dian'lan
扁形软线接头,bian'xing'ruan'xian'jie'tou
扁形双芯软绳,bian'xing'shuang'xin'ruan'sheng
扁形双芯塞绳,bian'xing'shuang'xin'sai'sheng
变形速度,bian'xing'su'du
变形图示法,bian'xing'tu'shi'fa
变形稳定性,bian'xing'wen'ding'xing
变形支承体,bian'xing'zhi'cheng'ti
变压器,bian'ya'qi
变压器保护屏,bian'ya'qi'bao'hu'ping
变压器的,bian'ya'qi'de
变压器的侧,bian'ya'qi'de'ce
变压器柜,bian'ya'qi'gui
变压器绕组线,bian'ya'qi'rao'zu'xian
变压器式电缆终端,bian'ya'qi'shi'dian'lan'zhong'duan
变压器系统调试,bian'ya'qi'xi'tong'tiao'shi
变压器引接线,bian'ya'qi'yin'jie'xian
变压器引入线,bian'ya'qi'yin'ru'xian
变压所,bian'ya'suo
便于,bian'yu
边缘穿孔卡连接线,bian'yuan'chuan'kong'ka'lian'jie'xian
辩证,bian'zheng
编制,bian'zhi
贬值,bian'zhi
编织层,bian'zhi'ceng
编织层的浸渍,bian'zhi'ceng'de'jin'zi
编织车间,bian'zhi'che'jian
编织导线,bian'zhi'dao'xian
编织点,bian'zhi'dian
编织电缆,bian'zhi'dian'lan
编织覆盖率,bian'zhi'fu'gai'lv
编织机,bian'zhi'ji
编织机的摆动臂,bian'zhi'ji'de'bai'dong'bi
编织机锭子,bian'zhi'ji'ding'zi
编织角,bian'zhi'jiao
编织节距,bian'zhi'jie'ju
编织绝缘电缆,bian'zhi'jue'yuan'dian'lan
编织密度,bian'zhi'mi'du
编织密度系数,bian'zhi'mi'du'xi'shu
编织屏蔽,bian'zhi'ping'bi
编织屏蔽编织屏蔽层,bian'zhi'ping'bi'bian'zhi'ping'bi'ceng
编织屏蔽超软型接地导体,bian'zhi'ping'bi'chao'ruan'xing'jie'di'dao'ti
编织屏蔽电缆,bian'zhi'ping'bi'dian'lan
编织软绳,bian'zhi'ruan'sheng
编制说明,bian'zhi'shuo'ming
编织套,bian'zhi'tao
编织同轴屏蔽,bian'zhi'tong'zhou'ping'bi
编织头,bian'zhi'tou
编织涂蜡,bian'zhi'tu'la
编织涂蜡车间,bian'zhi'tu'la'che'jian
编织涂蜡工段,bian'zhi'tu'la'gong'duan
编织物,bian'zhi'wu
编织线,bian'zhi'xian
编织线芯超导体,bian'zhi'xian'xin'chao'dao'ti
变综自,bian'zong'zi
变阻电缆,bian'zu'dian'lan
变阻器,bian'zu'qi
表笔,biao'bi
表层线,biao'ceng'xian
标称,biao'cheng
标称尺寸,biao'cheng'chi'cun
标称电压,biao'cheng'dian'ya
标称断裂载荷,biao'cheng'duan'lie'zai'he
标称功率,biao'cheng'gong'lv
标称厚度,biao'cheng'hou'du
标称截面,biao'cheng'jie'mian
标称值,biao'cheng'zhi
标称直径,biao'cheng'zhi'jing
表达,biao'da
标定校验,biao'ding'jiao'yan
表格,biao'ge
标号,biao'hao
标号电缆线芯,biao'hao'dian'lan'xian'xin
标号管,biao'hao'guan
标号头,biao'hao'tou
标黄,biao'huang
标记,biao'ji
表计,biao'ji
表继保班,biao'ji'bao'ban
标记杆,biao'ji'gan
标记条,biao'ji'tiao
标件,biao'jian
标件不完善,biao'jian'bu'wan'shan
标距,biao'ju
表刘毅,biao'liu'yi
标么值,biao'me'zhi
表面,biao'mian
表面白斑,biao'mian'bai'ban
表面变化检测器,biao'mian'bian'hua'jian'ce'qi
表面层,biao'mian'ceng
表面处理导体,biao'mian'chu'li'dao'ti
表面处理离心机,biao'mian'chu'li'li'xin'ji
表面粗糙度,biao'mian'cu'cao'du
表面淬火,biao'mian'cui'huo
表面电阻,biao'mian'dian'zu
表面电阻率,biao'mian'dian'zu'lv
表面电阻试验,biao'mian'dian'zu'shi'yan
表面分析技术,biao'mian'fen'xi'ji'shu
表面光洁度,biao'mian'guang'jie'du
表面光洁度检测仪,biao'mian'guang'jie'du'jian'ce'yi
表面活性剂,biao'mian'huo'xing'ji
表面加工,biao'mian'jia'gong
表面冷却电缆,biao'mian'leng'que'dian'lan
表面裂缝,biao'mian'lie'feng
表面留隙,biao'mian'liu'xi
表面气泡,biao'mian'qi'pao
表面缺陷,biao'mian'que'xian
表面润滑剂,biao'mian'run'hua'ji
表面凸起,biao'mian'tu'qi
表面析出,biao'mian'xi'chu
表面硬化,biao'mian'ying'hua
表面张力,biao'mian'zhang'li
表面质量,biao'mian'zhi'liang
表面状态因数,biao'mian'zhuang'tai'yin'shu
表面着色,biao'mian'zhuo'se
表面着色挤出系统,biao'mian'zhuo'se'ji'chu'xi'tong
标牌,biao'pai
表皮抛光模,biao'pi'pao'guang'mo
表屏,biao'ping
标签,biao'qian
标签标示,biao'qian'biao'shi
标签标志,biao'qian'biao'zhi
标签机,biao'qian'ji
标签机色带,biao'qian'ji'se'dai
标签目录,biao'qian'mu'lu
标色挤出机,biao'se'ji'chu'ji
标示,biao'shi
表示,biao'shi
表示层,biao'shi'ceng
标示电缆,biao'shi'dian'lan
标示牌,biao'shi'pai
标识牌,biao'shi'pai
标书,biao'shu
表现,biao'xian
表现消缺,biao'xian'xiao'que
表写,biao'xie
标印速度,biao'yin'su'du
标印质量,biao'yin'zhi'liang
标印字体,biao'yin'zi'ti
标语,biao'yu
表彰,biao'zhang
标志,biao'zhi
标志带,biao'zhi'dai
标志单位,biao'zhi'dan'wei
表直到,biao'zhi'dao
标志卡,biao'zhi'ka
标志脉冲,biao'zhi'mai'chong
标志器,biao'zhi'qi
标志色,biao'zhi'se
标志四线组,biao'zhi'si'xian'zu
标志线,biao'zhi'xian
标识元件,biao'zhi'yuan'jian
标准,biao'zhun
标准的机组数据显示,biao'zhun'de'ji'zu'shu'ju'xian'shi
标准电话回路,biao'zhun'dian'hua'hui'lu
标准电缆,biao'zhun'dian'lan
标准电缆英里,biao'zhun'dian'lan'ying'li
标准辐射源,biao'zhun'fu'she'yuan
标准工具栏,biao'zhun'gong'ju'lan
标准工作温度,biao'zhun'gong'zuo'wen'du
标准管理,biao'zhun'guan'li
标准光接口速率,biao'zhun'guang'jie'kou'su'lv
标准规块,biao'zhun'gui'kuai
标准弧垂,biao'zhun'hu'chui
标准化,biao'zhun'hua
标准化班组,biao'zhun'hua'ban'zu
标准化作业,biao'zhun'hua'zuo'ye
标准键,biao'zhun'jian
标准交货长度,biao'zhun'jiao'huo'chang'du
标准界面,biao'zhun'jie'mian
标准接头,biao'zhun'jie'tou
标准聚乙烯挤出机,biao'zhun'ju'yi'xi'ji'chu'ji
标准抗拉电缆,biao'zhun'kang'la'dian'lan
标准模具形状,biao'zhun'mu'ju'xing'zhuang
标准室,biao'zhun'shi
标准同轴电缆,biao'zhun'tong'zhou'dian'lan
标准同轴对,biao'zhun'tong'zhou'dui
标准线,biao'zhun'xian
标准眼图,biao'zhun'yan'tu
标准样品,biao'zhun'yang'pin
标准终端接口,biao'zhun'zhong'duan'jie'kou
别差动,bie'cha'dong
别说,bie'shuo
斌良,bin'liang
宾新贵,bin'xin'gui
宾招线,bin'zhao'xian
并包好,bing'bao'hao
并不是,bing'bu'shi
并朝内,bing'chao'nei
并朝内悬挂,bing'chao'nei'xuan'gua
秉承,bing'cheng
病床,bing'chuang
并存性,bing'cun'xing
冰岛加拿大电话电缆,bing'dao'jia'na'da'dian'hua'dian'lan
并对,bing'dui
并发,bing'fa
并发连续,bing'fa'lian'xu
并发连续高频,bing'fa'lian'xu'gao'pin
并沟线夹,bing'gou'xian'jia
并合面,bing'he'mian
并合模块,bing'he'mo'kuai
并激,bing'ji
并及时,bing'ji'shi
并架,bing'jia
并将其,bing'jiang'qi
并将其放到,bing'jiang'qi'fang'dao
并接,bing'jie
并结合,bing'jie'he
并接系统,bing'jie'xi'tong
并联,bing'lian
并联电容器,bing'lian'dian'rong'qi
并联环,bing'lian'huan
并联运行,bing'lian'yun'xing
并列,bing'lie
并列的,bing'lie'de
并列的摆动分线板,bing'lie'de'bai'dong'fen'xian'ban
并列式双盘收线装置,bing'lie'shi'shuang'pan'shou'xian'zhuang'zhi
并列圆导体扁电缆,bing'lie'yuan'dao'ti'bian'dian'lan
并列运行,bing'lie'yun'xing
并列装置,bing'lie'zhuang'zhi
并没有,bing'mei'you
并排敷没的电缆,bing'pai'fu'mei'de'dian'lan
并排敷设,bing'pai'fu'she
摒弃,bing'qi
并且,bing'qie
并全部被,bing'quan'bu'bei
并纱,bing'sha
并纱机,bing'sha'ji
并头套,bing'tou'tao
并未,bing'wei
并未中断,bing'wei'zhong'duan
丙烯,bing'xi
丙烯腈橡胶,bing'xi'jing'xiang'jiao
丙烯酸,bing'xi'suan
丙烯酸醋酸乙烯共聚物,bing'xi'suan'cu'suan'yi'xi'gong'ju'wu
丙烯酸酯热塑性树脂,bing'xi'suan'zhi're'su'xing'shu'zhi
丙烯酸酯橡胶,bing'xi'suan'zhi'xiang'jiao
并线口,bing'xian'kou
并线模,bing'xian'mo
并线模架,bing'xian'mo'jia
并线模座,bing'xian'mo'zuo
并显示,bing'xian'shi
并行接口,bing'xing'jie'kou
并行数据输出,bing'xing'shu'ju'shu'chu
并行数据输入,bing'xing'shu'ju'shu'ru
冰雪跳跃,bing'xue'tiao'yue
并要,bing'yao
并于,bing'yu
并予以,bing'yu'yi
并予以更换,bing'yu'yi'geng'huan
并于主站,bing'yu'zhu'zhan
并于主站与,bing'yu'zhu'zhan'yu
冰灾,bing'zai
并在,bing'zai
秉着,bing'zhe
并整定,bing'zheng'ding
并整定试验,bing'zheng'ding'shi'yan
并做好,bing'zuo'hao
并做好危险点,bing'zuo'hao'wei'xian'dian
波爱护,bo'ai'hu
波长,bo'chang
波长扫描法,bo'chang'sao'miao'fa
波长选择分路器,bo'chang'xuan'ze'fen'lu'qi
波长与电时分复用,bo'chang'yu'dian'shi'fen'fu'yong
剥除,bo'chu
剥除导体绝缘使导体裸露,bo'chu'dao'ti'jue'yuan'shi'dao'ti'luo'lu
剥除导线上的绝缘,bo'chu'dao'xian'shang'de'jue'yuan
剥除电缆护套,bo'chu'dian'lan'hu'tao
剥除绝缘,bo'chu'jue'yuan
波传播速度,bo'chuan'bo'su'du
波导电缆,bo'dao'dian'lan
波导模,bo'dao'mo
波导散射,bo'dao'san'she
波导色散,bo'dao'se'san
箔导体,bo'dao'ti
波导型光学环形器,bo'dao'xing'guang'xue'huan'xing'qi
博电,bo'dian
拨动开关,bo'dong'kai'guan
波段开关,bo'duan'kai'guan
波分复用,bo'fen'fu'yong
波分复用系统,bo'fen'fu'yong'xi'tong
波峰,bo'feng
波峰钎焊,bo'feng'qian'han
波高,bo'gao
波谷,bo'gu
拨号配模系统,bo'hao'pei'mo'xi'tong
剥开,bo'kai
勃朗德尔图表,bo'lang'de'er'tu'biao
玻璃布层压板,bo'li'bu'ceng'ya'ban
剥离层,bo'li'ceng
玻璃的原始强度,bo'li'de'yuan'shi'qiang'du
玻璃钢院,bo'li'gang'yuan
玻璃光纤,bo'li'guang'xian
玻璃化温度,bo'li'hua'wen'du
玻璃绝缘绕包线,bo'li'jue'yuan'rao'bao'xian
玻璃绝缘子,bo'li'jue'yuan'zi
剥离力,bo'li'li
泊里莲,bo'li'lian
玻璃膜绝缘超细线,bo'li'mo'jue'yuan'chao'xi'xian
玻璃膜绝缘微细镍铬合金线,bo'li'mo'jue'yuan'wei'xi'nie'ge'he'jin'xian
玻璃膜微细线,bo'li'mo'wei'xi'xian
玻璃漆布,bo'li'qi'bu
剥离强度,bo'li'qiang'du
剥离强度试验,bo'li'qiang'du'shi'yan
玻璃球,bo'li'qiu
剥离绳,bo'li'sheng
玻璃绳,bo'li'sheng
剥离试验,bo'li'shi'yan
玻璃丝,bo'li'si
玻璃丝包,bo'li'si'bao
玻璃丝包机,bo'li'si'bao'ji
玻璃丝包漆包线,bo'li'si'bao'qi'bao'xian
玻璃丝包铜扁线,bo'li'si'bao'tong'bian'xian
玻璃丝包线,bo'li'si'bao'xian
玻璃丝编织,bo'li'si'bian'zhi
玻璃丝编织带,bo'li'si'bian'zhi'dai
玻璃丝编织尼龙护套电缆,bo'li'si'bian'zhi'ni'long'hu'tao'dian'lan
玻璃丝编织铜扁线,bo'li'si'bian'zhi'tong'bian'xian
玻璃丝编织线,bo'li'si'bian'zhi'xian
玻璃丝带,bo'li'si'dai
玻璃丝绝缘及浸渍机,bo'li'si'jue'yuan'ji'jin'zi'ji
玻璃丝绝缘软线,bo'li'si'jue'yuan'ruan'xian
玻璃丝载体,bo'li'si'zai'ti
玻璃态,bo'li'tai
玻璃填充尼龙终端,bo'li'tian'chong'ni'long'zhong'duan
玻璃纤维,bo'li'xian'wei
玻璃纤维波导管,bo'li'xian'wei'bo'dao'guan
玻璃纤维隔热层,bo'li'xian'wei'ge're'ceng
玻璃纤维光缆,bo'li'xian'wei'guang'lan
玻璃纤维加强构件,bo'li'xian'wei'jia'qiang'gou'jian
玻璃纤维绝缘,bo'li'xian'wei'jue'yuan
玻璃纤维绕包头,bo'li'xian'wei'rao'bao'tou
剥离纤维绳,bo'li'xian'wei'sheng
玻璃纤维绳,bo'li'xian'wei'sheng
玻璃纤维束增强塑料绳,bo'li'xian'wei'shu'zeng'qiang'su'liao'sheng
玻璃纤维增强复合材料,bo'li'xian'wei'zeng'qiang'fu'he'cai'liao
玻璃纤维增强塑料包覆光纤,bo'li'xian'wei'zeng'qiang'su'liao'bao'fu'guang'xian
玻璃纤维增强塑料杆,bo'li'xian'wei'zeng'qiang'su'liao'gan
玻璃纤维毡,bo'li'xian'wei'zhan
玻璃纤维锥形绕包装置,bo'li'xian'wei'zhui'xing'rao'bao'zhuang'zhi
玻璃云母带,bo'li'yun'mu'dai
剥落,bo'luo
勃罗托林,bo'luo'tuo'lin
伯明翰线规,bo'ming'han'xian'gui
剥片云母,bo'pian'yun'mu
剥铅,bo'qian
剥铅刀,bo'qian'dao
剥铅机,bo'qian'ji
波绕组,bo'rao'zu
箔软线,bo'ruan'xian
薄弱,bo'ruo
波特率,bo'te'lv
波特图,bo'te'tu
箔条,bo'tiao
薄通,bo'tong
波纹板,bo'wen'ban
波纹波导,bo'wen'bo'dao
波纹开槽漏泄同轴电缆,bo'wen'kai'cao'lou'xie'tong'zhou'dian'lan
博物馆,bo'wu'guan
剥线钳,bo'xian'qian
剥线钳剥线钳,bo'xian'qian'bo'xian'qian
玻纤外露,bo'xian'wai'lu
拨销,bo'xiao
拨销孔,bo'xiao'kong
波形,bo'xing
波形变换器,bo'xing'bian'huan'qi
波形不对称,bo'xing'bu'dui'chen
波形电缆,bo'xing'dian'lan
波形分析,bo'xing'fen'xi
波形畸变,bo'xing'ji'bian
波形年休,bo'xing'nian'xiu
波形同心导体,bo'xing'tong'xin'dao'ti
波形同心中线,bo'xing'tong'xin'zhong'xian
波形因素,bo'xing'yin'su
波阻抗,bo'zu'kang
不拔,bu'ba
不包含,bu'bao'han
不饱和硅烷,bu'bao'he'gui'wan
不必,bu'bi
不便,bu'bian
不变,bu'bian
步兵野战用电线,bu'bing'ye'zhan'yong'dian'xian
不测,bu'ce
补偿,bu'chang
补偿导线,bu'chang'dao'xian
补偿电缆,bu'chang'dian'lan
补偿度,bu'chang'du
补偿率,bu'chang'lv
补偿器,bu'chang'qi
补偿器臂,bu'chang'qi'bi
补偿调节轮,bu'chang'tiao'jie'lun
补偿系数,bu'chang'xi'shu
补偿线,bu'chang'xian
补偿引线,bu'chang'yin'xian
补偿装置,bu'chang'zhuang'zhi
补充,bu'chong
补充关联,bu'chong'guan'lian
不存在,bu'cun'zai
不错,bu'cuo
不大于,bu'da'yu
不带,bu'dai
布带,bu'dai
不带电插拔连接器,bu'dai'dian'cha'ba'lian'jie'qi
不带电作业用钢锯,bu'dai'dian'zuo'ye'yong'gang'ju
不带有保护装置的分线接线盒,bu'dai'you'bao'hu'zhuang'zhi'de'fen'xian'jie'xian'he
不但,bu'dan
不到,bu'dao
不到位,bu'dao'wei
不得,bu'de
不等性杂化,bu'deng'xing'za'hua
不滴流,bu'di'liu
不滴流电缆,bu'di'liu'dian'lan
不滴流浸渍剂,bu'di'liu'jin'zi'ji
不滴流特性,bu'di'liu'te'xing
不滴流型电缆,bu'di'liu'xing'dian'lan
不滴流阻燃电缆,bu'di'liu'zu'ran'dian'lan
不断,bu'duan
不断地,bu'duan'de
