阿拉伯联盟经济理事会,a'la'bo'lian'meng'jing'ji'li'shi'hui
产能系数,chan'neng'xi'shu
产品出口企业,chan'pin'chu'kou'qi'ye
产权,chan'quan
产生摩擦的密封件,chan'sheng'mo'ca'de'mi'feng'jian
产生泡沫,chan'sheng'pao'mo
铲土机,chan'tu'ji
产液层,chan'ye'ceng
产油层目的层,chan'you'ceng'mu'di'ceng
产油矿区经理,chan'you'kuang'qu'jing'li
产值资金率,chan'zhi'zi'jin'lv
铲子,chan'zi
长城钻井,chang'cheng'zuan'jing
场磁极,chang'ci'ji
场磁铁,chang'ci'tie
长大衣,chang'da'yi
场地工,chang'di'gong
场电流,chang'dian'liu
长度,chang'du
长短幅圆外旋轮线,chang'duan'fu'yuan'wai'xuan'lun'xian
场方程,chang'fang'cheng
场方向图,chang'fang'xiang'tu
场分布,chang'fen'bu
长封固段固井,chang'feng'gu'duan'gu'jing
场辐射图,chang'fu'she'tu
敞开的,chang'kai'de
敞开阀,chang'kai'fa
场控晶体三极管,chang'kong'jing'ti'san'ji'guan
敞露甲板,chang'lu'jia'ban
场论,chang'lun
常绿灌木丛,chang'lv'guan'mu'cong
常绿林,chang'lv'lin
场能,chang'neng
场偏移,chang'pian'yi
场偏移的,chang'pian'yi'de
长瓶几丁虫属,chang'ping'ji'ding'chong'shu
场谱方程,chang'pu'fang'cheng
长期高产,chang'qi'gao'chan
长期钻柱测试,chang'qi'zuan'zhu'ce'shi
场强,chang'qiang
场强比率,chang'qiang'bi'lv
场强度,chang'qiang'du
场强图,chang'qiang'tu
场扫描,chang'sao'miao
肠石,chang'shi
长石,chang'shi
长石化,chang'shi'hua
长石化作用,chang'shi'hua'zuo'yong
长石砂屑岩,chang'shi'sha'xie'yan
长石岩,chang'shi'yan
场失真,chang'shi'zhen
长石质的,chang'shi'zhi'de
长石质复岩屑砂岩,chang'shi'zhi'fu'yan'xie'sha'yan
长石质砂岩,chang'shi'zhi'sha'yan
长石质石英岩,chang'shi'zhi'shi'ying'yan
长石质瓦克岩,chang'shi'zhi'wa'ke'yan
长石质玄武岩,chang'shi'zhi'xuan'wu'yan
长石质亚杂砂岩,chang'shi'zhi'ya'za'sha'yan
长石质岩屑砂岩,chang'shi'zhi'yan'xie'sha'yan
长石质杂砂岩,chang'shi'zhi'za'sha'yan
长丝缠结,chang'si'chan'jie
长丝废料,chang'si'fei'liao
长丝束,chang'si'shu
长丝纤度,chang'si'xian'du
长丝线密度,chang'si'xian'mi'du
场梯度,chang'ti'du
长条形透镜体,chang'tiao'xing'tou'jing'ti
长条形炸药,chang'tiao'xing'zha'yao
长条状爆炸震源,chang'tiao'zhuang'bao'zha'zhen'yuan
长纤维废丝,chang'xian'wei'fei'si
场效应晶体管,chang'xiao'ying'jing'ti'guan
畅行的,chang'xing'de
长焰煤,chang'yan'mei
长焰烟煤,chang'yan'yan'mei
场域异常张弛方法,chang'yu'yi'chang'zhang'chi'fang'fa
偿债基金折旧法,chang'zhai'ji'jin'zhe'jiu'fa
场致发光,chang'zhi'fa'guang
场致发射阴极射线管,chang'zhi'fa'she'yin'ji'she'xian'guan
场致放射,chang'zhi'fang'she
长中段半径,chang'zhong'duan'ban'jing
肠状的,chang'zhuang'de
肠状构造,chang'zhuang'gou'zao
场阻抗,chang'zu'kang
超长近钻头稳定器,chao'chang'jin'zuan'tou'wen'ding'qi
超常试验,chao'chang'shi'yan
超纯级,chao'chun'ji
超垫中子活化分析,chao'dian'zhong'zi'huo'hua'fen'xi
朝东方向,chao'dong'fang'xiang
超高频形接头,chao'gao'pin'xing'jie'tou
超高油层压力,chao'gao'you'ceng'ya'li
超过,chao'guo
超过标号容量,chao'guo'biao'hao'rong'liang
超痕量分析,chao'hen'liang'fen'xi
超精度,chao'jing'du
超静水压力,chao'jing'shui'ya'li
超孔隙压力,chao'kong'xi'ya'li
超量砾石,chao'liang'li'shi
超粘滞扩散,chao'nian'zhi'kuo'san
超热的,chao're'de
超热中子,chao're'zhong'zi
超热中子测井,chao're'zhong'zi'ce'jing
超热中子放射性,chao're'zhong'zi'fang'she'xing
超热中子俘获,chao're'zhong'zi'fu'huo
超热中子活化,chao're'zhong'zi'huo'hua
超热中子活化分析,chao're'zhong'zi'huo'hua'fen'xi
超热中子吸收,chao're'zhong'zi'xi'shou
巢珊瑚科,chao'shan'hu'ke
潮上带,chao'shang'dai
潮湿,chao'shi
超水力压力,chao'shui'li'ya'li
超细螺纹,chao'xi'luo'wen
潮汐三角洲,chao'xi'san'jiao'zhou
超细水泥浆,chao'xi'shui'ni'jiang
超压,chao'ya
超硬铝,chao'ying'lv
超载,chao'zai
超支,chao'zhi
超重原油,chao'zhong'yuan'you
车船联运港,che'chuan'lian'yun'gang
车床,che'chuang
扯断伸长率,che'duan'shen'chang'lv
车队,che'dui
车间经费,che'jian'jing'fei
车上交货价格,che'shang'jiao'huo'jia'ge
沉淀,chen'dian
沉淀间断作用,chen'dian'jian'duan'zuo'yong
沉浮箱,chen'fu'xiang
沉积缺失,chen'ji'que'shi
沉积物,chen'ji'wu
沉积岩,chen'ji'yan
沉积岩墙,chen'ji'yan'qiang
沉降罐,chen'jiang'guan
沉降速度,chen'jiang'su'du
陈旧事物,chen'jiu'shi'wu
陈列,chen'lie
沉没,chen'mo
沉砂罐,chen'sha'guan
沉陷,chen'xian
成本流动,cheng'ben'liu'dong
程度,cheng'du
成果,cheng'guo
程函方程,cheng'han'fang'cheng
成颈嵌件,cheng'jing'qian'jian
成就,cheng'jiu
成膜缓蚀剂,cheng'mo'huan'shi'ji
成膜剂,cheng'mo'ji
成膜乳化剂,cheng'mo'ru'hua'ji
成膜温度,cheng'mo'wen'du
成批生产,cheng'pi'sheng'chan
成品,cheng'pin
澄清,cheng'qing
城市与区域计划学,cheng'shi'yu'qu'yu'ji'hua'xue
乘数,cheng'shu
成束的结晶,cheng'shu'de'jie'jing
成束熟铁块,cheng'shu'shu'tie'kuai
成丝,cheng'si
成文法,cheng'wen'fa
成纤性,cheng'xian'xing
成型刀具,cheng'xing'dao'ju
成型钢索射孔器,cheng'xing'gang'suo'she'kong'qi
成型磨削,cheng'xing'mo'xue
成形型磨削砂轮,cheng'xing'xing'mo'xue'sha'lun
成型压力,cheng'xing'ya'li
程序编缉处理中心,cheng'xu'bian'ji'chu'li'zhong'xin
程序超过磁鼓容量,cheng'xu'chao'guo'ci'gu'rong'liang
程序方框,cheng'xu'fang'kuang
程序结束,cheng'xu'jie'shu
成岩初期碳酸盐胶结物,cheng'yan'chu'qi'tan'suan'yan'jiao'jie'wu
成岩早期共生石英增生物,cheng'yan'zao'qi'gong'sheng'shi'ying'zeng'sheng'wu
成岩早期海绿石,cheng'yan'zao'qi'hai'lv'shi
成岩早期孔隙,cheng'yan'zao'qi'kong'xi
成帧器,cheng'zhen'qi
橙子,cheng'zi
乘坐,cheng'zuo
齿侧,chi'ce
赤道,chi'dao
赤道的,chi'dao'de
赤道电极排列,chi'dao'dian'ji'pai'lie
赤道多雨带,chi'dao'duo'yu'dai
赤道轨道,chi'dao'gui'dao
赤道加速度,chi'dao'jia'su'du
赤道键,chi'dao'jian
赤道面,chi'dao'mian
赤道暖流,chi'dao'nuan'liu
赤道气候带,chi'dao'qi'hou'dai
赤道气团,chi'dao'qi'tuan
迟到时间,chi'dao'shi'jian
赤道无风带,chi'dao'wu'feng'dai
赤道西风带,chi'dao'xi'feng'dai
赤道洋流,chi'dao'yang'liu
赤道仪,chi'dao'yi
赤道雨林气候,chi'dao'yu'lin'qi'hou
赤道直径,chi'dao'zhi'jing
赤道坐标,chi'dao'zuo'biao
赤丁四醇,chi'ding'si'chun
齿峰线,chi'feng'xian
持久,chi'jiu
持久过滤,chi'jiu'guo'lv
齿宽,chi'kuan
齿廓,chi'kuo
齿轮面,chi'lun'mian
齿轮油,chi'lun'you
尺码,chi'ma
齿面,chi'mian
翅片风扇换热器,chi'pian'feng'shan'huan're'qi
翅片管,chi'pian'guan
翅片管换热器,chi'pian'guan'huan're'qi
翅片管空冷器,chi'pian'guan'kong'leng'qi
翅片换热器,chi'pian'huan're'qi
翅片式导向器,chi'pian'shi'dao'xiang'qi
翅片式冷凝器,chi'pian'shi'leng'ning'qi
齿前面,chi'qian'mian
匙勺子,chi'shao'zi
赤藓醇,chi'xian'chun
持续期,chi'xu'qi
冲出气,chong'chu'qi
充氮气,chong'dan'qi
充电,chong'dian
冲掉,chong'diao
充分分解腐木质体,chong'fen'fen'jie'fu'mu'zhi'ti
重复压裂过程,chong'fu'ya'lie'guo'cheng
冲管,chong'guan
虫管化石,chong'guan'hua'shi
冲击,chong'ji
冲积平原,chong'ji'ping'yuan
冲积扇,chong'ji'shan
冲积扇顶端,chong'ji'shan'ding'duan
冲积扇覆盖的山前侵蚀平原,chong'ji'shan'fu'gai'de'shan'qian'qin'shi'ping'yuan
冲击钻进法,chong'ji'zuan'jin'fa
充满,chong'man
充满空气或天然气的井,chong'man'kong'qi'huo'tian'ran'qi'de'jing
充满时压力,chong'man'shi'ya'li
充满系数,chong'man'xi'shu
充气泥浆,chong'qi'ni'jiang
充气塑料,chong'qi'su'liao
冲去,chong'qu
冲蚀,chong'shi
冲蚀靶,chong'shi'ba
冲蚀点,chong'shi'dian
冲蚀腐蚀,chong'shi'fu'shi
冲蚀监测器,chong'shi'jian'ce'qi
冲蚀力,chong'shi'li
冲蚀破坏,chong'shi'po'huai
冲蚀砂柱,chong'shi'sha'zhu
冲蚀速率,chong'shi'su'lv
冲蚀探测器,chong'shi'tan'ce'qi
冲蚀探测装置,chong'shi'tan'ce'zhuang'zhi
冲蚀钻井,chong'shi'zuan'jing
冲数,chong'shu
充填不均匀性,chong'tian'bu'jun'yun'xing
充填金属丝,chong'tian'jin'shu'si
充填量,chong'tian'liang
充填效率,chong'tian'xiao'lv
冲洗,chong'xi
冲洗带含水饱和度,chong'xi'dai'han'shui'bao'he'du
冲洗解堵型无中心管的环空筛管,chong'xi'jie'du'xing'wu'zhong'xin'guan'de'huan'kong'shai'guan
冲洗孔,chong'xi'kong
冲洗色谱法,chong'xi'se'pu'fa
冲洗时间,chong'xi'shi'jian
冲洗型可退式打捞矛,chong'xi'xing'ke'tui'shi'da'lao'mao
冲洗装置,chong'xi'zhuang'zhi
冲冼带,chong'xian'dai
充以流体的,chong'yi'liu'ti'de
充足,chong'zu
抽出的,chou'chu'de
抽出物,chou'chu'wu
抽出液汽提塔,chou'chu'ye'qi'ti'ta
抽出油,chou'chu'you
筹措资金,chou'cuo'zi'jin
抽打,chou'da
稠化淡水泥浆体系,chou'hua'dan'shui'ni'jiang'ti'xi
稠化时间,chou'hua'shi'jian
稠环,chou'huan
筹集资金,chou'ji'zi'jin
筹建费,chou'jian'fei
抽空,chou'kong
抽空时间,chou'kong'shi'jian
臭沥青灰岩,chou'li'qing'hui'yan
臭气,chou'qi
抽汽式涡轮机,chou'qi'shi'wo'lun'ji
抽气通风,chou'qi'tong'feng
抽取法,chou'qu'fa
抽取器接头,chou'qu'qi'jie'tou
臭砂岩,chou'sha'yan
臭碳酸盐软泥,chou'tan'suan'yan'ruan'ni
抽屉,chou'ti
抽提结晶,chou'ti'jie'jing
抽提器组,chou'ti'qi'zu
抽提有机质,chou'ti'you'ji'zhi
抽提蒸馏,chou'ti'zheng'liu
抽提装置,chou'ti'zhuang'zhi
抽洗过的岩心,chou'xi'guo'de'yan'xin
抽油拉杆的上紧设备,chou'you'la'gan'de'shang'jin'she'bei
初版,chu'ban
储备罐,chu'bei'guan
触变性,chu'bian'xing
初步的,chu'bu'de
初步近似值,chu'bu'jin'si'zhi
初卟啉,chu'bu'lin
初卟啉合镁盐,chu'bu'lin'he'mei'yan
初步整理,chu'bu'zheng'li
出厂价,chu'chang'jia
出厂价格,chu'chang'jia'ge
出厂检验,chu'chang'jian'yan
除尘器,chu'chen'qi
初吹,chu'chui
初次成油期,chu'ci'cheng'you'qi
初次费用,chu'ci'fei'yong
初次收获,chu'ci'shou'huo
出错率,chu'cuo'lv
初等函数,chu'deng'han'shu
初等矩阵,chu'deng'ju'zhen
初等流变学,chu'deng'liu'bian'xue
触电,chu'dian
出耳子,chu'er'zi
触发器,chu'fa'qi
触发器寄存器,chu'fa'qi'ji'cun'qi
厨房服务生,chu'fang'fu'wu'sheng
除钙剂,chu'gai'ji
出故障时自动关闭的,chu'gu'zhang'shi'zi'dong'guan'bi'de
初过时间,chu'guo'shi'jian
出境签证,chu'jing'qian'zheng
出口,chu'kou
出口比,chu'kou'bi
出口比重,chu'kou'bi'zhong
出口补贴,chu'kou'bu'tie
出口处速度,chu'kou'chu'su'du
出口的扩张部分,chu'kou'de'kuo'zhang'bu'fen
出口点,chu'kou'dian
出口端,chu'kou'duan
出口端含水饱和度,chu'kou'duan'han'shui'bao'he'du
出口管制,chu'kou'guan'zhi
出口合同,chu'kou'he'tong
出口换汇成本,chu'kou'huan'hui'cheng'ben
出口加工免税区,chu'kou'jia'gong'mian'shui'qu
出口加工区,chu'kou'jia'gong'qu
出口结构,chu'kou'jie'gou
出口孔,chu'kou'kong
出口炼厂,chu'kou'lian'chang
出口码头,chu'kou'ma'tou
出口面,chu'kou'mian
出口能力,chu'kou'neng'li
出口企业,chu'kou'qi'ye
出口商,chu'kou'shang
出口税,chu'kou'shui
出口速度,chu'kou'su'du
出口条件,chu'kou'tiao'jian
出口退税,chu'kou'tui'shui
出口限制,chu'kou'xian'zhi
出口信贷,chu'kou'xin'dai
出口型炼油厂,chu'kou'xing'lian'you'chang
出口型企业,chu'kou'xing'qi'ye
出口许可证,chu'kou'xu'ke'zheng
出口压力,chu'kou'ya'li
出口堰,chu'kou'yan
出口油库,chu'kou'you'ku
出口指令,chu'kou'zhi'ling
出口锥管,chu'kou'zhui'guan
处理,chu'li
处理剂,chu'li'ji
处理事故的砾石充填,chu'li'shi'gu'de'li'shi'chong'tian
储量估计,chu'liang'gu'ji
储量评价,chu'liang'ping'jia
初镏分,chu'liu'fen
初馏物,chu'liu'wu
出露效应,chu'lu'xiao'ying
触媒,chu'mei
出纳员,chu'na'yuan
储能量,chu'neng'liang
初捻,chu'nian
初期产量,chu'qi'chan'liang
初期强度,chu'qi'qiang'du
除去,chu'qu
出溶纹层,chu'rong'wen'ceng
出溶作用,chu'rong'zuo'yong
出入,chu'ru
出砂,chu'sha
出射波,chu'she'bo
出射波前,chu'she'bo'qian
出射角,chu'she'jiao
出射线,chu'she'xian
初生物,chu'sheng'wu
初视分析法,chu'shi'fen'xi'fa
初始假想模型,chu'shi'jia'xiang'mo'xing
初始结晶温度,chu'shi'jie'jing'wen'du
初始切力,chu'shi'qie'li
出水管,chu'shui'guan
除外,chu'wai
除外的,chu'wai'de
初相,chu'xiang
除以外,chu'yi'wai
出油管环路,chu'you'guan'huan'lu
出油管连接器,chu'you'guan'lian'jie'qi
出油管流体样品,chu'you'guan'liu'ti'yang'pin
出油管牵引帽,chu'you'guan'qian'yin'mao
出油管束,chu'you'guan'shu
出油管托架,chu'you'guan'tuo'jia
出油管弯管,chu'you'guan'wan'guan
出油管线,chu'you'guan'xian
出油管旋转接头,chu'you'guan'xuan'zhuan'jie'tou
出油三通,chu'you'san'tong
初余子式,chu'yu'zi'shi
初至,chu'zhi
初至波,chu'zhi'bo
初至波技术,chu'zhi'bo'ji'shu
初至波排齐,chu'zhi'bo'pai'qi
初至波拾取,chu'zhi'bo'shi'qu
初至时间,chu'zhi'shi'jian
初至时间截距方法,chu'zhi'shi'jian'jie'ju'fang'fa
除之外,chu'zhi'wai
初至子波,chu'zhi'zi'bo
出自,chu'zi
出租协议,chu'zu'xie'yi
船边交货,chuan'bian'jiao'huo
船边交货价,chuan'bian'jiao'huo'jia
穿大绳,chuan'da'sheng
传动轴,chuan'dong'zhou
船队,chuan'dui
船方不负担卸货费用,chuan'fang'bu'fu'dan'xie'huo'fei'yong
传感器,chuan'gan'qi
串行电子数字计算机,chuan'hang'dian'zi'shu'zi'ji'suan'ji
穿孔的,chuan'kong'de
串联的,chuan'lian'de
传热膜系数,chuan're'mo'xi'shu
船上交货价格,chuan'shang'jiao'huo'jia'ge
船上交货加佣金价,chuan'shang'jiao'huo'jia'yong'jin'jia
船上交货平舱费和理舱费在内,chuan'shang'jiao'huo'ping'cang'fei'he'li'cang'fei'zai'nei
船首舱,chuan'shou'cang
船首尖舱,chuan'shou'jian'cang
船首楼,chuan'shou'lou
船首楼甲板,chuan'shou'lou'jia'ban
传输结束,chuan'shu'jie'shu
传输结束符,chuan'shu'jie'shu'fu
传送器,chuan'song'qi
传送装置,chuan'song'zhuang'zhi
船头和船尾,chuan'tou'he'chuan'wei
船位标志浮标,chuan'wei'biao'zhi'fu'biao
船尾甲板,chuan'wei'jia'ban
传真,chuan'zhen
传真电报,chuan'zhen'dian'bao
传真发送,chuan'zhen'fa'song
传真感光纸,chuan'zhen'gan'guang'zhi
传真机,chuan'zhen'ji
传真记录,chuan'zhen'ji'lu
传真接收装置,chuan'zhen'jie'shou'zhuang'zhi
传真频道,chuan'zhen'pin'dao
传真通信,chuan'zhen'tong'xin
传真图,chuan'zhen'tu
传真信号,chuan'zhen'xin'hao
传真装置,chuan'zhen'zhuang'zhi
床单,chuang'dan
床垫,chuang'dian
创汇,chuang'hui
窗帘,chuang'lian
窗状的,chuang'zhuang'de
吹风,chui'feng
锤击扳手,chui'ji'ban'shou
吹灭火焰,chui'mie'huo'yan
垂深,chui'shen
炊事员,chui'shi'yuan
垂直的,chui'zhi'de
垂直断距,chui'zhi'duan'ju
垂足,chui'zu
春分点,chun'fen'dian
纯化,chun'hua
纯碱,chun'jian
磁场反向,ci'chang'fan'xiang
磁场减弱,ci'chang'jian'ruo
磁场强度,ci'chang'qiang'du
磁秤,ci'cheng
磁带卷结束标记,ci'dai'juan'jie'shu'biao'ji
磁带输送孔,ci'dai'shu'song'kong
磁带尾端,ci'dai'wei'duan
次方程,ci'fang'cheng
刺海林檎属,ci'hai'lin'qin'shu
刺激,ci'ji
次级电子,ci'ji'dian'zi
刺激物,ci'ji'wu
磁力打捞工具,ci'li'da'lao'gong'ju
磁链,ci'lian
刺轮藻属,ci'lun'zao'shu
次马属,ci'ma'shu
瓷器,ci'qi
瓷漆,ci'qi
次生优地槽,ci'sheng'you'di'cao
磁素,ci'su
磁通波动,ci'tong'bo'dong
磁通分布,ci'tong'fen'bu
磁通计,ci'tong'ji
磁通量闸门罗盘,ci'tong'liang'zha'men'luo'pan
磁通脉冲磁力仪,ci'tong'mai'chong'ci'li'yi
磁通跳跃,ci'tong'tiao'yue
雌烷,ci'wan
刺纹单缝孢属,ci'wen'dan'feng'bao'shu
雌性的,ci'xing'de
次乙基,ci'yi'ji
从到尾,cong'dao'wei
从动齿轮,cong'dong'chi'lun
从动轮,cong'dong'lun
从动事件,cong'dong'shi'jian
从动轴,cong'dong'zhou
丛式井,cong'shi'jing
丛式钻井,cong'shi'zuan'jing
葱头,cong'tou
从外层空间拍得的地面相片,cong'wai'ceng'kong'jian'pai'de'de'di'mian'xiang'pian
从一端向另一端注水,cong'yi'duan'xiang'ling'yi'duan'zhu'shui
粗糙,cu'cao
粗柴油,cu'chai'you
促进,cu'jin
粗呢,cu'ni
促凝剂,cu'ning'ji
粗砂岩,cu'sha'yan
粗砂纸,cu'sha'zhi
醋酸,cu'suan
篡改,cuan'gai
脆的,cui'de
催化剂夹带损失,cui'hua'ji'jia'dai'sun'shi
催化剂自由堆积密度,cui'hua'ji'zi'you'dui'ji'mi'du
淬火,cui'huo
脆裂,cui'lie
萃取处理,cui'qu'chu'li
萃取等温线,cui'qu'deng'wen'xian
萃取动力学,cui'qu'dong'li'xue
萃取溶剂,cui'qu'rong'ji
萃取塔,cui'qu'ta
淬透,cui'tou
脆性,cui'xing
脆性材料,cui'xing'cai'liao
脆性扶正器,cui'xing'fu'zheng'qi
脆性结构,cui'xing'jie'gou
脆性砂岩,cui'xing'sha'yan
脆性指数,cui'xing'zhi'shu
存货成本先进先出法,cun'huo'cheng'ben'xian'jin'xian'chu'fa
存在,cun'zai
存在的,cun'zai'de
存在的事物,cun'zai'de'shi'wu
存在定理,cun'zai'ding'li
存在物,cun'zai'wu
挫败,cuo'bai
锉出,cuo'chu
措辞,cuo'ci
锉刀,cuo'dao
错动层面,cuo'dong'ceng'mian
错误,cuo'wu
错误不在此限,cuo'wu'bu'zai'ci'xian
错误操作,cuo'wu'cao'zuo
错误的,cuo'wu'de
错误检测,cuo'wu'jian'ce
错误检测程序,cuo'wu'jian'ce'cheng'xu
错误检查和校正,cuo'wu'jian'cha'he'jiao'zheng
错误校验,cuo'wu'jiao'yan
错误校正,cuo'wu'jiao'zheng
错误校正码,cuo'wu'jiao'zheng'ma
错误频率极限,cuo'wu'pin'lv'ji'xian
错误中断,cuo'wu'zhong'duan
锉屑,cuo'xie
挫折,cuo'zhe
错字,cuo'zi
大吃刀,da'chi'dao
大齿轮,da'chi'lun
打出小孔,da'chu'xiao'kong
大锤,da'chui
打蛋器型钻头,da'dan'qi'xing'zuan'tou
大地大气电流,da'di'da'qi'dian'liu
大地电导率,da'di'dian'dao'lv
大地电流,da'di'dian'liu
大地电流场比法,da'di'dian'liu'chang'bi'fa
大地辐射,da'di'fu'she
大地介质,da'di'jie'zhi
大地耦合,da'di'ou'he
大地全息摄影术,da'di'quan'xi'she'ying'shu
大地坐标系,da'di'zuo'biao'xi
大端,da'duan
大幅度活动钻具,da'fu'du'huo'dong'zuan'ju
大钩,da'gou
大钩负荷,da'gou'fu'he
大钩锁紧装置,da'gou'suo'jin'zhuang'zhi
大钩弹簧,da'gou'tan'huang
大钩销子,da'gou'xiao'zi
大钩悬挂高度,da'gou'xuan'gua'gao'du
大规模注水,da'gui'mo'zhu'shui
大建筑物,da'jian'zhu'wu
搭接,da'jie
搭接焊,da'jie'han
打开,da'kai
大块运动,da'kuai'yun'dong
打捞,da'lao
打捞棒,da'lao'bang
打捞杯,da'lao'bei
打捞出,da'lao'chu
打捞出落鱼,da'lao'chu'luo'yu
打捞磁铁,da'lao'ci'tie
打捞服务公司,da'lao'fu'wu'gong'si
打捞工具,da'lao'gong'ju
打捞公锥,da'lao'gong'zhui
打捞工作,da'lao'gong'zuo
打捞钩,da'lao'gou
打捞管柱,da'lao'guan'zhu
打捞和取心用震击器,da'lao'he'qu'xin'yong'zhen'ji'qi
打捞机器人,da'lao'ji'qi'ren
打捞监理,da'lao'jian'li
打捞接头,da'lao'jie'tou
打捞颈,da'lao'jing
打捞篮,da'lao'lan
打捞帽,da'lao'mao
打捞矛,da'lao'mao
打捞母锥,da'lao'mu'zhui
打捞器,da'lao'qi
打捞器异径接头,da'lao'qi'yi'jing'jie'tou
打捞伸缩节,da'lao'shen'suo'jie
打捞筒,da'lao'tong
打捞头,da'lao'tou
打捞用震击器,da'lao'yong'zhen'ji'qi
打捞爪,da'lao'zhao
打捞专家,da'lao'zhuan'jia
打捞作业,da'lao'zuo'ye
大量生产,da'liang'sheng'chan
大陆,da'lu
大陆边缘的,da'lu'bian'yuan'de
大陆漂移说,da'lu'piao'yi'shuo
大门绷绳,da'men'beng'sheng
大排,da'pai
大片浮冰,da'pian'fu'bing
大气层,da'qi'ceng
大气层的空气,da'qi'ceng'de'kong'qi
大气压,da'qi'ya
大钳锁销,da'qian'suo'xiao
大钳悬臂,da'qian'xuan'bi
大容量电子存储器,da'rong'liang'dian'zi'cun'chu'qi
打上记号,da'shang'ji'hao
大鼠洞,da'shu'dong
大图象投射器,da'tu'xiang'tou'she'qi
大位移井,da'wei'yi'jing
大型挖土机,da'xing'wa'tu'ji
打一下,da'yi'xia
打印模,da'yin'mo
打印式传送,da'yin'shi'chuan'song
大油田,da'you'tian
大油田勘探,da'you'tian'kan'tan
搭载梯,da'zai'ti
大直径径向渗透率仪,da'zhi'jing'jing'xiang'shen'tou'lv'yi
带把板手来,dai'ba'ban'shou'lai
带班队长,dai'ban'dui'zhang
带槽的胀管器,dai'cao'de'zhang'guan'qi
带槽方钻杆,dai'cao'fang'zuan'gan
带槽接头,dai'cao'jie'tou
带槽钻铤,dai'cao'zuan'ting
带翅片的,dai'chi'pian'de
带翅片的冷凝器,dai'chi'pian'de'leng'ning'qi
带点密封剂,dai'dian'mi'feng'ji
带电探测器,dai'dian'tan'ce'qi
带法兰的,dai'fa'lan'de
带法兰的管子,dai'fa'lan'de'guan'zi
带法兰口的筒子,dai'fa'lan'kou'de'tong'zi
待工日费,dai'gong'ri'fei
带卷结束,dai'juan'jie'shu
代扣职工所得税,dai'kou'zhi'gong'suo'de'shui
代理业,dai'li'ye
代入消元法,dai'ru'xiao'yuan'fa
带尾标志,dai'wei'biao'zhi
代用的,dai'yong'de
代用品,dai'yong'pin
带闸,dai'zha
带中心管的全焊接筛管,dai'zhong'xin'guan'de'quan'han'jie'shai'guan
带状电缆,dai'zhuang'dian'lan
带状细丝,dai'zhuang'xi'si
袋子,dai'zi
歹字型构造,dai'zi'xing'gou'zao
淡的,dan'de
蛋糕,dan'gao
单根,dan'gen
单沟粉属,dan'gou'fen'shu
弹力计,dan'li'ji
单流阀,dan'liu'fa
弹粘性,dan'nian'xing
弹粘性的,dan'nian'xing'de
弹粘性固体,dan'nian'xing'gu'ti
弹粘性流,dan'nian'xing'liu
弹粘性液体,dan'nian'xing'ye'ti
弹粘性状态,dan'nian'xing'zhuang'tai
单宁,dan'ning
淡入,dan'ru
淡水,dan'shui
淡水舱,dan'shui'cang
淡水草本沼泽,dan'shui'cao'ben'zhao'ze
淡水层,dan'shui'ceng
淡水沉积,dan'shui'chen'ji
淡水沉积物,dan'shui'chen'ji'wu
淡水储层,dan'shui'chu'ceng
淡水和盐水消泡剂,dan'shui'he'yan'shui'xiao'pao'ji
淡水湖,dan'shui'hu
淡水泥浆,dan'shui'ni'jiang
淡水泥浆滤液,dan'shui'ni'jiang'lv'ye
淡水膨胀粘土,dan'shui'peng'zhang'nian'tu
淡水生物学,dan'shui'sheng'wu'xue
淡水相,dan'shui'xiang
淡水预冲洗,dan'shui'yu'chong'xi
淡水源,dan'shui'yuan
淡水沼泽,dan'shui'zhao'ze
单丝长度,dan'si'chang'du
单丝纤度,dan'si'xian'du
单丝支数,dan'si'zhi'shu
单体氮,dan'ti'dan
单体酚,dan'ti'fen
单体硫,dan'ti'liu
单体无素,dan'ti'wu'su
单体原子,dan'ti'yuan'zi
单向阀,dan'xiang'fa
单项设备,dan'xiang'she'bei
蛋形的,dan'xing'de
单阳极水银池整流器,dan'yang'ji'shui'yin'chi'zheng'liu'qi
弹药模腔,dan'yao'mo'qiang
单元,dan'yuan
单元存储器控制,dan'yuan'cun'chu'qi'kong'zhi
单元电荷,dan'yuan'dian'he
单元质量矩阵,dan'yuan'zhi'liang'ju'zhen
单闸板防喷器,dan'zha'ban'fang'pen'qi
弹粘塑性体,dan'zhan'su'xing'ti
弹粘体,dan'zhan'ti
弹粘体系,dan'zhan'ti'xi
档案管理员,dang'an'guan'li'yuan
当量,dang'liang
当量比重,dang'liang'bi'zhong
当量长度,dang'liang'chang'du
当量尺寸,dang'liang'chi'cun
当量粗糙度系数,dang'liang'cu'cao'du'xi'shu
当量刚度,dang'liang'gang'du
当量碱度,dang'liang'jian'du
当量孔隙压力,dang'liang'kong'xi'ya'li
当量粒度,dang'liang'li'du
当量泥浆比重,dang'liang'ni'jiang'bi'zhong
