啊吃过啦,a'chi'guo'la
悦民路,yue'min'lu
月票卡,yue'piao'ka
越时空,yue'shi'kong
月牙湖,yue'ya'hu
月苑,yue'yuan
月苑小区,yue'yuan'xiao'qu
运编号,yun'bian'hao
云谷山庄,yun'gu'shan'zhuang
云河湾,yun'he'wan
云锦,yun'jin
云锦路,yun'jin'lu
云锦美地,yun'jin'mei'di
云南北路,yun'nan'bei'lu
云南路,yun'nan'lu
云中捞,yun'zhong'lao
云中小雅,yun'zhong'xiao'ya
杂粮饼,za'liang'bing
杂粮煎饼,za'liang'jian'bing
在哎,zai'ai
在奥体,zai'ao'ti
在包间,zai'bao'jian
在菜场,zai'cai'chang
在大厂,zai'da'chang
在大行宫,zai'da'xing'gong
在大洋,zai'da'yang
在德基,zai'de'ji
在等地铁,zai'deng'di'tie
在地铁站,zai'di'tie'zhan
在东山,zai'dong'shan
在夫子庙,zai'fu'zi'miao
在干么四,zai'gan'me'si
在高淳,zai'gao'chun
在鼓楼,zai'gu'lou
在挂水,zai'gua'shui
在湖南路,zai'hu'nan'lu
在家哎,zai'jia'ai
在江宁,zai'jiang'ning
在江浦,zai'jiang'pu
在教研室,zai'jiao'yan'shi
在金鹰,zai'jin'ying
在句容,zai'ju'rong
在莱迪,zai'lai'di
在溧水,zai'li'shui
在六个,zai'liu'ge
在六合,zai'lu'he
在马群,zai'ma'qun
在迈皋桥,zai'mai'gao'qiao
在哪边,zai'na'bian
在那边啊,zai'na'bian'a
在南大,zai'nan'da
在南航,zai'nan'hang
在南京,zai'nan'jing
在南京啊,zai'nan'jing'a
在南京的,zai'nan'jing'de
在南京了,zai'nan'jing'le
在南京吗,zai'nan'jing'ma
在南京呢,zai'nan'jing'ne
在浦口,zai'pu'kou
在桥北,zai'qiao'bei
在山西路,zai'shan'xi'lu
在水游城,zai'shui'you'cheng
再说包,zai'shuo'bao
在苏果,zai'su'guo
在苏宁,zai'su'ning
在下关,zai'xia'guan
在仙林,zai'xian'lin
在新百,zai'xin'bai
在新街口,zai'xin'jie'kou
在玄武湖,zai'xuan'wu'hu
在也不可能,zai'ye'bu'ke'neng
在中央门,zai'zhong'yang'men
在珠江路,zai'zhu'jiang'lu
脏讲,zang'jiang
造币厂,zao'bi'chang
早不讲,zao'bu'jiang
早喃,zao'nan
糟死了,zao'si'le
早死早好,zao'si'zao'hao
泽园,ze'yuan
怎么搞的啊,zen'me'gao'de'a
怎么讲啊,zen'me'jiang'a
渣土车,zha'tu'che
湛江路,zhan'jiang'lu
瞻园,zhan'yuan
瞻园路,zhan'yuan'lu
章村,zhang'cun
张府园,zhang'fu'yuan
张近东,zhang'jin'dong
张王庙,zhang'wang'miao
找哎,zhao'ai
找架吵,zhao'jia'chao
找情况,zhao'qing'kuang
找我的啊,zhao'wo'de'a
兆园,zhao'yuan
照直,zhao'zhi
赵志勇,zhao'zhi'yong
这吊,zhe'diao
这话讲的,zhe'hua'jiang'de
这么摆,zhe'me'bai
浙西大峡谷,zhe'xi'da'xia'gu
真摆,zhen'bai
珍宝坊,zhen'bao'fang
真带,zhen'dai
真的哎,zhen'de'ai
真二八斤,zhen'er'ba'jin
真二八经,zhen'er'ba'jing
真二八零,zhen'er'ba'ling
真话啊,zhen'hua'a
真记不得,zhen'ji'bu'de
镇江,zhen'jiang
镇江的,zhen'jiang'de
镇江路,zhen'jiang'lu
真肯,zhen'ken
真蛮好的,zhen'man'hao'de
真么得,zhen'me'de
真甩,zhen'shuai
真知味,zhen'zhi'wei
珍珠泉,zhen'zhu'quan
珍珠算,zhen'zhu'suan
正大天晴,zheng'da'tian'qing
正德,zheng'de
正德学院,zheng'de'xue'yuan
郑和公园,zheng'he'gong'yuan
正洪,zheng'hong
郑外,zheng'wai
直播南京,zhi'bo'nan'jing
知道哎,zhi'dao'ai
知道赖,zhi'dao'lai
直滴,zhi'di
直抖,zhi'dou
直喊,zhi'han
智汇,zhi'hui
止马营,zhi'ma'ying
直淌,zhi'tang
织造府,zhi'zao'fu
中保村,zhong'bao'cun
中保街,zhong'bao'jie
中北学院,zhong'bei'xue'yuan
众彩,zhong'cai
众彩物流,zhong'cai'wu'liu
中大医院,zhong'da'yi'yuan
中电颐和家园,zhong'dian'yi'he'jia'yuan
钟鼎,zhong'ding
钟鼎山庄,zhong'ding'shan'zhuang
钟阜路,zhong'fu'lu
中广,zhong'guang
中广置业,zhong'guang'zhi'ye
中国药科,zhong'guo'yao'ke
中国药科大学,zhong'guo'yao'ke'da'xue
中航樾府,zhong'hang'yue'fu
中和桥,zhong'he'qiao
中华路,zhong'hua'lu
中华门,zhong'hua'men
中华门了,zhong'hua'men'le
中华中学,zhong'hua'zhong'xue
中环国际,zhong'huan'guo'ji
钟灵街,zhong'ling'jie
中录,zhong'lu
钟山,zhong'shan
中山北路,zhong'shan'bei'lu
钟山宾馆,zhong'shan'bin'guan
中山大厦,zhong'shan'da'sha
中山东路,zhong'shan'dong'lu
钟山驾校,zhong'shan'jia'xiao
中山林,zhong'shan'lin
中山陵,zhong'shan'ling
中山码头,zhong'shan'ma'tou
中山南路,zhong'shan'nan'lu
中山桥,zhong'shan'qiao
钟山学院,zhong'shan'xue'yuan
中山植物园,zhong'shan'zhi'wu'yuan
中商万豪,zhong'shang'wan'hao
中胜,zhong'sheng
中心大酒店,zhong'xin'da'jiu'dian
中央北路,zhong'yang'bei'lu
中央饭店,zhong'yang'fan'dian
中央路,zhong'yang'lu
中央门,zhong'yang'men
中央门了,zhong'yang'men'le
中央商场,zhong'yang'shang'chang
中影国际,zhong'ying'guo'ji
中苑,zhong'yuan
周岗,zhou'gang
周娴,zhou'xian
周园,zhou'yuan
朱坝,zhu'ba
朱大,zhu'da
珠江路,zhu'jiang'lu
珠江路的,zhu'jiang'lu'de
珠江路了,zhu'jiang'lu'le
住江宁,zhu'jiang'ning
珠江一号,zhu'jiang'yi'hao
珠江镇,zhu'jiang'zhen
住哪边,zhu'na'bian
住南京,zhu'nan'jing
朱萍,zhu'ping
珠泉,zhu'quan
竹山,zhu'shan
竹山路,zhu'shan'lu
竹山桥,zhu'shan'qiao
朱小磊,zhu'xiao'lei
助学券,zhu'xue'quan
助研费,zhu'yan'fei
抓屎,zhua'shi
转本,zhuan'ben
转不起来,zhuan'bu'qi'lai
专柜代购,zhuan'gui'dai'gou
专转本,zhuan'zhuan'ben
装不起来,zhuang'bu'qi'lai
装呆,zhuang'dai
庄排路,zhuang'pai'lu
装饰城,zhuang'shi'cheng
装饰大世界,zhuang'shi'da'shi'jie
状元楼,zhuang'yuan'lou
追浪,zhui'lang
卓品,zhuo'pin
紫东,zi'dong
紫峰,zi'feng
紫峰大厦,zi'feng'da'sha
紫金,zi'jin
紫金城,zi'jin'cheng
紫金东郡,zi'jin'dong'jun
紫金路,zi'jin'lu
紫金明珠,zi'jin'ming'zhu
紫金南苑,zi'jin'nan'yuan
紫金山,zi'jin'shan
紫金山庄,zi'jin'shan'zhuang
紫金学院,zi'jin'xue'yuan
紫晶山,zi'jing'shan
紫南京,zi'nan'jing
自习教室,zi'xi'jiao'shi
紫霞湖,zi'xia'hu
紫燕百味鸡,zi'yan'bai'wei'ji
紫园,zi'yuan
自在城,zi'zai'cheng
紫竹林,zi'zhu'lin
总部大厦,zong'bu'da'sha
总参,zong'can
综高,zong'gao
总统度,zong'tong'du
总统府,zong'tong'fu
走哎,zou'ai
走不起来,zou'bu'qi'lai
走湖,zou'hu
祖堂山,zu'tang'shan
组织委,zu'zhi'wei
最摆,zui'bai
嘴狠,zui'hen
最桃花,zui'tao'hua
作弊到怪,zuo'bi'dao'guai
坐车一,zuo'che'yi
坐地铁的,zuo'di'tie'de
左邻右里,zuo'lin'you'li
坐那边,zuo'na'bian
做漆,zuo'qi
座上客,zuo'shang'ke
