阿巴迪征,a'ba'di'zheng
手足徐动症,shou'zu'xu'dong'zheng
舒必利,shu'bi'li
舒喘宁,shu'chuan'ning
树胶肿性脑膜炎,shu'jiao'zhong'xing'nao'mo'yan
树树突触,shu'shu'tu'chu
舒缩综合征,shu'suo'zong'he'zheng
树体突触,shu'ti'tu'chu
树突,shu'tu
树突棘,shu'tu'ji
书写痉挛,shu'xie'jing'luan
书写困难,shu'xie'kun'nan
书写麻痹,shu'xie'ma'bi
树轴突触,shu'zhou'tu'chu
束状回,shu'zhuang'hui
枢椎,shu'zhui
衰弱,shuai'ruo
栓性静脉炎,shuan'xing'jing'mai'yan
栓子,shuan'zi
双侧,shuang'ce
双侧顶枕区损害,shuang'ce'ding'zhen'qu'sun'hai
双侧面瘫,shuang'ce'mian'tan
双侧颞叶切除综合征,shuang'ce'nie'ye'qie'chu'zong'he'zheng
双侧偏盲,shuang'ce'pian'mang
双侧瘫痪,shuang'ce'tan'huan
双重神经支配,shuang'chong'shen'jing'zhi'pei
双极神经元,shuang'ji'shen'jing'yuan
双极细胞,shuang'ji'xi'bao
双氯苯咪唑,shuang'lv'ben'mi'zuo
双目显微镜,shuang'mu'xian'wei'jing
双香豆素,shuang'xiang'dou'su
双眼偏盲,shuang'yan'pian'mang
水合氯醛,shui'he'lv'quan
睡眠,shui'mian
睡眠过度,shui'mian'guo'du
睡眠因子,shui'mian'yin'zi
睡眠障碍,shui'mian'zhang'ai
水平裂,shui'ping'lie
顺铂,shun'bo
瞬目反射,shun'mu'fan'she
瞬目痉挛,shun'mu'jing'luan
瞬时,shun'shi
顺向轴浆输送,shun'xiang'zhou'jiang'shu'song
顺行变性,shun'xing'bian'xing
顺行性遗忘,shun'xing'xing'yi'wang
四叠体,si'die'ti
司可巴比妥,si'ke'ba'bi'tuo
撕裂性,si'lie'xing
思罗克莫顿反射,si'luo'ke'mo'dun'fan'she
四肢不全性偏瘫,si'zhi'bu'quan'xing'pian'tan
四肢瘫,si'zhi'tan
四肢营养神经病,si'zhi'ying'yang'shen'jing'bing
诵读障碍,song'du'zhang'ai
松果体,song'guo'ti
松果体瘤,song'guo'ti'liu
松果体石,song'guo'ti'shi
松果体隐窝,song'guo'ti'yin'wo
苏拉明,su'la'ming
速眠安,su'mian'an
速尿,su'niao
髓鞘,sui'qiao
髓鞘破坏,sui'qiao'po'huai
髓鞘溶解,sui'qiao'rong'jie
髓鞘生成区,sui'qiao'sheng'cheng'qu
髓鞘形成,sui'qiao'xing'cheng
髓鞘质病,sui'qiao'zhi'bing
髓纹,sui'wen
髓炎,sui'yan
髓样瘤,sui'yang'liu
髓质,sui'zhi
羧苄青霉素,suo'bian'qing'mei'su
锁骨下盗血综合征,suo'gu'xia'dao'xue'zong'he'zheng
缩瞳,suo'tong
梭形动脉瘤,suo'xing'dong'mai'liu
梭状回,suo'zhuang'hui
塔头并指畸形症,ta'tou'bing'zhi'ji'xing'zheng
泰必利,tai'bi'li
泰尔登,tai'er'deng
太息定,tai'xi'ding
瘫痪,tan'huan
碳酸锂,tan'suan'li
弹性假黄瘤,tan'xing'jia'huang'liu
弹性酶,tan'xing'mei
糖酐酯,tang'gan'zhi
糖尿病性昏迷,tang'niao'bing'xing'hun'mi
糖尿病性肌萎缩,tang'niao'bing'xing'ji'wei'suo
糖尿病性神经炎,tang'niao'bing'xing'shen'jing'yan
糖原,tang'yuan
糖原沉积病,tang'yuan'chen'ji'bing
糖原沉积病型,tang'yuan'chen'ji'bing'xing
唐综合征,tang'zong'he'zheng
绦虫病,tao'chong'bing
特发性,te'fa'xing
特鲁索点,te'lu'suo'dian
特鲁索现象,te'lu'suo'xian'xiang
特鲁索征,te'lu'suo'zheng
特塞氏被盖腹,te'sai'shi'bei'gai'fu
腾喜龙,teng'xi'long
体感诱发电位,ti'gan'you'fa'dian'wei
提睾反射,ti'gao'fan'she
体树突触,ti'shu'tu'chu
体体突触,ti'ti'tu'chu
梯头,ti'tou
体位性低血压,ti'wei'xing'di'xue'ya
体轴突触,ti'zhou'tu'chu
天幕,tian'mu
天幕上脓肿,tian'mu'shang'nong'zhong
跳动性眼球震颤,tiao'dong'xing'yan'qiu'zhen'chan
调节反射,tiao'jie'fan'she
调节痉挛,tiao'jie'jing'luan
跳跃性痉挛,tiao'yue'xing'jing'luan
听侧线区,ting'ce'xian'qu
听辐射,ting'fu'she
听睑反射,ting'jian'fan'she
听觉,ting'jue
听觉传导路,ting'jue'chuan'dao'lu
听觉减退,ting'jue'jian'tui
听觉系,ting'jue'xi
听觉性健忘,ting'jue'xing'jian'wang
听觉诱发电位,ting'jue'you'fa'dian'wei
听力减退,ting'li'jian'tui
听力障碍,ting'li'zhang'ai
听神经瘤,ting'shen'jing'liu
听髓纹,ting'sui'wen
听纹,ting'wen
同侧,tong'ce
同侧偏盲,tong'ce'pian'mang
痛觉,tong'jue
痛觉过敏,tong'jue'guo'min
痛觉减退,tong'jue'jian'tui
痛觉缺失,tong'jue'que'shi
瞳孔闭锁,tong'kong'bi'suo
瞳孔不等大,tong'kong'bu'deng'da
瞳孔反射,tong'kong'fan'she
瞳孔反应迟钝,tong'kong'fan'ying'chi'dun
瞳孔反应异常,tong'kong'fan'ying'yi'chang
瞳孔紧张症,tong'kong'jin'zhang'zheng
瞳孔开大,tong'kong'kai'da
瞳孔扩大,tong'kong'kuo'da
瞳孔散大反射,tong'kong'san'da'fan'she
瞳孔收缩伴闭眼,tong'kong'shou'suo'ban'bi'yan
瞳孔收缩中枢,tong'kong'shou'suo'zhong'shu
瞳孔调节中枢,tong'kong'tiao'jie'zhong'shu
同联的,tong'lian'de
通路,tong'lu
同向,tong'xiang
同心层型轴周性脑炎,tong'xin'ceng'xing'zhou'zhou'xing'nao'yan
痛性抽搐三叉神经痛,tong'xing'chou'chu'san'cha'shen'jing'tong
痛性肥胖症,tong'xing'fei'pang'zheng
痛性感觉缺失,tong'xing'gan'jue'que'shi
痛性痉挛,tong'xing'jing'luan
头孢氨苄,tou'bao'an'bian
头孢拉定,tou'bao'la'ding
头孢硫脒,tou'bao'liu'mi
头孢噻啶,tou'bao'sai'ding
头孢噻吩钠,tou'bao'sai'fen'na
头孢噻肟二嗪,tou'bao'sai'wo'er'qin
头孢唑啉钠,tou'bao'zuo'lin'na
头发育不全,tou'fa'yu'bu'quan
头固定架,tou'gu'ding'jia
头颅穿刺术,tou'lu'chuan'ci'shu
头颅发育不全,tou'lu'fa'yu'bu'quan
头面肌瘫痪,tou'mian'ji'tan'huan
头皮,tou'pi
头皮撕裂伤,tou'pi'si'lie'shang
头曲,tou'qu
投射,tou'she
头索,tou'suo
头痛,tou'tong
投掷症,tou'zhi'zheng
突触,tu'chu
突触缝,tu'chu'feng
突触后膜,tu'chu'hou'mo
突触膜,tu'chu'mo
突触前膜,tu'chu'qian'mo
突触小结,tu'chu'xiao'jie
突触小泡,tu'chu'xiao'pao
突触小球,tu'chu'xiao'qiu
退化,tui'hua
臀反射,tun'fan'she
吞噬神经胶质作用,tun'shi'shen'jing'jiao'zhi'zuo'yong
吞咽反射,tun'yan'fan'she
吞咽障碍,tun'yan'zhang'ai
臀中肌瘫痪,tun'zhong'ji'tan'huan
臀状头,tun'zhuang'tou
妥布霉素,tuo'bu'mei'su
脱垂,tuo'chui
托德氏瘫,tuo'de'shi'tan
妥卡胺,tuo'ka'an
脱髓鞘,tuo'sui'qiao
脱氧核糖核酸,tuo'yang'he'tang'he'suan
拖曳,tuo'ye
挖鼻孔动作,wa'bi'kong'dong'zuo
瓦尔米,wa'er'mi
瓦勒氏变性,wa'le'shi'bian'xing
瓦雷点,wa'lei'dian
瓦伦变性,wa'lun'bian'xing
外侧沟,wai'ce'gou
外侧孔,wai'ce'kong
外侧偏盲,wai'ce'pian'mang
外侧丘系,wai'ce'qiu'xi
外侧索,wai'ce'suo
外侧膝状体,wai'ce'xi'zhuang'ti
外侧隐窝,wai'ce'yin'wo
外感受器,wai'gan'shou'qi
外界膜,wai'jie'mo
外颗粒层,wai'ke'li'ceng
外囊,wai'nang
外伤后痴呆,wai'shang'hou'chi'dai
外伤后癫痫,wai'shang'hou'dian'xian
外伤后软脑,wai'shang'hou'ruan'nao
外伤后头痛,wai'shang'hou'tou'tong
外伤性精神病,wai'shang'xing'jing'shen'bing
外伤性颈综合征,wai'shang'xing'jing'zong'he'zheng
外伤性朦胧状态,wai'shang'xing'meng'long'zhuang'tai
外伤性神经症,wai'shang'xing'shen'jing'zheng
外伤性遗忘症,wai'shang'xing'yi'wang'zheng
外伤性谵妄,wai'shang'xing'zhan'wang
外神经胶质,wai'shen'jing'jiao'zhi
外髓板,wai'sui'ban
外展,wai'zhan
外锥体层,wai'zhui'ti'ceng
腕管综合征,wan'guan'zong'he'zheng
玩偶征,wan'ou'zheng
完全偏盲,wan'quan'pian'mang
完全性失语,wan'quan'xing'shi'yu
腕下垂,wan'xia'chui
妄想,wang'xiang
网状脊髓束,wang'zhuang'ji'sui'shu
网状结构,wang'zhuang'jie'gou
网状上行激活系统,wang'zhuang'shang'xing'ji'huo'xi'tong
网状上行抑制系统,wang'zhuang'shang'xing'yi'zhi'xi'tong
网状小脑纤维,wang'zhuang'xiao'nao'xian'wei
尾的,wei'de
微动脉瘤,wei'dong'mai'liu
胃复康,wei'fu'kang
畏光,wei'guang
味觉减退,wei'jue'jian'tui
维拉帕米,wei'la'pa'mi
威利斯听觉倒错,wei'li'si'ting'jue'dao'cuo
维脑路通,wei'nao'lu'tong
韦尼克脑病,wei'ni'ke'nao'bing
韦尼克三角,wei'ni'ke'san'jiao
威尼克氏区,wei'ni'ke'shi'qu
韦氏试验,wei'shi'shi'yan
韦斯特法尔征,wei'si'te'fa'er'zheng
萎缩性肌强直,wei'suo'xing'ji'qiang'zhi
卫星状态,wei'xing'zhuang'tai
位置感,wei'zhi'gan
位置觉,wei'zhi'jue
位置觉缺失,wei'zhi'jue'que'shi
位置性低血压,wei'zhi'xing'di'xue'ya
位置性眼震,wei'zhi'xing'yan'zhen
温度觉,wen'du'jue
温度觉迟钝,wen'du'jue'chi'dun
温度觉过度,wen'du'jue'guo'du
温度觉缺失,wen'du'jue'que'shi
温觉缺失,wen'jue'que'shi
纹旁区,wen'pang'qu
温热性眼球震颤,wen're'xing'yan'qiu'zhen'chan
纹周区,wen'zhou'qu
纹状区,wen'zhuang'qu
纹状体,wen'zhuang'ti
纹状体苍白球纤维,wen'zhuang'ti'cang'bai'qiu'xian'wei
纹状体黑质纤维,wen'zhuang'ti'hei'zhi'xian'wei
纹状体综合征,wen'zhuang'ti'zong'he'zheng
蜗管,wo'guan
蜗管网状膜,wo'guan'wang'zhuang'mo
蜗螺旋神经节,wo'luo'xuan'shen'jing'jie
舞蹈病,wu'dao'bing
舞蹈病样的,wu'dao'bing'yang'de
舞蹈手足徐动症,wu'dao'shou'zu'xu'dong'zheng
无环鸟苷,wu'huan'niao'gan
无菌性脑膜炎,wu'jun'xing'nao'mo'yan
无脑,wu'nao
无脑回,wu'nao'hui
戊四氮,wu'si'dan
无髓神经纤维,wu'sui'shen'jing'xian'wei
无髓纤维,wu'sui'xian'wei
无瞳孔,wu'tong'kong
无头畸形,wu'tou'ji'xing
无意识,wu'yi'shi
无张力性膀胱,wu'zhang'li'xing'pang'guang
无症状,wu'zheng'zhuang
细胞变性,xi'bao'bian'xing
细胞核,xi'bao'he
希茨希带,xi'ci'xi'dai
希茨希试验,xi'ci'xi'shi'yan
席尔德脑炎,xi'er'de'nao'yan
希尔特尔襻,xi'er'te'er'pan
膝反射,xi'fan'she
习惯性痉挛,xi'guan'xing'jing'luan
膝距束,xi'ju'shu
戏剧性姿势,xi'ju'xing'zi'shi
西米替丁,xi'mi'ti'ding
希氏带,xi'shi'dai
吸吮反射,xi'shun'fan'she
希斯区,xi'si'qu
希斯血管周隙,xi'si'xue'guan'zhou'xi
西梭霉素,xi'suo'mei'su
系统,xi'tong
膝状疱疹,xi'zhuang'pao'zhen
膝状神经节痛,xi'zhuang'shen'jing'jie'tong
膝状体,xi'zhuang'ti
下凹,xia'ao
下臂丛麻痹,xia'bi'cong'ma'bi
下垂,xia'chui
下颌反射,xia'he'fan'she
下颌角点,xia'he'jiao'dian
下颌面骨发育障碍,xia'he'mian'gu'fa'yu'zhang'ai
下颌瞬目反射,xia'he'shun'mu'fan'she
夏科氏步态,xia'ke'shi'bu'tai
夏科氏关节,xia'ke'shi'guan'jie
夏科氏三征,xia'ke'shi'san'zheng
夏科氏综合征,xia'ke'shi'zong'he'zheng
夏科氏足,xia'ke'shi'zu
下丘,xia'qiu
下丘臂,xia'qiu'bi
下丘连合,xia'qiu'lian'he
下丘脑,xia'qiu'nao
下丘脑垂体系统,xia'qiu'nao'chui'ti'xi'tong
下丘脑沟,xia'qiu'nao'gou
下丘脑切断术,xia'qiu'nao'qie'duan'shu
下丘上橄榄投射,xia'qiu'shang'gan'lan'tou'she
下丘蜗核,xia'qiu'wo'he
夏桑亚克结节,xia'sang'ya'ke'jie'jie
下身感觉缺失,xia'shen'gan'jue'que'shi
下身痛觉缺失,xia'shen'tong'jue'que'shi
下矢状窦,xia'shi'zhuang'dou
下托前区,xia'tuo'qian'qu
狭窄,xia'zhai
下纵束,xia'zong'shu
腺病毒,xian'bing'du
酰基鞘氨醇已三糖苷脂沉积症,xian'ji'qiao'an'chun'yi'san'tang'gan'zhi'chen'ji'zheng
线粒体,xian'li'ti
线粒体肌病,xian'li'ti'ji'bing
先天副肌强直,xian'tian'fu'ji'qiang'zhi
先天性,xian'tian'xing
先天性肌病,xian'tian'xing'ji'bing
先天性肌强直,xian'tian'xing'ji'qiang'zhi
先天性肌张力不全症,xian'tian'xing'ji'zhang'li'bu'quan'zheng
先天性颈椎缺少或融合,xian'tian'xing'jing'zhui'que'shao'huo'rong'he
先天性梅毒,xian'tian'xing'mei'du
先天性小脑延髓下疝畸形,xian'tian'xing'xiao'nao'yan'sui'xia'shan'ji'xing
先天愚型,xian'tian'yu'xing
纤维化,xian'wei'hua
纤维肌性增生,xian'wei'ji'xing'zeng'sheng
显微镜,xian'wei'jing
纤维性肌炎,xian'wei'xing'ji'yan
纤维性神经胶质细胞,xian'wei'xing'shen'jing'jiao'zhi'xi'bao
纤维性星形胶质细胞,xian'wei'xing'xing'xing'jiao'zhi'xi'bao
线显微镜,xian'xian'wei'jing
线性颅骨切除术,xian'xing'lu'gu'qie'chu'shu
先兆,xian'zhao
相差显微镜,xiang'cha'xian'wei'jing
香菇糖,xiang'gu'tang
象限盲,xiang'xian'mang
硝苯地平,xiao'ben'di'ping
小步步态,xiao'bu'bu'tai
消胆胺考来烯胺,xiao'dan'an'kao'lai'xi'an
小儿癫痫性脑病,xiao'er'dian'xian'xing'nao'bing
小发作,xiao'fa'zuo
小发作癔病,xiao'fa'zuo'yi'bing
硝基安定,xiao'ji'an'ding
硝基去氯安定,xiao'ji'qu'lv'an'ding
小胶质细胞,xiao'jiao'zhi'xi'bao
小胶质细胞瘤,xiao'jiao'zhi'xi'bao'liu
小结,xiao'jie
硝硫氰胺,xiao'liu'qing'an
硝氯芬,xiao'lv'fen
小脑,xiao'nao
小脑板,xiao'nao'ban
小脑半球,xiao'nao'ban'qiu
小脑半球综合征,xiao'nao'ban'qiu'zong'he'zheng
小脑扁桃体,xiao'nao'bian'tao'ti
小脑扁桃体疝,xiao'nao'bian'tao'ti'shan
小脑齿状核周围白纤维,xiao'nao'chi'zhuang'he'zhou'wei'bai'xian'wei
小脑橄榄纤维,xiao'nao'gan'lan'xian'wei
小脑共济失调,xiao'nao'gong'ji'shi'tiao
小脑红核纤维,xiao'nao'hong'he'xian'wei
小脑后切迹,xiao'nao'hou'qie'ji
小脑镰,xiao'nao'lian
小脑幕,xiao'nao'mu
小脑幕裂孔疝,xiao'nao'mu'lie'kong'shan
小脑内的,xiao'nao'nei'de
小脑内副齿状核,xiao'nao'nei'fu'chi'zhuang'he
小脑皮质,xiao'nao'pi'zhi
小脑前切迹,xiao'nao'qian'qie'ji
小脑前庭纤维,xiao'nao'qian'ting'xian'wei
小脑桥脑角,xiao'nao'qiao'nao'jiao
小脑绒球结节综合征,xiao'nao'rong'qiu'jie'jie'zong'he'zheng
小脑上脚,xiao'nao'shang'jiao
小脑上脚交叉,xiao'nao'shang'jiao'jiao'cha
小脑实质萎缩,xiao'nao'shi'zhi'wei'suo
小脑体,xiao'nao'ti
小脑外疝,xiao'nao'wai'shan
小脑网状纤维,xiao'nao'wang'zhuang'xian'wei
小脑萎缩,xiao'nao'wei'suo
小脑下脚,xiao'nao'xia'jiao
小脑压迫圆锥,xiao'nao'ya'po'yuan'zhui
小脑炎,xiao'nao'yan
小脑延髓池,xiao'nao'yan'sui'chi
小脑延髓池穿刺,xiao'nao'yan'sui'chi'chuan'ci
小脑中脚,xiao'nao'zhong'jiao
硝普钠,xiao'pu'na
小神经胶质细胞瘤,xiao'shen'jing'jiao'zhi'xi'bao'liu
小体,xiao'ti
小头畸形,xiao'tou'ji'xing
小舞蹈病,xiao'wu'dao'bing
小细胞神经分泌系统,xiao'xi'bao'shen'jing'fen'mi'xi'tong
消炎痛,xiao'yan'tong
效应器,xiao'ying'qi
谢尔切诺夫中枢,xie'er'qie'nuo'fu'zhong'shu
斜方体,xie'fang'ti
楔核外侧核,xie'he'wai'ce'he
斜角带,xie'jiao'dai
斜颈,xie'jing
谢灵顿定律,xie'ling'dun'ding'lv
斜视,xie'shi
斜视眼阵挛,xie'shi'yan'zhen'luan
楔束,xie'shu
楔束核,xie'shu'he
歇斯底里性步行不能,xie'si'di'li'xing'bu'xing'bu'neng
协调,xie'tiao
协调不能,xie'tiao'bu'neng
协调障碍,xie'tiao'zhang'ai
协同不能,xie'tong'bu'neng
协同障碍,xie'tong'zhang'ai
楔小脑束,xie'xiao'nao'shu
楔小脑纤维,xie'xiao'nao'xian'wei
楔状结节,xie'zhuang'jie'jie
写字过小症,xie'zi'guo'xiao'zheng
心丛,xin'cong
心得安,xin'de'an
心得舒,xin'de'shu
心动过缓,xin'dong'guo'huan
心动过速,xin'dong'guo'su
心加速中枢,xin'jia'su'zhong'shu
新抗凝,xin'kang'ning
欣快,xin'kuai
心力贯注不能,xin'li'guan'zhu'bu'neng
心麻痹,xin'ma'bi
信尼麦,xin'ni'mai
新生儿肌强直,xin'sheng'er'ji'qiang'zhi
新生儿肌无力,xin'sheng'er'ji'wu'li
心痛定,xin'tong'ding
新纹状体,xin'wen'zhuang'ti
辛酰氧肟酸,xin'xian'yang'wo'suan
新小脑,xin'xiao'nao
心性脑病,xin'xing'nao'bing
心抑制中枢,xin'yi'zhi'zhong'shu
心脏神经症,xin'zang'shen'jing'zheng
心脏停搏,xin'zang'ting'bo
形成,xing'cheng
兴奋膜,xing'fen'mo
性染色质,xing'ran'se'zhi
形体感觉,xing'ti'gan'jue
行为,xing'wei
星形胶质细胞,xing'xing'jiao'zhi'xi'bao
星形胶质细胞突破折,xing'xing'jiao'zhi'xi'bao'tu'po'zhe
星形神经元,xing'xing'shen'jing'yuan
星形细胞瘤,xing'xing'xi'bao'liu
杏周区,xing'zhou'qu
胸长神经,xiong'chang'shen'jing
胸的,xiong'de
胸腺肽,xiong'xian'tai
胸主动脉丛,xiong'zhu'dong'mai'cong
溴基安定,xiu'ji'an'ding
嗅觉,xiu'jue
嗅觉感受器,xiu'jue'gan'shou'qi
嗅觉过敏,xiu'jue'guo'min
嗅觉减退,xiu'jue'jian'tui
嗅觉缺失,xiu'jue'que'shi
嗅觉障碍,xiu'jue'zhang'ai
嗅脑沟,xiu'nao'gou
嗅内区,xiu'nei'qu
嗅球,xiu'qiu
嗅三角,xiu'san'jiao
嗅束,xiu'shu
嗅外区,xiu'wai'qu
嗅纹,xiu'wen
溴隐亭,xiu'yin'ting
嗅周区,xiu'zhou'qu
虚构遗忘综合征,xu'gou'yi'wang'zong'he'zheng
旋毛虫,xuan'mao'chong
眩晕,xuan'yun
眩晕停,xuan'yun'ting
旋转性头震颤,xuan'zhuan'xing'tou'zhen'chan
雪德综合征,xue'de'zong'he'zheng
血管痉挛,xue'guan'jing'luan
血管瘤,xue'guan'liu
血管迷走神经性发作,xue'guan'mi'zou'shen'jing'xing'fa'zuo
血管神经性水肿,xue'guan'shen'jing'xing'shui'zhong
血管舒张,xue'guan'shu'zhang
血管性头痛,xue'guan'xing'tou'tong
血管性眩晕,xue'guan'xing'xuan'yun
血管源性休克,xue'guan'yuan'xing'xiu'ke
血管运动性神经痛,xue'guan'yun'dong'xing'shen'jing'tong
血管运动性神经症,xue'guan'yun'dong'xing'shen'jing'zheng
血管造影,xue'guan'zao'ying
血管周围淋巴细胞袖套征,xue'guan'zhou'wei'lin'ba'xi'bao'xiu'tao'zheng
血浆铜蓝蛋白,xue'jiang'tong'lan'dan'bai
血脉宁,xue'mai'ning
血脑脊液屏障,xue'nao'ji'ye'ping'zhang
血脑屏障,xue'nao'ping'zhang
血清学检查,xue'qing'xue'jian'cha
血神经屏障,xue'shen'jing'ping'zhang
血栓,xue'shuan
血栓性静脉炎,xue'shuan'xing'jing'mai'yan
血源性,xue'yuan'xing
鸭步,ya'bu
牙关紧闭,ya'guan'jin'bi
亚急性包涵体脑炎,ya'ji'xing'bao'han'ti'nao'yan
亚急性海,ya'ji'xing'hai
亚急性坏死性脊,ya'ji'xing'huai'si'xing'ji
亚急性坏死性脑脊髓病,ya'ji'xing'huai'si'xing'nao'ji'sui'bing
亚急性脊髓视神经病,ya'ji'xing'ji'sui'shi'shen'jing'bing
亚急性联合变性,ya'ji'xing'lian'he'bian'xing
亚急性硬化性白质脑炎,ya'ji'xing'ying'hua'xing'bai'zhi'nao'yan
亚急性硬化性全脑炎,ya'ji'xing'ying'hua'xing'quan'nao'yan
压颈动脉试验,ya'jing'dong'mai'shi'yan
压颈试验,ya'jing'shi'yan
压觉,ya'jue
压觉缺失,ya'jue'que'shi
亚麻酯,ya'ma'zhi
鸦片,ya'pian
压迫,ya'po
亚油甲苄胺,ya'you'jia'bian'an
亚油酸,ya'you'suan
亚油酸乙酯,ya'you'suan'yi'zhi
眼辨距不良,yan'bian'ju'bu'liang
眼病性眼球震颤,yan'bing'xing'yan'qiu'zhen'chan
眼底,yan'di
眼底检查,yan'di'jian'cha
眼底镜,yan'di'jing
眼电图,yan'dian'tu
烟己甘酯,yan'ji'gan'zhi
眼肌麻痹,yan'ji'ma'bi
眼肌麻痹型偏头痛,yan'ji'ma'bi'xing'pian'tou'tong
眼肌营养不良,yan'ji'ying'yang'bu'liang
眼肌阵挛,yan'ji'zhen'luan
眼睑下垂,yan'jian'xia'chui
烟肼酰胺,yan'jing'xian'an
岩鳞窦,yan'lin'dou
眼轮匝肌反射,yan'lun'za'ji'fan'she
颜面营养神经病,yan'mian'ying'yang'shen'jing'bing
眼脑反射,yan'nao'fan'she
眼前庭反射,yan'qian'ting'fan'she
眼球快动相,yan'qiu'kuai'dong'xiang
眼球内陷,yan'qiu'nei'xian
眼球跳动,yan'qiu'tiao'dong
眼球震颤,yan'qiu'zhen'chan
眼球震颤肌阵挛症,yan'qiu'zhen'chan'ji'zhen'luan'zheng
眼球震颤征,yan'qiu'zhen'chan'zheng
眼色素层迷路炎,yan'se'su'ceng'mi'lu'yan
眼色素层脑膜炎,yan'se'su'ceng'nao'mo'yan
岩上窦,yan'shang'dou
沿神经蔓延,yan'shen'jing'man'yan
眼神经炎,yan'shen'jing'yan
厌食,yan'shi
烟酸,yan'suan
盐酸苯海索,yan'suan'ben'hai'suo
盐酸丙咪嗪,yan'suan'bing'mi'qin
盐酸二乙嗪,yan'suan'er'yi'qin
烟酸肌醇酯,yan'suan'ji'chun'zhi
烟酸铝,yan'suan'lv
盐酸氯丙嗪,yan'suan'lv'bing'qin
盐酸莫西赛林,yan'suan'mo'xi'sai'lin
烟酸缺乏症,yan'suan'que'fa'zheng
烟酸生育酚酯,yan'suan'sheng'yu'fen'zhi
盐酸司立吉林,yan'suan'si'li'ji'lin
烟酸戊四醇酯,yan'suan'wu'si'chun'zhi
延髓,yan'sui
延髓腹外侧综合征,yan'sui'fu'wai'ce'zong'he'zheng
延髓呼吸,yan'sui'hu'xi
延髓睫状体中枢,yan'sui'jie'zhuang'ti'zhong'shu
延髓空洞症,yan'sui'kong'dong'zheng
延髓盲孔,yan'sui'mang'kong
延髓外侧丘系,yan'sui'wai'ce'qiu'xi
延髓外侧综合征,yan'sui'wai'ce'zong'he'zheng
延髓网状纤维,yan'sui'wang'zhuang'xian'wei
眼调节不良,yan'tiao'jie'bu'liang
眼突出,yan'tu'chu
岩下窦,yan'xia'dou
烟酰氧肟酸,yan'xian'yang'wo'suan
眼心反射,yan'xin'fan'she
眼性斜颈,yan'xing'xie'jing
眼性晕厥,yan'xing'yun'jue
眼炎,yan'yan
眼咽型营养不良,yan'yan'xing'ying'yang'bu'liang
厌氧的,yan'yang'de
言语不能,yan'yu'bu'neng
言语不清,yan'yu'bu'qing
言语迟缓,yan'yu'chi'huan
言语过慢,yan'yu'guo'man
言语困难,yan'yu'kun'nan
言语障碍,yan'yu'zhang'ai
言语拙笨,yan'yu'zhuo'ben
眼震,yan'zhen
眼震电图,yan'zhen'dian'tu
严重蛋白缺乏综合征,yan'zhong'dan'bai'que'fa'zong'he'zheng
眼注视反射,yan'zhu'shi'fan'she
氧甲氢龙,yang'jia'qing'long
氧哌嗪青霉素,yang'pai'qin'qing'mei'su
阳萎,yang'wei
氧烯洛尔,yang'xi'luo'er
摇摆步态,yao'bai'bu'tai
腰丛,yao'cong
腰的,yao'de
腰骶,yao'di
腰膨大,yao'peng'da
腰椎穿刺,yao'zhui'chuan'ci
夜间,ye'jian
夜间肌阵挛,ye'jian'ji'zhen'luan
夜间失语,ye'jian'shi'yu
乙胺丁醇,yi'an'ding'chun
翼板,yi'ban
易变性痉挛,yi'bian'xing'jing'luan
癔病,yi'bing
异丙肌苷,yi'bing'ji'gan
癔病脊髓痨,yi'bing'ji'sui'lao
癔病狂笑,yi'bing'kuang'xiao
异丙嗪,yi'bing'qin
癔病性肌痛,yi'bing'xing'ji'tong
癔病性视力障碍,yi'bing'xing'shi'li'zhang'ai
异侧偏盲,yi'ce'pian'mang
异常,yi'chang
遗传,yi'chuan
遗传性感觉神经根神经病,yi'chuan'xing'gan'jue'shen'jing'gen'shen'jing'bing
遗传性共济失调,yi'chuan'xing'gong'ji'shi'tiao
遗传性视神经萎缩,yi'chuan'xing'shi'shen'jing'wei'suo
遗传性小脑性运动失调,yi'chuan'xing'xiao'nao'xing'yun'dong'shi'tiao
遗传性运动感觉性神经病,yi'chuan'xing'yun'dong'gan'jue'xing'shen'jing'bing
遗传性震颤,yi'chuan'xing'zhen'chan
遗传性周期性麻痹,yi'chuan'xing'zhou'qi'xing'ma'bi
胰岛素,yi'dao'su
翼点,yi'dian
胰高血糖素,yi'gao'xue'tang'su
翼管神经痛,yi'guan'shen'jing'tong
疑核脊髓丘脑性麻痹,yi'he'ji'sui'qiu'nao'xing'ma'bi
乙琥胺,yi'hu'an
易化区,yi'hua'qu
乙基雌烯醇,yi'ji'ci'xi'chun
乙基二甲二苯溴丙胺,yi'ji'er'jia'er'ben'xiu'bing'an
乙硫异烟胺,yi'liu'yi'yan'an
乙嘧啶,yi'mi'ding
疫苗脑脊髓炎,yi'miao'nao'ji'sui'yan
遗尿症,yi'niao'zheng
易呕吐,yi'ou'tu
易疲劳,yi'pi'lao
异染性脑白质营养不良,yi'ran'xing'nao'bai'zhi'ying'yang'bu'liang
异噻嗪,yi'sai'qin
意识,yi'shi
抑肽酶,yi'tai'mei
已酮可可碱,yi'tong'ke'ke'jian
异突的,yi'tu'de
乙妥因,yi'tuo'yin
意外,yi'wai
遗忘,yi'wang
遗忘性失语,yi'wang'xing'shi'yu
异位,yi'wei
