阿贝他片苯扎贝特,a'bei'ta'pian'ben'zha'bei'te
安侬痛注射液,an'nong'tong'zhu'she'ye
安普莱士,an'pu'lai'shi
安普索,an'pu'suo
安奇颗粒阿莫西林克拉维酸钾,an'qi'ke'li'a'mo'xi'lin'ke'la'wei'suan'jia
氨气意外中毒,an'qi'yi'wai'zhong'du
氨气中毒,an'qi'zhong'du
鞍区病变,an'qu'bing'bian
氨曲南注射剂,an'qu'nan'zhu'she'ji
安曲希,an'qu'xi
鞍区占位病变切除术,an'qu'zhan'wei'bing'bian'qie'chu'shu
鞍区脂肪瘤,an'qu'zhi'fang'liu
鞍区肿瘤切除术,an'qu'zhong'liu'qie'chu'shu
氨噻肟头孢菌素钠注射液,an'sai'wo'tou'bao'jun'su'na'zhu'she'ye
氨噻肟唑头孢菌素钠,an'sai'wo'zuo'tou'bao'jun'su'na
暗色孢子科真菌感染,an'se'bao'zi'ke'zhen'jun'gan'ran
鞍上区恶性肿瘤,an'shang'qu'e'xing'zhong'liu
鞍上损害切除术,an'shang'sun'hai'qie'chu'shu
安射力,an'she'li
安神补脑液,an'shen'bu'nao'ye
安神补心胶囊,an'shen'bu'xin'jiao'nang
安神补心丸,an'shen'bu'xin'wan
安释定片,an'shi'ding'pian
安室律定片,an'shi'lv'ding'pian
暗适应,an'shi'ying
暗适应测定,an'shi'ying'ce'ding
暗示治疗,an'shi'zhi'liao
氨水,an'shui
安斯菲,an'si'fei
安嗽灵,an'sou'ling
安素,an'su
安素粉,an'su'fen
安素丝凝胶,an'su'si'ning'jiao
安他心片,an'ta'xin'pian
安他唑啉片,an'ta'zuo'lin'pian
氨肽碘滴眼液,an'tai'dian'di'yan'ye
安泰乐片,an'tai'le'pian
安泰洛韦莪术油,an'tai'luo'wei'e'zhu'you
氨肽素片,an'tai'su'pian
安坦片,an'tan'pian
安坦药物反应,an'tan'yao'wu'fan'ying
安坦意外中毒,an'tan'yi'wai'zhong'du
安坦中毒,an'tan'zhong'du
安坦自杀,an'tan'zi'sha
安特尔胶囊十一酸睾酮,an'te'er'jiao'nang'shi'yi'suan'gao'tong
安特鲁克,an'te'lu'ke
安特先甲苯磺酸舒他西林,an'te'xian'jia'ben'huang'suan'shu'ta'xi'lin
安提瓜和巴布达,an'ti'gua'he'ba'bu'da
氨体舒通粉,an'ti'shu'tong'fen
安体舒通片,an'ti'shu'tong'pian
安汀干糖浆,an'ting'gan'tang'jiang
安痛定,an'tong'ding
安痛定药物反应,an'tong'ding'yao'wu'fan'ying
安妥碘注射液,an'tuo'dian'zhu'she'ye
氨妥碘注射液,an'tuo'dian'zhu'she'ye
安妥明片,an'tuo'ming'pian
安微滁州市,an'wei'chu'zhou'shi
安胃得胶浆,an'wei'de'jiao'jiang
安息香酸粉,an'xi'xiang'suan'fen
安酰心胺片,an'xian'xin'an'pian
氨酰心安片,an'xian'xin'an'pian
胺酰心安片,an'xian'xin'an'pian
氨哮素栓,an'xiao'su'shuan
安雄胶囊,an'xiong'jiao'nang
安雄片,an'xiong'pian
胺休果胶铋,an'xiu'guo'jiao'bi
氨溴索分散片,an'xiu'suo'fen'san'pian
氨溴索口服液,an'xiu'suo'kou'fu'ye
氨溴索注射液,an'xiu'suo'zhu'she'ye
氨溴特罗口服液,an'xiu'te'luo'kou'fu'ye
安丫啶注射液,an'ya'ding'zhu'she'ye
安阳益康制药厂,an'yang'yi'kang'zhi'yao'chang
安已辛胶囊,an'yi'xin'jiao'nang
安易醒针,an'yi'xing'zhen
氨制硝酸银溶液,an'zhi'xiao'suan'yin'rong'ye
安装发音钮,an'zhuang'fa'yin'niu
安装其它人工器官,an'zhuang'qi'ta'ren'gong'qi'guan
安装人工耳蜗,an'zhuang'ren'gong'er'wo
安装心脏起搏器,an'zhuang'xin'zang'qi'bo'qi
安装心脏起搏器状态,an'zhuang'xin'zang'qi'bo'qi'zhuang'tai
鞍状子宫,an'zhuang'zi'gong
铵棕合剂,an'zong'he'ji
昂丹司琼片,ang'dan'si'qiong'pian
昂丹司琼注射剂,ang'dan'si'qiong'zhu'she'ji
昂丹司琼注射液,ang'dan'si'qiong'zhu'she'ye
昂丹司琼注射液欧贝,ang'dan'si'qiong'zhu'she'ye'ou'bei
奥布卡因滴眼液,ao'bu'ka'yin'di'yan'ye
凹侧松解脊柱侧凸矫正术,ao'ce'song'jie'ji'zhu'ce'tu'jiao'zheng'shu
澳大利亚,ao'da'li'ya
奥氮平片,ao'dan'ping'pian
奥得清,ao'de'qing
奥迪康技术服务中心,ao'di'kang'ji'shu'fu'wu'zhong'xin
奥地利,ao'di'li
奥地利萘可明有限公司,ao'di'li'nai'ke'ming'you'xian'gong'si
奥地利依比威大药厂,ao'di'li'yi'bi'wei'da'yao'chang
奥狄氏扩约肌痉挛,ao'di'shi'kuo'yue'ji'jing'luan
奥迪氏括约肌切开成型术,ao'di'shi'kuo'yue'ji'qie'kai'cheng'xing'shu
奥狄氏括约肌切开术,ao'di'shi'kuo'yue'ji'qie'kai'shu
奥狄氏括约肌狭窄,ao'di'shi'kuo'yue'ji'xia'zhai
奥狄氏括约肌炎,ao'di'shi'kuo'yue'ji'yan
奥尔波特氏综合征,ao'er'bo'te'shi'zong'he'zheng
奥尔芬凝胶,ao'er'fen'ning'jiao
奥尔芬片,ao'er'fen'pian
奥尔芬乳剂,ao'er'fen'ru'ji
奥尔芬双氯酚酸钠盐酸利多卡因,ao'er'fen'shuang'lv'fen'suan'na'yan'suan'li'duo'ka'yin
奥尔芬注射液,ao'er'fen'zhu'she'ye
奥复星,ao'fu'xing
奥复星胶囊,ao'fu'xing'jiao'nang
奥复星片氧氟沙星,ao'fu'xing'pian'yang'fu'sha'xing
奥复星氧氟沙星,ao'fu'xing'yang'fu'sha'xing
奥格门订药物反应,ao'ge'men'ding'yao'wu'fan'ying
奥古丽氨溴索,ao'gu'li'an'xiu'suo
奥卡西平片,ao'ka'xi'ping'pian
澳抗,ao'kang
奥康莱,ao'kang'lai
奥克胶囊,ao'ke'jiao'nang
奥克斯都保富马酸福莫特罗,ao'ke'si'dou'bao'fu'ma'suan'fu'mo'te'luo
奥拉沙嗪钠胶囊,ao'la'sha'qin'na'jiao'nang
奥利埃氏病软骨发育不良,ao'li'ai'shi'bing'ruan'gu'fa'yu'bu'liang
奥利司他胶囊,ao'li'si'ta'jiao'nang
奥立妥奥硝唑氯化钠,ao'li'tuo'ao'xiao'zuo'lv'hua'na
奥丽先克林霉素,ao'li'xian'ke'lin'mei'su
奥麦伦,ao'mai'lun
奥美拉唑肠溶胶囊,ao'mei'la'zuo'chang'rong'jiao'nang
奥美拉唑肠溶片,ao'mei'la'zuo'chang'rong'pian
奥美拉唑粉针,ao'mei'la'zuo'fen'zhen
奥美垃唑胶囊,ao'mei'la'zuo'jiao'nang
奥美拉唑胶囊,ao'mei'la'zuo'jiao'nang
奥美拉唑镁肠溶片,ao'mei'la'zuo'mei'chang'rong'pian
奥美拉唑镁肠溶片洛赛克,ao'mei'la'zuo'mei'chang'rong'pian'luo'sai'ke
奥美拉唑水针,ao'mei'la'zuo'shui'zhen
澳门,ao'men
奥蒙德病,ao'meng'de'bing
奥名润注射液,ao'ming'run'zhu'she'ye
澳能乳膏卤米松,ao'neng'ru'gao'lu'mi'song
澳诺颗粒乙酰半胱胺酸,ao'nuo'ke'li'yi'xian'ban'guang'an'suan
奥诺星奥硝唑,ao'nuo'xing'ao'xiao'zuo
奥普欣肝水解肽,ao'pu'xin'gan'shui'jie'tai
奥琪妙分散片阿奇霉素,ao'qi'miao'fen'san'pian'a'qi'mei'su
奥曲肽针,ao'qu'tai'zhen
奥曲肽针国产,ao'qu'tai'zhen'guo'chan
奥曲肽注射剂,ao'qu'tai'zhu'she'ji
奥沙利铂注射剂,ao'sha'li'bo'zhu'she'ji
奥沙普嗪胶囊,ao'sha'pu'qin'jiao'nang
奥湿克片,ao'shi'ke'pian
澳丝,ao'si
奥西康片奥美拉唑,ao'xi'kang'pian'ao'mei'la'zuo
奥先达奈达铂,ao'xian'da'nai'da'bo
凹陷骨折复位术复杂,ao'xian'gu'zhe'fu'wei'shu'fu'za
凹陷骨折复位术简单,ao'xian'gu'zhe'fu'wei'shu'jian'dan
奥硝唑胶囊,ao'xiao'zuo'jiao'nang
奥硝唑胶囊齐克,ao'xiao'zuo'jiao'nang'qi'ke
奥硝唑氯化钠注射液,ao'xiao'zuo'lv'hua'na'zhu'she'ye
奥硝唑氯化钠注射液奥立妥,ao'xiao'zuo'lv'hua'na'zhu'she'ye'ao'li'tuo
奥硝唑片,ao'xiao'zuo'pian
奥硝唑注射液,ao'xiao'zuo'zhu'she'ye
奥一麦昂丹司琼,ao'yi'mai'ang'dan'si'qiong
奥扎格雷钠粉针,ao'zha'ge'lei'na'fen'zhen
奥扎格雷钠注射液,ao'zha'ge'lei'na'zhu'she'ye
奥正南注射用奥沙利铂,ao'zheng'nan'zhu'she'yong'ao'sha'li'bo
巴巴多斯,ba'ba'duo'si
巴比妥,ba'bi'tuo
巴比妥类药物反应,ba'bi'tuo'lei'yao'wu'fan'ying
巴比妥类药物过敏反应,ba'bi'tuo'lei'yao'wu'guo'min'fan'ying
巴比妥类药物中毒,ba'bi'tuo'lei'yao'wu'zhong'du
巴比妥钠,ba'bi'tuo'na
巴比妥酸,ba'bi'tuo'suan
巴比妥盐类意外中毒,ba'bi'tuo'yan'lei'yi'wai'zhong'du
八病区,ba'bing'qu
巴布亚新几内亚,ba'bu'ya'xin'ji'nei'ya
拔除胸腔闭式引流管,ba'chu'xiong'qiang'bi'shi'yin'liu'guan
巴顿骨折骨折切开复位内固定术,ba'dun'gu'zhe'gu'zhe'qie'kai'fu'wei'nei'gu'ding'shu
巴尔干肾病,ba'er'gan'shen'bing
巴夫龙注射液,ba'fu'long'zhu'she'ye
拔罐疗法,ba'guan'liao'fa
拔罐器,ba'guan'qi
拔罐治疗每疗程收一次挂号费,ba'guan'zhi'liao'mei'liao'cheng'shou'yi'ci'gua'hao'fei
巴哈马,ba'ha'ma
疤痕挛缩,ba'hen'luan'suo
疤痕切除术,ba'hen'qie'chu'shu
疤痕切除血管探查属,ba'hen'qie'chu'xue'guan'tan'cha'shu
疤痕松解术,ba'hen'song'jie'shu
疤痕性肌腱粘连,ba'hen'xing'ji'jian'zhan'lian
疤痕增生,ba'hen'zeng'sheng
疤痕子宫,ba'hen'zi'gong
巴基斯坦,ba'ji'si'tan
巴戟天,ba'ji'tian
巴戟天免煎,ba'ji'tian'mian'jian
拔甲术,ba'jia'shu
拔甲治疗,ba'jia'zhi'liao
八角,ba'jiao
靶控输入,ba'kong'shu'ru
巴拉圭,ba'la'gui
巴勒斯坦,ba'le'si'tan
巴利昔单抗注射剂,ba'li'xi'dan'kang'zhu'she'ji
巴林,ba'lin
巴氯芬,ba'lv'fen
巴氯芬片,ba'lv'fen'pian
巴米尔,ba'mi'er
巴米尔片,ba'mi'er'pian
巴拿马,ba'na'ma
疤切除皮瓣修整术小,ba'qie'chu'pi'ban'xiu'zheng'shu'xiao
疤切除整形术,ba'qie'chu'zheng'xing'shu
疤切除植皮术,ba'qie'chu'zhi'pi'shu
巴曲霉东陵迪芙,ba'qu'mei'dong'ling'di'fu
巴曲酶粉针,ba'qu'mei'fen'zhen
巴氏腺囊肿经皮抽吸术,ba'shi'xian'nang'zhong'jing'pi'chou'xi'shu
巴氏腺脓肿,ba'shi'xian'nong'zhong
巴氏腺脓肿经皮抽吸术,ba'shi'xian'nong'zhong'jing'pi'chou'xi'shu
巴氏腺脓肿切开引流术,ba'shi'xian'nong'zhong'qie'kai'yin'liu'shu
巴氏腺切开引流术,ba'shi'xian'qie'kai'yin'liu'shu
拔髓,ba'sui
拔髓针,ba'sui'zhen
巴西,ba'xi
拔牙创口出血,ba'ya'chuang'kou'chu'xie
拔牙创面搔刮术,ba'ya'chuang'mian'sao'gua'shu
拔牙感染,ba'ya'gan'ran
拔牙后缝合,ba'ya'hou'feng'he
拔牙矫治加收,ba'ya'jiao'zhi'jia'shou
拔牙劈冠,ba'ya'pi'guan
拔牙钳,ba'ya'qian
拔牙窝搔刮术,ba'ya'wo'sao'gua'shu
拔引流管,ba'yin'liu'guan
拔引流条,ba'yin'liu'tiao
八因子,ba'yin'zi
八月扎,ba'yue'zha
八月扎免煎,ba'yue'zha'mian'jian
八珍冲剂,ba'zhen'chong'ji
八珍益母丸,ba'zhen'yi'mu'wan
拔趾甲术,ba'zhi'jia'shu
拜阿司匹林片,bai'a'si'pi'lin'pian
百奥胶囊蚓激酶,bai'ao'jiao'nang'yin'ji'mei
白百破过敏,bai'bai'po'guo'min
白百破过敏反应,bai'bai'po'guo'min'fan'ying
百宝丹,bai'bao'dan
白扁豆,bai'bian'dou
白扁豆免煎,bai'bian'dou'mian'jian
百部免煎,bai'bu'mian'jian
百部生,bai'bu'sheng
百部炙,bai'bu'zhi
百草安神片,bai'cao'an'shen'pian
百达克滴眼液,bai'da'ke'di'yan'ye
白带常规,bai'dai'chang'gui
白带常规滴虫霉菌,bai'dai'chang'gui'di'chong'mei'jun
白带显微镜检查,bai'dai'xian'wei'jing'jian'cha
白蛋白,bai'dan'bai
白蛋白测定,bai'dan'bai'ce'ding
白蛋白定量,bai'dan'bai'ding'liang
白蛋白与球蛋白比值,bai'dan'bai'yu'qiu'dan'bai'bi'zhi
白癜风,bai'dian'feng
白癜风皮肤移植术,bai'dian'feng'pi'fu'yi'zhi'shu
白癜风治疗仪,bai'dian'feng'zhi'liao'yi
白豆蔻,bai'dou'kou
白豆蔻免煎,bai'dou'kou'mian'jian
百多邦软膏,bai'duo'bang'ruan'gao
百多邦软膏莫匹罗星,bai'duo'bang'ruan'gao'mo'pi'luo'xing
白俄罗斯,bai'e'luo'si
拜耳后牙,bai'er'hou'ya
拜耳磨牙,bai'er'mo'ya
拜耳前牙,bai'er'qian'ya
白矾,bai'fan
白凡士林,bai'fan'shi'lin
白蜂蜡,bai'feng'la
拜复乐片莫西沙星,bai'fu'le'pian'mo'xi'sha'xing
拜复乐注射液莫西沙星,bai'fu'le'zhu'she'ye'mo'xi'sha'xing
百服咛,bai'fu'ning
百服咛滴剂,bai'fu'ning'di'ji
百服宁口服液儿童,bai'fu'ning'kou'fu'ye'er'tong
百服宁片,bai'fu'ning'pian
百服宁片儿童,bai'fu'ning'pian'er'tong
百扶欣,bai'fu'xin
白附子,bai'fu'zi
白附子免煎,bai'fu'zi'mian'jian
百合,bai'he
百合免煎,bai'he'mian'jian
白喉,bai'hou
白喉带菌者,bai'hou'dai'jun'zhe
白喉毒素末梢神经炎,bai'hou'du'su'mo'shao'shen'jing'yan
白喉毒素心肌炎,bai'hou'du'su'xin'ji'yan
白喉杆菌霍乱弧菌培养,bai'hou'gan'jun'huo'luan'hu'jun'pei'yang
白喉杆菌培养,bai'hou'gan'jun'pei'yang
白喉性多神经炎,bai'hou'xing'duo'shen'jing'yan
白喉性心肌炎,bai'hou'xing'xin'ji'yan
白喉疫苗接种反应,bai'hou'yi'miao'jie'zhong'fan'ying
白化病,bai'hua'bing
白花蛇,bai'hua'she
白花蛇舌草,bai'hua'she'she'cao
白花蛇舌草免煎,bai'hua'she'she'cao'mian'jian
白花蛇舌草注射液,bai'hua'she'she'cao'zhu'she'ye
白芨,bai'ji
白芨粉,bai'ji'fen
白蒺藜,bai'ji'li
白芨免煎,bai'ji'mian'jian
白加分,bai'jia'fen
白加黑感冒片美息伪麻,bai'jia'hei'gan'mao'pian'mei'xi'wei'ma
败浆草,bai'jiang'cao
败浆草免煎,bai'jiang'cao'mian'jian
白降汞粉,bai'jiang'gong'fen
白降汞软膏,bai'jiang'gong'ruan'gao
白介素,bai'jie'su
白介素号,bai'jie'su'hao
白介素受体,bai'jie'su'shou'ti
白介素受体进口试剂,bai'jie'su'shou'ti'jin'kou'shi'ji
白芥子,bai'jie'zi
白芥子免煎,bai'jie'zi'mian'jian
白菊花,bai'ju'hua
百咳静颗粒,bai'ke'jing'ke'li
百科康迪藻酸双酯钠,bai'ke'kang'di'zao'suan'shuang'zhi'na
百咳灵,bai'ke'ling
白可明,bai'ke'ming
白可明眼液,bai'ke'ming'yan'ye
白蔻,bai'kou
百乐君,bai'le'jun
百乐来片,bai'le'lai'pian
百里酚粉,bai'li'fen'fen
百力特,bai'li'te
百令胶囊,bai'ling'jiao'nang
白茅根,bai'mao'gen
白茅根免煎,bai'mao'gen'mian'jian
白毛藤,bai'mao'teng
白毛夏枯草,bai'mao'xia'ku'cao
白毛夏枯草免煎,bai'mao'xia'ku'cao'mian'jian
白霉素片,bai'mei'su'pian
白霉素药物反应,bai'mei'su'yao'wu'fan'ying
白霉素柱晶注射液,bai'mei'su'zhu'jing'zhu'she'ye
百慕大,bai'mu'da
白内停滴眼液吡诺克辛钠,bai'nei'ting'di'yan'ye'bi'nuo'ke'xin'na
白内停眼液,bai'nei'ting'yan'ye
白内障,bai'nei'zhang
白内障超身乳化摘除术,bai'nei'zhang'chao'shen'ru'hua'zhai'chu'shu
白内障超声乳化抽吸术,bai'nei'zhang'chao'sheng'ru'hua'chou'xi'shu
白内障超声乳化摘除术,bai'nei'zhang'chao'sheng'ru'hua'zhai'chu'shu
白内障后路摘晶体切割术,bai'nei'zhang'hou'lu'zhai'jing'ti'qie'ge'shu
白内障截囊吸取术,bai'nei'zhang'jie'nang'xi'qu'shu
白内障晶状体乳化吸出术,bai'nei'zhang'jing'zhuang'ti'ru'hua'xi'chu'shu
白内障类手术,bai'nei'zhang'lei'shou'shu
白内障囊膜切除术,bai'nei'zhang'nang'mo'qie'chu'shu
白内障囊内摘除术,bai'nei'zhang'nang'nei'zhai'chu'shu
白内障囊外摘除人工晶体植入术,bai'nei'zhang'nang'wai'zhai'chu'ren'gong'jing'ti'zhi'ru'shu
白内障囊外摘除术,bai'nei'zhang'nang'wai'zhai'chu'shu
白内障前路摘晶体切割术,bai'nei'zhang'qian'lu'zhai'jing'ti'qie'ge'shu
白内障青光眼联合手术,bai'nei'zhang'qing'guang'yan'lian'he'shou'shu
白内障术后,bai'nei'zhang'shu'hou
白内障套出术单,bai'nei'zhang'tao'chu'shu'dan
白内障线状摘除术,bai'nei'zhang'xian'zhuang'zhai'chu'shu
白内障摘除联合玻璃体切割术,bai'nei'zhang'zhai'chu'lian'he'bo'li'ti'qie'ge'shu
白内障针拔术单,bai'nei'zhang'zhen'ba'shu'dan
白内障针拔吸出术单,bai'nei'zhang'zhen'ba'xi'chu'shu'dan
白内障针吸术,bai'nei'zhang'zhen'xi'shu
白尿,bai'niao
百普素短肽型肠内营养剂,bai'pu'su'duan'tai'xing'chang'nei'ying'yang'ji
百普素粉,bai'pu'su'fen
白奇克长春西汀,bai'qi'ke'chang'chun'xi'ting
白前,bai'qian
白前免煎,bai'qian'mian'jian
白清胃散,bai'qing'wei'san
白求恩医大制药股份有限公司,bai'qiu'en'yi'da'zhi'yao'gu'fen'you'xian'gong'si
白缺乏,bai'que'fa
百日咳,bai'ri'ke
百日咳合并肺炎,bai'ri'ke'he'bing'fei'yan
百赛诺片双环醇,bai'sai'nuo'pian'shuang'huan'chun
白塞氏综合症,bai'sai'shi'zong'he'zheng
白色大口瓶,bai'se'da'kou'ping
白色萎缩,bai'se'wei'suo
白砂糖,bai'sha'tang
白芍炒,bai'shao'chao
白芍炒免煎,bai'shao'chao'mian'jian
白芍免煎,bai'shao'mian'jian
白芍生,bai'shao'sheng
白芍生免煎,bai'shao'sheng'mian'jian
白芍总苷胶囊,bai'shao'zong'gan'jiao'nang
百适安,bai'shi'an
白石膏,bai'shi'gao
白蚀丸,bai'shi'wan
百士欣胶囊乌苯美司,bai'shi'xin'jiao'nang'wu'ben'mei'si
白首乌,bai'shou'wu
拜糖平,bai'tang'ping
拜糖平片阿卡波糖,bai'tang'ping'pian'a'ka'bo'tang
白陶土部分凝血活酶时间,bai'tao'tu'bu'fen'ning'xue'huo'mei'shi'jian
白陶土部分凝血活酶时间手工法,bai'tao'tu'bu'fen'ning'xue'huo'mei'shi'jian'shou'gong'fa
白陶土粉,bai'tao'tu'fen
白头翁,bai'tou'weng
白薇,bai'wei
白薇免煎,bai'wei'mian'jian
百为坦片氯雷他啶,bai'wei'tan'pian'lv'lei'ta'ding
白细胞分类,bai'xi'bao'fen'lei
白细胞计数,bai'xi'bao'ji'shu
白细胞计数加分类,bai'xi'bao'ji'shu'jia'fen'lei
白细胞减少症,bai'xi'bao'jian'shao'zheng
白细胞介素国产试剂,bai'xi'bao'jie'su'guo'chan'shi'ji
白细胞介素进口试剂,bai'xi'bao'jie'su'jin'kou'shi'ji
白细胞碎裂性血管炎,bai'xi'bao'sui'lie'xing'xue'guan'yan
白细胞吞噬试验,bai'xi'bao'tun'shi'shi'yan
白细胞血小板凝集试验,bai'xi'bao'xue'xiao'ban'ning'ji'shi'yan
白细胞血小板消耗试验,bai'xi'bao'xue'xiao'ban'xiao'hao'shi'yan
白细胞增多症,bai'xi'bao'zeng'duo'zheng
白细胞增长仪,bai'xi'bao'zeng'zhang'yi
白夕利,bai'xi'li
白藓皮,bai'xian'pi
白藓皮免煎,bai'xian'pi'mian'jian
白线疝,bai'xian'shan
白消安片,bai'xiao'an'pian
白血宁片,bai'xie'ning'pian
拜心同,bai'xin'tong
拜心通控释片,bai'xin'tong'kong'shi'pian
拜新同硝苯地平控释,bai'xin'tong'xiao'ben'di'ping'kong'shi
白癣,bai'xuan
白血病,bai'xue'bing
白血病放疗,bai'xue'bing'fang'liao
白血病肺浸润,bai'xue'bing'fei'jin'run
白血病睾丸浸润,bai'xue'bing'gao'wan'jin'run
白血病化疗,bai'xue'bing'hua'liao
白血病基因分型,bai'xue'bing'ji'yin'fen'xing
白血病免疫分型,bai'xue'bing'mian'yi'fen'xing
白血病性关节病,bai'xue'bing'xing'guan'jie'bing
白血病样反应,bai'xue'bing'yang'fan'ying
白血病支持疗法,bai'xue'bing'zhi'chi'liao'fa
败血症,bai'xue'zheng
败血症由于注入人奶,bai'xue'zheng'you'yu'zhu'ru'ren'nai
白药,bai'yao
白英,bai'ying
百优解分散片氟西汀,bai'you'jie'fen'san'pian'fu'xi'ting
百忧解胶囊,bai'you'jie'jiao'nang
白芷,bai'zhi
白质灰质性脑病,bai'zhi'hui'zhi'xing'nao'bing
白芷免煎,bai'zhi'mian'jian
白术,bai'zhu
白术炒,bai'zhu'chao
白术炒免煎,bai'zhu'chao'mian'jian
白术免煎,bai'zhu'mian'jian
白术生免煎,bai'zhu'sheng'mian'jian
柏子仁,bai'zi'ren
柏子仁免煎,bai'zi'ren'mian'jian
柏子养心,bai'zi'yang'xin
柏子养心丸,bai'zi'yang'xin'wan
白族,bai'zu
半边莲,ban'bian'lian
班布特罗片,ban'bu'te'luo'pian
半侧颜面萎缩整形术,ban'ce'yan'mian'wei'suo'zheng'xing'shu
板层素国产,ban'ceng'su'guo'chan
板层素进口,ban'ceng'su'jin'kou
半肝或三叶切除,ban'gan'huo'san'ye'qie'chu
半肝切除术,ban'gan'qie'chu'shu
斑根,ban'gen
斑根免煎,ban'gen'mian'jian
办公室,ban'gong'shi
半骨盆离断术,ban'gu'pen'li'duan'shu
半骨盆离断术巨大者,ban'gu'pen'li'duan'shu'ju'da'zhe
半骨盆切除人工半骨盆置换术,ban'gu'pen'qie'chu'ren'gong'ban'gu'pen'zhi'huan'shu
半骨盆切除术,ban'gu'pen'qie'chu'shu
半光氨酸,ban'guang'an'suan
半胱氨酸,ban'guang'an'suan
半胱氨酸颗粒,ban'guang'an'suan'ke'li
半规管瘘,ban'gui'guan'lou
半规管轻瘫,ban'gui'guan'qing'tan
半规管填塞术,ban'gui'guan'tian'sai'shu
瘢痕,ban'hen
瘢痕疙瘩,ban'hen'ge'da
瘢痕疙瘩切除术,ban'hen'ge'da'qie'chu'shu
瘢痕畸形,ban'hen'ji'xing
瘢痕畸形矫正术,ban'hen'ji'xing'jiao'zheng'shu
瘢痕挛缩,ban'hen'luan'suo
瘢痕切除植皮术,ban'hen'qie'chu'zhi'pi'shu
瘢痕松解术,ban'hen'song'jie'shu
瘢痕性倒睫,ban'hen'xing'dao'jie
瘢痕性咽狭窄,ban'hen'xing'yan'xia'zhai
斑痕治疗,ban'hen'zhi'liao
瘢痕组织型胶原免疫组化测定,ban'hen'zu'zhi'xing'jiao'yuan'mian'yi'zu'hua'ce'ding
半喉切除并功能性颈廓清术,ban'hou'qie'chu'bing'gong'neng'xing'jing'kuo'qing'shu
半喉切除术,ban'hou'qie'chu'shu
半惠氏溶液,ban'hui'shi'rong'ye
扳机状指,ban'ji'zhuang'zhi
半腱肌髂胫束,ban'jian'ji'qia'jing'shu
伴开深覆等疑难病加收,ban'kai'shen'fu'deng'yi'nan'bing'jia'shou
板兰根,ban'lan'gen
板蓝根,ban'lan'gen
板兰根冲剂,ban'lan'gen'chong'ji
板蓝根冲剂,ban'lan'gen'chong'ji
板蓝根免煎,ban'lan'gen'mian'jian
板兰根注射液,ban'lan'gen'zhu'she'ye
半流质饮食,ban'liu'zhi'yin'shi
瓣膜穿孔,ban'mo'chuan'kong
瓣膜钙化,ban'mo'gai'hua
瓣膜破裂,ban'mo'po'lie
瓣膜性心脏病,ban'mo'xing'xin'zang'bing
瓣膜置换术后心脏瓣膜衰竭,ban'mo'zhi'huan'shu'hou'xin'zang'ban'mo'shuai'jie
搬迁楼锅炉房,ban'qian'lou'guo'lu'fang
半乳糖血症,ban'ru'tang'xue'zheng
半乳糖棕榈酸,ban'ru'tang'zong'lv'suan
班赛凝胶过氧苯甲酰,ban'sai'ning'jiao'guo'yang'ben'jia'xian
半身水肿,ban'shen'shui'zhong
班替氏综合征,ban'ti'shi'zong'he'zheng
斑贴试验,ban'tie'shi'yan
斑秃,ban'tu
半卧位,ban'wo'wei
半夏法,ban'xia'fa
半下颌骨切除术,ban'xia'he'gu'qie'chu'shu
半夏姜,ban'xia'jiang
瓣修复术,ban'xiu'fu'shu
半牙切除术,ban'ya'qie'chu'shu
半月板,ban'yue'ban
半月板部分切除术,ban'yue'ban'bu'fen'qie'chu'shu
半月板成形术,ban'yue'ban'cheng'xing'shu
半月板肥厚,ban'yue'ban'fei'hou
半月板关节镜下切除术,ban'yue'ban'guan'jie'jing'xia'qie'chu'shu
半月扳切除术,ban'yue'ban'qie'chu'shu
半月板切除术,ban'yue'ban'qie'chu'shu
半月板松弛,ban'yue'ban'song'chi
半月板膝关节镜下部分切除术,ban'yue'ban'xi'guan'jie'jing'xia'bu'fen'qie'chu'shu
半月板膝关节镜下成形术,ban'yue'ban'xi'guan'jie'jing'xia'cheng'xing'shu
半月板修补术,ban'yue'ban'xiu'bu'shu
斑疹伤寒,ban'zhen'shang'han
半枝莲,ban'zhi'lian
半枝莲免煎,ban'zhi'lian'mian'jian
瓣周漏修补术,ban'zhou'lou'xiu'bu'shu
半肘脱复位,ban'zhou'tuo'fu'wei
斑状类银屑病持久性黄色红皮病,ban'zhuang'lei'yin'xie'bing'chi'jiu'xing'huang'se'hong'pi'bing
半椎体切除融合术,ban'zhui'ti'qie'chu'rong'he'shu
帮备片班布特罗,bang'bei'pian'ban'bu'te'luo
邦迪苯扎氯铵贴,bang'di'ben'zha'lv'an'tie
邦力迪维胶囊,bang'li'di'wei'jiao'nang
保安族,bao'an'zu
宝宝出生卡,bao'bao'chu'sheng'ka
包被管,bao'bei'guan
包虫病,bao'chong'bing
包虫病棘球蚴病,bao'chong'bing'ji'qiu'you'bing
保尔佳片,bao'er'jia'pian
保尔佳注射剂,bao'er'jia'zhu'she'ji
胞二磷胆碱注射液,bao'er'lin'dan'jian'zhu'she'ye
胞二磷酸胆硷注射液,bao'er'lin'suan'dan'jian'zhu'she'ye
胞二磷酸胆碱注射液,bao'er'lin'suan'dan'jian'zhu'she'ye
