爱是万缘之根,ai'shi'wan'yuan'zhi'gen
有波恬浪静的风光,you'bo'tian'lang'jing'de'feng'guang
有部真鼓吹,you'bu'zhen'gu'chui
又当混迹风尘,you'dang'hun'ji'feng'chen
有得还有失,you'de'hai'you'shi
有浮云富贵之风,you'fu'yun'fu'gui'zhi'feng
又复重一重名义之念,you'fu'zhong'yi'chong'ming'yi'zhi'nian
犹根拔而草不生,you'gen'ba'er'cao'bu'sheng
又何必标一廉名,you'he'bi'biao'yi'lian'ming
又何必立一让的,you'he'bi'li'yi'rang'de
犹怀畏人之心,you'huai'wei'ren'zhi'xin
犹矜白刃,you'jin'bai'ren
又进而求,you'jin'er'qiu
又来,you'lai
又明明犯着,you'ming'ming'fan'zhe
犹明珠而混以泥沙,you'ming'zhu'er'hun'yi'ni'sha
犹明珠而饰以银黄,you'ming'zhu'er'shi'yi'yin'huang
酉农肥辛甘非真味,you'nong'fei'xin'gan'fei'zhen'wei
有其语则毁来,you'qi'yu'ze'hui'lai
忧勤是美德,you'qin'shi'mei'de
优人傅粉调石朱,you'ren'fu'fen'tiao'shi'zhu
尤人者动念即是戈矛,you'ren'zhe'dong'nian'ji'shi'ge'mao
有事便思有粗浮意气否,you'shi'bian'si'you'cu'fu'yi'qi'fou
有事常如无事时,you'shi'chang'ru'wu'shi'shi
又属后来谁,you'shu'hou'lai'shui
又思既死之后有何景色,you'si'ji'si'zhi'hou'you'he'jing'se
忧为更甚,you'wei'geng'shen
有我,you'wo
有悟还有迷,you'wu'hai'you'mi
又要善摆脱,you'yao'shan'bai'tuo
又要有段潇洒的趣味,you'yao'you'duan'xiao'sa'de'qu'wei
有一好光景,you'yi'hao'guang'jing
有一乐境界,you'yi'le'jing'jie
又于此中得大惭忸,you'yu'ci'zhong'dei'da'can'niu
有鸢飞鱼跃的景象,you'yuan'fei'yu'yue'de'jing'xiang
有曰识不早力不易者,you'yue'shi'bu'zao'li'bu'yi'zhe
有曰识得破忍不过者,you'yue'shi'de'po'ren'bu'guo'zhe
又云,you'yun
犹知自悔,you'zhi'zi'hui
犹知自愧,you'zhi'zi'kui
鹬蚌相持,yu'bang'xiang'chi
遇暴戾的人,yu'bao'li'de'ren
于残经败纸中拾得菜根谭一录,yu'can'jing'bai'zhi'zhong'shi'de'cai'gen'tan'yi'lu
遇沉沉不语之士,yu'chen'chen'bu'yu'zhi'shi
预从静里密操持,yu'cong'jing'li'mi'cao'chi
遇大事矜持者,yu'da'shi'jin'chi'zhe
语淡泊而欣者,yu'dan'bo'er'xin'zhe
余过古刹,yu'guo'gu'cha
驭横者先驭其气,yu'heng'zhe'xian'yu'qi'qi
欲临死而无贪恋,yu'lin'si'er'wu'tan'lian
欲路上事,yu'lu'shang'shi
遇忙处会偷闲,yu'mang'chu'hui'tou'xian
欲乃散志之媒,yu'nai'san'zhi'zhi'mei
遇朋友交游之失,yu'peng'you'jiao'you'zhi'shi
与其巧持于后,yu'qi'qiao'chi'yu'hou
与其易疏于终,yu'qi'yi'shu'yu'zhong
遇欺诈的人,yu'qi'zha'de'ren
于前,yu'qian
遇倾邪私曲的人,yu'qing'xie'si'qu'de'ren
遇缺处知足,yu'que'chu'zhi'zu
於人不可轻为喜怒,yu'ren'bu'ke'qing'wei'xi'nu
与人不可太分明,yu'ren'bu'ke'tai'fen'ming
与人不要感德,yu'ren'bu'yao'gan'de
遇人痴迷处,yu'ren'chi'mi'chu
与人行,yu'ren'hang
遇人急难处,yu'ren'ji'nan'chu
与人者,yu'ren'zhe
御事而留有余,yu'shi'er'liu'you'yu
遇事而为人除害,yu'shi'er'wei'ren'chu'hai
御事者,yu'shi'zhe
遇事只一味镇定从容,yu'shi'zhi'yi'wei'zhen'ding'cong'rong
鱼网之设,yu'wang'zhi'she
於物,yu'wu
于小人也,yu'xiao'ren'ye
语言方觉有味,yu'yan'fang'jue'you'wei
御以平气,yu'yi'ping'qi
欲遇变而无仓忙,yu'yu'bian'er'wu'cang'mang
语云,yu'yun
玉韫珠藏,yu'yun'zhu'cang
欲之公处即为理,yu'zhi'gong'chu'ji'wei'li
于之威命即寓于人,yu'zhi'wei'ming'ji'yu'yu'ren
宇宙内事要力担当,yu'zhou'nei'shi'yao'li'dan'dang
欲做精金美玉的人品,yu'zuo'jing'jin'mei'yu'de'ren'pin
乐境成悲地,yue'jing'cheng'bei'di
月下之,yue'xia'zhi
跃冶之金终归型范,yue'ye'zhi'jin'zhong'gui'xing'fan
云深松老,yun'shen'song'lao
再观山中闲木,zai'guan'shan'zhong'xian'mu
在世出世,zai'shi'chu'shi
簪缨之士,zan'ying'zhi'shi
凿池明月入,zao'chi'ming'yue'ru
造花唤作小儿,zao'hua'huan'zuo'xiao'er
造化氤氲,zao'hua'yin'yun
糟糠不为彘肥,zao'kang'bu'wei'zhi'fei
造无作有,zao'wu'zuo'you
则保生之道不必过劳,ze'bao'sheng'zhi'dao'bu'bi'guo'lao
则操纵在我,ze'cao'zong'zai'wo
则精神自奋,ze'jing'shen'zi'fen
则绝为善之路,ze'jue'wei'shan'zhi'lu
则开,ze'kai
则可以提防不测之事变,ze'ke'yi'di'fang'bu'ce'zhi'shi'bian
则可以维系无厌之人心,ze'ke'yi'wei'xi'wu'yan'zhi'ren'xin
则利心反淡,ze'li'xin'fan'dan
则利欲之心自淡,ze'li'yu'zhi'xin'zi'dan
则眇然自小,ze'miao'ran'zi'xiao
则男女之见尽绝,ze'nan'nv'zhi'jian'jin'jue
则浓淡之境都消,ze'nong'dan'zhi'jing'dou'xiao
则怒气自平,ze'nu'qi'zi'ping
则平日所记忆者皆漫然忘去,ze'ping'ri'suo'ji'yi'zhe'jie'man'ran'wang'qu
则愆尤骈集,ze'qian'you'pian'ji
则愆尤自少,ze'qian'you'zi'shao
则求成之心不必太坚,ze'qiu'cheng'zhi'xin'bu'bi'tai'jian
则趣味,ze'qu'wei
则权且之念自轻,ze'quan'qie'zhi'nian'zi'qing
则人不亲,ze'ren'bu'qin
则身心交损,ze'shen'xin'jiao'sun
则身心交益,ze'shen'xin'jiao'yi
则夙昔所遗忘者又恍尔,ze'su'xi'suo'yi'wang'zhe'you'huang'er
则贪恋自轻,ze'tan'lian'zi'qing
则天下自无可恶之人,ze'tian'xia'zi'wu'ke'wu'zhi'ren
则天下自无可厌之事,ze'tian'xia'zi'wu'ke'yan'zhi'shi
则万理皆备而其心常实,ze'wan'li'jie'bei'er'qi'xin'chang'shi
则万念灰冷,ze'wan'nian'hui'leng
则万有皆空而其心常虚,ze'wan'you'jie'kong'er'qi'xin'chang'xu
则巍乎莫及,ze'wei'hu'mo'ji
则无,ze'wu
则物不契,ze'wu'bu'qi
则无经世之事业,ze'wu'jing'shi'zhi'shi'ye
则心腹肝胆皆为人所窥,ze'xin'fu'gan'dan'jie'wei'ren'suo'kui
则性定而动无不正,ze'xing'ding'er'dong'wu'bu'zheng
则意气精神悉为物所制,ze'yi'qi'jing'shen'xi'wei'wu'suo'zhi
则一切好物都咬破矣,ze'yi'qie'hao'wu'dou'yao'po'yi
则怨尤自息,ze'yuan'you'zi'xi
则怨尤自消,ze'yuan'you'zi'xiao
则訾议丛兴,ze'zi'yi'cong'xing
贼便,zei'bian
怎似寒微之颂德,zen'si'han'wei'zhi'song'de
怎似莺花能避俗,zen'si'ying'hua'neng'bi'su
诈善之门,zha'shan'zhi'men
斩绝萌芽,zhan'jue'meng'ya
招和平,zhao'he'ping
着不得一毫感激的念头,zhe'bu'de'yi'hao'gan'ji'de'nian'tou
哲士须防绵里之针,zhe'shi'xu'fang'mian'li'zhi'zhen
者一任天机,zhe'yi'ren'tian'ji
镇定方可以消,zhen'ding'fang'ke'yi'xiao
镇定之操,zhen'ding'zhi'cao
贞妇白头失守,zhen'fu'bai'tou'shi'shou
真空不空,zhen'kong'bu'kong
真廉无廉名,zhen'lian'wu'lian'ming
真名言也,zhen'ming'yan'ye
真破的之言也,zhen'po'de'zhi'yan'ye
真确实之论也,zhen'que'shi'zhi'lun'ye
真士无心邀福,zhen'shi'wu'xin'yao'fu
真天地,zhen'tian'di
真味只是淡,zhen'wei'zhi'shi'dan
真宰已,zhen'zai'yi
争长兢短,zheng'chang'jing'duan
争先的径路窄,zheng'xian'de'jing'lu'zhai
争战之场,zheng'zhan'zhi'chang
直不过矫,zhi'bu'guo'jiao
之才智,zhi'cai'zhi
芝草无根醴无源,zhi'cao'wu'gen'li'wu'yuan
之尘氛未扫,zhi'chen'fen'wei'sao
知成之必败,zhi'cheng'zhi'bi'bai
知此者如何不悲,zhi'ci'zhe'ru'he'bu'bei
直从灭处观究竟,zhi'cong'mie'chu'guan'jiu'jing
直从起处究由来,zhi'cong'qi'chu'jiu'you'lai
知得是谁,zhi'de'shi'shui
至焚人,zhi'fen'ren
之悔,zhi'hui
之见,zhi'jian
植节而欲标异,zhi'jie'er'yu'biao'yi
直节之为真,zhi'jie'zhi'wei'zhen
之九霄之凤,zhi'jiu'xiao'zhi'feng
值利害得失之会,zhi'li'hai'de'shi'zhi'hui
之门,zhi'men
智巧,zhi'qiao
至人常逊美而公善,zhi'ren'chang'xun'mei'er'gong'shan
至人只是常,zhi'ren'zhi'shi'chang
之身,zhi'shen
知身不是我,zhi'shen'bu'shi'wo
知生之必死,zhi'sheng'zhi'bi'si
只是,zhi'shi
只是本然,zhi'shi'ben'ran
志士当勇奋翼,zhi'shi'dang'yong'fen'yi
只是恰好,zhi'shi'qia'hao
只是寻常家饭素位风光,zhi'shi'xun'chang'jia'fan'su'wei'feng'guang
只是欲闭情封,zhi'shi'yu'bi'qing'feng
只是元,zhi'shi'yuan
只是主人公惺惺不昧,zhi'shi'zhu'ren'gong'xing'xing'bu'mei
之思,zhi'si
知弹有弦琴,zhi'tan'you'xian'qin
执相非真,zhi'xiang'fei'zhen
智小者不可以谋大,zhi'xiao'zhe'bu'ke'yi'mou'da
之厌,zhi'yan
只要把柄在手,zhi'yao'ba'bing'zai'shou
志壹动气,zhi'yi'dong'qi
只一个庸德庸行,zhi'yi'ge'yong'de'yong'xing
只一优游不振,zhi'yi'you'you'bu'zhen
知有生之乐,zhi'you'sheng'zhi'le
知忧喜无由上眉,zhi'you'xi'wu'you'shang'mei
之源,zhi'yuan
只在碗茗炉烟,zhi'zai'wan'ming'lu'yan
旨哉言乎,zhi'zai'yan'hu
只在一念慈祥,zhi'zai'yi'nian'ci'xiang
只在一转念间耳,zhi'zai'yi'zhuan'nian'jian'er
执之则渣滓未化,zhi'zhi'ze'zha'zi'wei'hua
只字,zhi'zi
知足者藜羹旨于膏梁,zhi'zu'zhe'li'geng'zhi'yu'gao'liang
知足者身贫而心富,zhi'zu'zhe'shen'pin'er'xin'fu
知足者仙境,zhi'zu'zhe'xian'jing
终傲,zhong'ao
终当就绪,zhong'dang'jiu'xu
终钓水,zhong'diao'shui
钟鼓体虚,zhong'gu'ti'xu
重加校雠,zhong'jia'jiao'chou
中能取静,zhong'neng'qu'jing
众人以拂意为忧,zhong'ren'yi'fu'yi'wei'you
众人以顺境为乐,zhong'ren'yi'shun'jing'wei'le
终身,zhong'shen
终身检饬,zhong'shen'jian'chi
终为血气之私技,zhong'wei'xue'qi'zhi'si'ji
终无远大之识,zhong'wu'yuan'da'zhi'shi
终享千载之令名,zhong'xiang'qian'zai'zhi'ling'ming
终以势利自毙,zhong'yi'shi'li'zi'bi
种种是常,zhong'zhong'shi'chang
周身皆针砭药石,zhou'shen'jie'zhen'bian'yao'shi
昼闲人寂,zhou'xian'ren'ji
著个穷通,zhu'ge'qiong'tong
竹坚雅操,zhu'jian'ya'cao
著是书者为洪应明,zhu'shi'shu'zhe'wei'hong'ying'ming
逐兽而不见泰山在前,zhu'shou'er'bu'jian'tai'shan'zai'qian
竹叶杯中吟风弄月,zhu'ye'bei'zhong'yin'feng'nong'yue
转嗤鹤垒高危,zhuan'chi'he'lei'gao'wei
转祸为福起死回生的关头,zhuan'huo'wei'fu'qi'si'hui'sheng'de'guan'tou
壮士之肝肠自冷,zhuang'shi'zhi'gan'chang'zi'leng
拙而忌人之能,zhuo'er'ji'ren'zhi'neng
着手,zhuo'shou
自暗室屋漏中培来,zi'an'shi'wu'lou'zhong'pei'lai
自化,zi'hua
自经纶万变而不动一,zi'jing'lun'wan'bian'er'bu'dong'yi
自可超物处而游象先,zi'ke'chao'wu'chu'er'you'xiang'xian
自培植许多生意,zi'pei'zhi'xu'duo'sheng'yi
自然临小事如临大敌,zi'ran'lin'xiao'shi'ru'lin'da'di
自是舒徐,zi'shi'shu'xu
滋味浓的减三分,zi'wei'nong'de'jian'san'fen
自息,zi'xi
总不如自得之休休,zong'bu'ru'zi'de'zhi'xiu'xiu
总不如自悟之了了,zong'bu'ru'zi'wu'zhi'liao'liao
总不若寻常历履易简,zong'bu'ruo'xun'chang'li'lv'yi'jian
总出世上因,zong'chu'shi'shang'yin
总非当机作用,zong'fei'dang'ji'zuo'yong
纵纷若乱丝,zong'fen'ruo'luan'si
踪迹虽隐还显,zong'ji'sui'yin'hai'xian
纵家徒四壁,zong'jia'tu'si'bi
总是播弄,zong'shi'bo'nong
总是传心之诀,zong'shi'chuan'xin'zhi'jue
总是耽,zong'shi'dan
总是吾性真如,zong'shi'wu'xing'zhen'ru
纵寿亦为夭,zong'shou'yi'wei'yao
纵似挥霍,zong'si'hui'huo
纵演偈淡禅,zong'yan'ji'dan'chan
纵之或,zong'zhi'huo
纵做到极处,zong'zuo'dao'ji'chu
足丧生平之善,zu'sang'sheng'ping'zhi'shan
最淡亦最长,zui'dan'yi'zui'chang
最难拔除者也,zui'nan'ba'chu'zhe'ye
最要严出入,zui'yao'yan'chu'ru
最易夹带,zui'yi'jia'dai
最足以悦人心目而豁人性灵,zui'zu'yi'yue'ren'xin'mu'er'huo'ren'xing'ling
樽垒边幕天席地,zun'lei'bian'mu'tian'xi'di
坐老清溪碧嶂,zuo'lao'qing'xi'bi'zhang
坐林中锦绣团衤因,zuo'lin'zhong'jin'xiu'tuan'yi'yin
坐密室若坐通衢,zuo'mi'shi'ruo'zuo'tong'qu
作人无甚高远的事业,zuo'ren'wu'shen'gao'yuan'de'shi'ye
作人无一点真恳的念头,zuo'ren'wu'yi'dian'zhen'ken'de'nian'tou
作人要脱俗,zuo'ren'yao'tuo'su
作人只是一味率真,zuo'ren'zhi'shi'yi'wei'shuai'zhen
昨日之非不可留,zuo'ri'zhi'fei'bu'ke'liu
作息自如,zuo'xi'zi'ru
坐中物物见天心,zuo'zhong'wu'wu'jian'tian'xin
