啊被你,a'bei'ni
烟台路,yan'tai'lu
烟台人,yan'tai'ren
燕翔路,yan'xiang'lu
燕子山,yan'zi'shan
燕子山路,yan'zi'shan'lu
燕子山西路,yan'zi'shan'xi'lu
燕子山小区,yan'zi'shan'xiao'qu
燕子山庄,yan'zi'shan'zhuang
阳谷,yang'gu
阳光大姐,yang'guang'da'jie
阳光舜城,yang'guang'shun'cheng
阳光新路,yang'guang'xin'lu
阳光一百,yang'guang'yi'bai
杨胡,yang'hu
洋火,yang'huo
杨鲁豫,yang'lu'yu
羊头峪,yang'tou'yu
姚家,yao'jia
姚家小区,yao'jia'xiao'qu
姚家庄,yao'jia'zhuang
要来济南,yao'lai'ji'nan
遥墙,yao'qiang
遥墙机场,yao'qiang'ji'chang
遥墙镇,yao'qiang'zhen
药山,yao'shan
要睡觉吧,yao'shui'jiao'ba
窑头,yao'tou
窑头路,yao'tou'lu
窑头小区,yao'tou'xiao'qu
药王楼,yao'wang'lou
药乡,yao'xiang
要休息吧,yao'xiu'xi'ba
也白搭,ye'bai'da
也白发,ye'bai'fa
也不大行,ye'bu'da'xing
也不孬,ye'bu'nao
也不轻快,ye'bu'qing'kuai
夜潮,ye'chao
耶嗨,ye'hai
也没大,ye'mei'da
也没么,ye'mei'me
也休班,ye'xiu'ban
也在济南,ye'zai'ji'nan
也早休息,ye'zao'xiu'xi
夜值,ye'zhi
也知不道,ye'zhi'bu'dao
业主电话,ye'zhu'dian'hua
也揍,ye'zou
一般情况吧,yi'ban'qing'kuang'ba
医保办,yi'bao'ban
乙草胺,yi'cao'an
逸城,yi'cheng
逸城山色,yi'cheng'shan'se
移动登陆,yi'dong'deng'lu
逸东花园,yi'dong'hua'yuan
移动全时通,yi'dong'quan'shi'tong
逸都国际,yi'dou'guo'ji
益高,yi'gao
义和庄,yi'he'zhuang
一会半会,yi'hui'ban'hui
一会可,yi'hui'ke
一建新村,yi'jian'xin'cun
已经租出去了,yi'jing'zu'chu'qu'le
医科院,yi'ke'yuan
一块吃个饭,yi'kuai'chi'ge'fan
一块给你,yi'kuai'gei'ni
一块玩玩,yi'kuai'wan'wan
一忙活,yi'mang'huo
一蒙一蒙,yi'meng'yi'meng
一起作业,yi'qi'zuo'ye
已取,yi'qu
一霎,yi'sha
依山新居,yi'shan'xin'ju
益寿路,yi'shou'lu
易通,yi'tong
亿维,yi'wei
怡心苑,yi'xin'yuan
一休班,yi'xiu'ban
一样钱,yi'yang'qian
沂源,yi'yuan
沂源县,yi'yuan'xian
颐正大厦,yi'zheng'da'sha
一直在济南,yi'zhi'zai'ji'nan
一职专,yi'zhi'zhuan
一最,yi'zui
殷陈,yin'chen
银丰,yin'feng
银丰花园,yin'feng'hua'yuan
银丰山庄,yin'feng'shan'zhuang
银丰唐郡,yin'feng'tang'jun
银广,yin'guang
银荷,yin'he
银荷大厦,yin'he'da'sha
饮虎池,yin'hu'chi
饮乐多,yin'le'duo
银座,yin'zuo
银座吧,yin'zuo'ba
银座超市,yin'zuo'chao'shi
银座的,yin'zuo'de
银座歌唱家,yin'zuo'ge'chang'jia
银座花园,yin'zuo'hua'yuan
银座家居,yin'zuo'jia'ju
银座佳驿,yin'zuo'jia'yi
银座健身,yin'zuo'jian'shen
银座了,yin'zuo'le
银座呢,yin'zuo'ne
银座商城,yin'zuo'shang'cheng
银座网,yin'zuo'wang
银座新天地,yin'zuo'xin'tian'di
银座中心,yin'zuo'zhong'xin
婴贝儿,ying'bei'er
英才的,ying'cai'de
英才学院,ying'cai'xue'yuan
营东,ying'dong
硬度计,ying'du'ji
荧光湖,ying'guang'hu
影山,ying'shan
营市,ying'shi
营市东街,ying'shi'dong'jie
营市街,ying'shi'jie
影视墙,ying'shi'qiang
营市西街,ying'shi'xi'jie
英雄钱,ying'xiong'qian
英雄山,ying'xiong'shan
英雄山路,ying'xiong'shan'lu
英雄煮,ying'xiong'zhu
颖秀路,ying'xiu'lu
用就行,yong'jiu'xing
有地下室,you'di'xia'shi
邮电新村,you'dian'xin'cun
幼儿师范,you'er'shi'fan
有房产证,you'fang'chan'zheng
有个税,you'ge'shui
有济南,you'ji'nan
有济南的,you'ji'nan'de
又俊了,you'jun'le
有空可,you'kong'ke
有空来济南,you'kong'lai'ji'nan
有么关系,you'me'guan'xi
有么说么,you'me'shuo'me
有么用,you'me'yong
有你么事,you'ni'me'shi
优品汇,you'pin'hui
有钱烧的,you'qian'shao'de
有请客的,you'qing'ke'de
优生四项,you'sheng'si'xiang
有特服,you'te'fu
有休班,you'xiu'ban
油璇,you'xuan
有一说一,you'yi'shuo'yi
友谊苑,you'yi'yuan
友谊苑小区,you'yi'yuan'xiao'qu
有证可贷款,you'zheng'ke'dai'kuan
有租客,you'zu'ke
禹城,yu'cheng
禹城市,yu'cheng'shi
鱼翅皇宫,yu'chi'huang'gong
雨滴广场,yu'di'guang'chang
玉函,yu'han
玉函店,yu'han'dian
玉函路,yu'han'lu
玉函南区,yu'han'nan'qu
玉函小区,yu'han'xiao'qu
玉函银座,yu'han'yin'zuo
玉皇顶,yu'huang'ding
玉皇庙,yu'huang'miao
宇佳,yu'jia
御景城,yu'jing'cheng
鱼酷,yu'ku
郁磨,yu'mo
于倩倩,yu'qian'qian
玉泉森信,yu'quan'sen'xin
娱人码头,yu'ren'ma'tou
鱼台,yu'tai
育英中学,yu'ying'zhong'xue
裕园小区,yu'yuan'xiao'qu
愿吃,yuan'chi
原房,yuan'fang
愿看,yuan'kan
愿来,yuan'lai
原来的时候,yuan'lai'de'shi'hou
原粮粗菜,yuan'liang'cu'cai
愿去,yuan'qu
圆缘园,yuan'yuan'yuan
约点,yue'dian
悦园,yue'yuan
郓城,yun'cheng
郓城县,yun'cheng'xian
云空间,yun'kong'jian
砸点,za'dian
咋治,za'zhi
杂志啊,za'zhi'a
在奥体,zai'ao'ti
在吧在吧,zai'ba'zai'ba
在北园,zai'bei'yuan
在滨州,zai'bin'zhou
在长清,zai'chang'qing
在大观园,zai'da'guan'yuan
在大明湖,zai'da'ming'hu
在德州,zai'de'zhou
在东边,zai'dong'bian
在肥城,zai'fei'cheng
在芙蓉街,zai'fu'rong'jie
在高新区,zai'gao'xin'qu
在郭店,zai'guo'dian
在和谐,zai'he'xie
在恒隆,zai'heng'long
在洪家楼,zai'hong'jia'lou
在洪楼,zai'hong'lou
在济钢,zai'ji'gang
在济南,zai'ji'nan
在济南啊,zai'ji'nan'a
在济南吧,zai'ji'nan'ba
在济南大学,zai'ji'nan'da'xue
在济南的,zai'ji'nan'de
在济南工作,zai'ji'nan'gong'zuo
在济南了,zai'ji'nan'le
在济南吗,zai'ji'nan'ma
在济南么,zai'ji'nan'me
在济南那,zai'ji'nan'na
在济南呢,zai'ji'nan'ne
在济南上班,zai'ji'nan'shang'ban
在济南上学,zai'ji'nan'shang'xue
在济宁,zai'ji'ning
在济阳,zai'ji'yang
在家来嘛,zai'jia'lai'ma
在家走,zai'jia'zou
再见不联系,zai'jian'bu'lian'xi
在经十路,zai'jing'shi'lu
再来济南,zai'lai'ji'nan
在莱芜,zai'lai'wu
在历下,zai'li'xia
在聊城,zai'liao'cheng
在洛口,zai'luo'kou
在明水,zai'ming'shui
在哪里来,zai'na'li'lai
在平阴,zai'ping'yin
在齐河,zai'qi'he
在齐鲁,zai'qi'lu
在千佛山,zai'qian'fo'shan
在泉城,zai'quan'cheng
在泉城广场,zai'quan'cheng'guang'chang
在泉城路,zai'quan'cheng'lu
在山大,zai'shan'da
在山大路,zai'shan'da'lu
在山师,zai'shan'shi
在商河,zai'shang'he
在商业街,zai'shang'ye'jie
在省体,zai'sheng'ti
在泰安,zai'tai'an
在五院,zai'wu'yuan
在西客站,zai'xi'ke'zhan
在西市场,zai'xi'shi'chang
在休班,zai'xiu'ban
在燕山,zai'yan'shan
在一块来,zai'yi'kuai'lai
再一再二不再三,zai'yi'zai'er'bu'zai'san
在银座,zai'yin'zuo
在枣庄,zai'zao'zhuang
在站牌,zai'zhan'pai
在章丘,zai'zhang'qiu
在重汽,zai'zhong'qi
在淄博,zai'zi'bo
咱班里,zan'ban'li
咱店里,zan'dian'li
咱爹妈,zan'die'ma
咱济南,zan'ji'nan
咱姐姐,zan'jie'jie
咱那里,zan'na'li
臧家屯,zang'jia'tun
早干么,zao'gan'me
早回家吧,zao'hui'jia'ba
早回来吧,zao'hui'lai'ba
早回去吧,zao'hui'qu'ba
枣科,zao'ke
枣矿,zao'kuang
早起一会,zao'qi'yi'hui
早去吧,zao'qu'ba
早睡吧,zao'shui'ba
早睡哈,zao'shui'ha
早睡觉吧,zao'shui'jiao'ba
早歇着,zao'xie'zhe
早休息,zao'xiu'xi
早休息吧,zao'xiu'xi'ba
枣庄,zao'zhuang
枣庄的,zao'zhuang'de
枣庄了,zao'zhuang'le
枣庄西,zao'zhuang'xi
枣庄学院,zao'zhuang'xue'yuan
早走吧,zao'zou'ba
早走一会,zao'zou'yi'hui
怎么个景,zen'me'ge'jing
怎么个情况啊,zen'me'ge'qing'kuang'a
怎么光,zen'me'guang
怎么这个点,zen'me'zhe'ge'dian
怎么之,zen'me'zhi
怎么治了,zen'me'zhi'le
赠款,zeng'kuan
咋呼,zha'hu
炸里脊,zha'li'ji
站操,zhan'cao
沾化,zhan'hua
沾化县,zhan'hua'xian
展家,zhan'jia
站长工具,zhan'zhang'gong'ju
战争贩子,zhan'zheng'fan'zi
粘粥,zhan'zhou
涨包,zhang'bao
长病了,zhang'bing'le
张传伟,zhang'chuan'wei
张而,zhang'er
张马屯,zhang'ma'tun
涨钱了,zhang'qian'le
章丘,zhang'qiu
章丘吧,zhang'qiu'ba
章丘大葱,zhang'qiu'da'cong
章丘大学城,zhang'qiu'da'xue'cheng
章丘的,zhang'qiu'de
章丘了,zhang'qiu'le
章丘论坛,zhang'qiu'lun'tan
章丘吗,zhang'qiu'ma
章丘呢,zhang'qiu'ne
章丘人,zhang'qiu'ren
章丘人论坛,zhang'qiu'ren'lun'tan
章丘市,zhang'qiu'shi
章丘四,zhang'qiu'si
章丘四中,zhang'qiu'si'zhong
章丘天气,zhang'qiu'tian'qi
章丘五中,zhang'qiu'wu'zhong
章丘中学,zhang'qiu'zhong'xue
张雯雯,zhang'wen'wen
张夏镇,zhang'xia'zhen
仗义吧,zhang'yi'ba
张庄,zhang'zhuang
张庄路,zhang'zhuang'lu
找茶,zhao'cha
找对象了吗,zhao'dui'xiang'le'ma
着急卖,zhao'ji'mai
赵家庄,zhao'jia'zhuang
招金银楼,zhao'jin'yin'lou
找就行,zhao'jiu'xing
赵奎元,zhao'kui'yuan
赵明剑,zhao'ming'jian
找男朋友了吗,zhao'nan'peng'you'le'ma
找我干么,zhao'wo'gan'me
找媳妇了,zhao'xi'fu'le
找小妮,zhao'xiao'ni
这不就说,zhe'bu'jiu'shuo
这不就说嘛,zhe'bu'jiu'shuo'ma
这不说,zhe'bu'shuo
这不说嘛,zhe'bu'shuo'ma
这不说么,zhe'bu'shuo'me
这不说呢,zhe'bu'shuo'ne
这个点的,zhe'ge'dian'de
这个死孩子,zhe'ge'si'hai'zi
这个天儿,zhe'ge'tian'er
这乎,zhe'hu
这就出门,zhe'jiu'chu'men
这就快,zhe'jiu'kuai
这么沉,zhe'me'chen
着么急,zhe'me'ji
这么俊,zhe'me'jun
这么滋,zhe'me'zi
这是么,zhe'shi'me
这是神魔,zhe'shi'shen'mo
这是怎么个情况,zhe'shi'zen'me'ge'qing'kuang
这小妮,zhe'xiao'ni
这些人们,zhe'xie'ren'men
这熊样,zhe'xiong'yang
这样就挺好,zhe'yang'jiu'ting'hao
这一级,zhe'yi'ji
这有么,zhe'you'me
真败了,zhen'bai'le
真不孬,zhen'bu'nao
真不愿,zhen'bu'yuan
真场面,zhen'chang'mian
真愁死了,zhen'chou'si'le
真滴蛮,zhen'di'man
真烦了,zhen'fan'le
真烦人啊,zhen'fan'ren'a
真服气,zhen'fu'qi
真服气了,zhen'fu'qi'le
真改了,zhen'gai'le
震哥,zhen'ge
震个铃,zhen'ge'ling
真够了,zhen'gou'le
真看出,zhen'kan'chu
真没数,zhen'mei'shu
真如意,zhen'ru'yi
真事啊,zhen'shi'a
真喜人,zhen'xi'ren
振兴街,zhen'xing'jie
真有一套,zhen'you'yi'tao
真滋儿,zhen'zi'er
真揍你,zhen'zou'ni
正常首付,zheng'chang'shou'fu
正大城市花园,zheng'da'cheng'shi'hua'yuan
政法学院,zheng'fa'xue'yuan
正丰路,zheng'feng'lu
证过,zheng'guo
证过五年,zheng'guo'wu'nian
正觉寺,zheng'jue'si
郑路,zheng'lu
郑路镇,zheng'lu'zhen
郑铮,zheng'zheng
植保会,zhi'bao'hui
指标生,zhi'biao'sheng
知不道啊,zhi'bu'dao'a
治不了了,zhi'bu'liao'le
值当的,zhi'dang'de
值当的吗,zhi'dang'de'ma
芝罘,zhi'fu
制革街,zhi'ge'jie
至济南,zhi'ji'nan
制锦市,zhi'jin'shi
之了,zhi'le
芝麻香,zhi'ma'xiang
芝麻盐,zhi'ma'yan
直说就行,zhi'shuo'jiu'xing
知袜郎,zhi'wa'lang
吱歪,zhi'wai
知新,zhi'xin
知新楼,zhi'xin'lou
之韵,zhi'yun
仲宫,zhong'gong
中公教育,zhong'gong'jiao'yu
仲宫镇,zhong'gong'zhen
中国重汽,zhong'guo'zhong'qi
中海国际,zhong'hai'guo'ji
中海国际社区,zhong'hai'guo'ji'she'qu
中海紫御东郡,zhong'hai'zi'yu'dong'jun
中恒,zhong'heng
中惠泽,zhong'hui'ze
中建八局,zhong'jian'ba'ju
中建文化城,zhong'jian'wen'hua'cheng
中联花园,zhong'lian'hua'yuan
中鲁,zhong'lu
肿么个情况,zhong'me'ge'qing'kuang
重汽,zhong'qi
重汽彩世界,zhong'qi'cai'shi'jie
重汽翡翠郡,zhong'qi'fei'cui'jun
重汽技术中心,zhong'qi'ji'shu'zhong'xin
中齐未来城,zhong'qi'wei'lai'cheng
仲秋,zhong'qiu
中润世纪城,zhong'run'shi'ji'cheng
中润世纪广场,zhong'run'shi'ji'guang'chang
中天门,zhong'tian'men
中铁十局,zhong'tie'shi'ju
中午头,zhong'wu'tou
中心校区,zhong'xin'xiao'qu
中医药的,zhong'yi'yao'de
周村烧饼,zhou'cun'shao'bing
周海滨,zhou'hai'bin
肘子骨,zhou'zi'gu
珠宝城,zhu'bao'cheng
住不开,zhu'bu'kai
祝甸,zhu'dian
朱家峪,zhu'jia'yu
祝舜路,zhu'shun'lu
抓紧的,zhua'jin'de
抓紧定,zhua'jin'ding
抓紧给我,zhua'jin'gei'wo
抓紧回家,zhua'jin'hui'jia
抓紧回来,zhua'jin'hui'lai
抓紧回去,zhua'jin'hui'qu
抓紧来,zhua'jin'lai
抓紧睡,zhua'jin'shui
抓紧睡吧,zhua'jin'shui'ba
抓紧睡觉,zhua'jin'shui'jiao
抓紧睡觉吧,zhua'jin'shui'jiao'ba
抓紧说,zhua'jin'shuo
抓紧走,zhua'jin'zou
转山,zhuan'shan
转山西路,zhuan'shan'xi'lu
装具,zhuang'ju
庄寨,zhuang'zhai
卓瑞,zhuo'rui
滋吧,zi'ba
淄博,zi'bo
淄博的,zi'bo'de
淄博了,zi'bo'le
淄博人,zi'bo'ren
自动登陆,zi'dong'deng'lu
滋儿,zi'er
资格线,zi'ge'xian
姊妹儿,zi'mei'er
姊妹妹,zi'mei'mei
姊们,zi'men
紫薇阁,zi'wei'ge
自习室里,zi'xi'shi'li
紫霞门,zi'xia'men
咨询院,zi'xun'yuan
总结已发送,zong'jie'yi'fa'song
揍不着,zou'bu'zhao
邹城,zou'cheng
走就行,zou'jiu'xing
邹平,zou'ping
邹平故事,zou'ping'gu'shi
揍啥了,zou'sha'le
揍死我,zou'si'wo
租啥,zu'sha
组啥了,zu'sha'le
租着呢,zu'zhe'ne
钻石钱柜,zuan'shi'qian'gui
罪恶之城,zui'e'zhi'cheng
最近挺好吧,zui'jin'ting'hao'ba
最俊,zui'jun
最头上,zui'tou'shang
做不着,zuo'bu'zhao
做好好,zuo'hao'hao
做同位,zuo'tong'wei
