艾昂尼尔锡青铜,ai'ang'ni'er'xi'qing'tong
布莱恩比表面积测定法,bu'lai'en'bi'biao'mian'ji'ce'ding'fa
布莱尔带钢公司,bu'lai'er'dai'gang'gong'si
布莱姆切边模,bu'lai'mu'qie'bian'mo
布赖特雷耐热镍铬合金,bu'lai'te'lei'nai're'nie'ge'he'jin
布兰特易熔合金,bu'lan'te'yi'rong'he'jin
布朗定律,bu'lang'ding'lv
布朗管示波器,bu'lang'guan'shi'bo'qi
布朗宁棱镜,bu'lang'ning'leng'jing
布朗沙普线规,bu'lang'sha'pu'xian'gui
布朗式旋转布料器,bu'lang'shi'xuan'zhuan'bu'liao'qi
布朗试验,bu'lang'shi'yan
布朗斯登班尼斯特喷射撞击试验,bu'lang'si'deng'ban'ni'si'te'pen'she'zhuang'ji'shi'yan
布朗夏普线规,bu'lang'xia'pu'xian'gui
布朗运动,bu'lang'yun'dong
布劳特兰电解抛光法,bu'lao'te'lan'dian'jie'pao'guang'fa
布雷德利杰伊胶片装入法,bu'lei'de'li'jie'yi'jiao'pian'zhuang'ru'fa
布雷德利型照相机,bu'lei'de'li'xing'zhao'xiang'ji
布雷德利照相机,bu'lei'de'li'zhao'xiang'ji
布雷迪纳公司,bu'lei'di'na'gong'si
布雷尔金刚石圆锥压头,bu'lei'er'jin'gang'shi'yuan'zhui'ya'tou
布雷纳德制带分公司,bu'lei'na'de'zhi'dai'fen'gong'si
布里阿雷不锈钢,bu'li'a'lei'bu'xiu'gang
布利克尼质谱仪,bu'li'ke'ni'zhi'pu'yi
布里克斯比重计,bu'li'ke'si'bi'zhong'ji
布里克斯浮计,bu'li'ke'si'fu'ji
布里奇波特厂,bu'li'qi'bo'te'chang
布里奇曼单晶制取法,bu'li'qi'man'dan'jing'zhi'qu'fa
布利斯劳林钢公司,bu'li'si'lao'lin'gang'gong'si
布里斯托尔黄铜,bu'li'si'tuo'er'huang'tong
布里斯托尔金属公司,bu'li'si'tuo'er'jin'shu'gong'si
布里斯托尔铜锌锡合金,bu'li'si'tuo'er'tong'xin'xi'he'jin
布里渊函数,bu'li'yuan'han'shu
布里渊区,bu'li'yuan'qu
布里渊区充填,bu'li'yuan'qu'chong'tian
布里渊区结构,bu'li'yuan'qu'jie'gou
不连贯,bu'lian'guan
不连贯性,bu'lian'guan'xing
布料车,bu'liao'che
布料点,bu'liao'dian
不列颠锡锑铜装饰用合金,bu'lie'dian'xi'ti'tong'zhuang'shi'yong'he'jin
不列颠银,bu'lie'dian'yin
不灵敏的,bu'ling'min'de
不灵敏区,bu'ling'min'qu
不灵敏性,bu'ling'min'xing
布鲁金斯学会,bu'lu'jin'si'xue'hui
布鲁克斯钢管公司,bu'lu'ke'si'gang'guan'gong'si
布伦达洛伊铁镍钴粉末冶金合金,bu'lun'da'luo'yi'tie'nie'gu'fen'mo'ye'jin'he'jin
布伦顿斯穆塞尔伯格公司,bu'lun'dun'si'mu'sai'er'bo'ge'gong'si
布伦顿转动凸底焙烧炉,bu'lun'dun'zhuan'dong'tu'di'bei'shao'lu
布伦纳正火法,bu'lun'na'zheng'huo'fa
布伦诺费克斯发黑氧化处理,bu'lun'nuo'fei'ke'si'fa'hei'yang'hua'chu'li
布洛赫壁,bu'luo'he'bi
布洛赫函数,bu'luo'he'han'shu
布洛赫能带,bu'luo'he'neng'dai
布洛洪光度计,bu'luo'hong'guang'du'ji
布罗卡电流计,bu'luo'ka'dian'liu'ji
布罗姆福德钢铁公司,bu'luo'mu'fu'de'gang'tie'gong'si
不灭的,bu'mie'de
不灭性,bu'mie'xing
不敏感性,bu'min'gan'xing
布纳橡胶,bu'na'xiang'jiao
不能根除的,bu'neng'gen'chu'de
不能根绝的,bu'neng'gen'jue'de
不能共存的,bu'neng'gong'cun'de
不能控制的,bu'neng'kong'zhi'de
不能燃烧的,bu'neng'ran'shao'de
不粘结性,bu'nian'jie'xing
不配套的设备,bu'pei'tao'de'she'bei
不破损检验,bu'po'sun'jian'yan
不恰当的火焰,bu'qia'dang'de'huo'yan
不清晰的,bu'qing'xi'de
不清晰像,bu'qing'xi'xiang
不确切,bu'que'qie
不燃性,bu'ran'xing
不燃性混合物,bu'ran'xing'hun'he'wu
不熔的,bu'rong'de
不溶混的液体,bu'rong'hun'de'ye'ti
不溶混性,bu'rong'hun'xing
不溶碱性氟化物,bu'rong'jian'xing'fu'hua'wu
不溶解的,bu'rong'jie'de
不溶解电极,bu'rong'jie'dian'ji
不溶解化合物,bu'rong'jie'hua'he'wu
不溶解物,bu'rong'jie'wu
不溶解性,bu'rong'jie'xing
不溶解杂质,bu'rong'jie'za'zhi
不熔性,bu'rong'xing
不溶性残渣,bu'rong'xing'can'zha
不溶性单分子层,bu'rong'xing'dan'fen'zi'ceng
不溶性结垢,bu'rong'xing'jie'gou
不溶性铅阳极电解槽,bu'rong'xing'qian'yang'ji'dian'jie'cao
不溶性物质,bu'rong'xing'wu'zhi
不溶阳极,bu'rong'yang'ji
不溶阳极电解,bu'rong'yang'ji'dian'jie
不溶阳极电解槽,bu'rong'yang'ji'dian'jie'cao
不溶阳极电解法,bu'rong'yang'ji'dian'jie'fa
布儒斯特定律,bu'ru'si'te'ding'lv
布瑞波尼合金钢分公司,bu'rui'bo'ni'he'jin'gang'fen'gong'si
布瑞兰钢丝连续电镀法,bu'rui'lan'gang'si'lian'xu'dian'du'fa
布瑞姆波脱硅操作法,bu'rui'mu'bo'tuo'gui'cao'zuo'fa
不烧砖,bu'shao'zhuan
不渗透层,bu'shen'tou'ceng
不渗透地基,bu'shen'tou'di'ji
不渗透石墨,bu'shen'tou'shi'mo
不渗透性,bu'shen'tou'xing
不渗透性覆层,bu'shen'tou'xing'fu'ceng
不渗透性石墨,bu'shen'tou'xing'shi'mo
不渗透性碳,bu'shen'tou'xing'tan
布氏常用对数,bu'shi'chang'yong'dui'shu
不适当,bu'shi'dang
不适当曝光,bu'shi'dang'bao'guang
不适当的,bu'shi'dang'de
布氏对数,bu'shi'dui'shu
布氏漏斗,bu'shi'lou'dou
布氏磨损试验,bu'shi'mo'sun'shi'yan
布氏粘度计,bu'shi'nian'du'ji
布氏体,bu'shi'ti
布氏显微镜,bu'shi'xian'wei'jing
布氏硬度标,bu'shi'ying'du'biao
布氏硬度计,bu'shi'ying'du'ji
布氏硬度机,bu'shi'ying'du'ji
布氏硬度试验机,bu'shi'ying'du'shi'yan'ji
布氏硬度试验球,bu'shi'ying'du'shi'yan'qiu
布氏硬度显示仪,bu'shi'ying'du'xian'shi'yi
布氏硬度值,bu'shi'ying'du'zhi
捕收器,bu'shou'qi
不受影响的,bu'shou'ying'xiang'de
不顺行,bu'shun'xing
布思霍尔电炉,bu'si'huo'er'dian'lu
不炭扩散层,bu'tan'kuo'san'ceng
不透气性,bu'tou'qi'xing
不透水层,bu'tou'shui'ceng
不透水地层,bu'tou'shui'di'ceng
不完全,bu'wan'quan
不完全穿透,bu'wan'quan'chuan'tou
不完全淬火,bu'wan'quan'cui'huo
不完全萃取,bu'wan'quan'cui'qu
不完全反应,bu'wan'quan'fan'ying
不完全分离,bu'wan'quan'fen'li
不完全还原,bu'wan'quan'huan'yuan
不完全混合,bu'wan'quan'hun'he
不完全接地,bu'wan'quan'jie'di
不完全解理,bu'wan'quan'jie'li
不完全平衡,bu'wan'quan'ping'heng
不完全平面,bu'wan'quan'ping'mian
不完全燃烧,bu'wan'quan'ran'shao
不完全熔化,bu'wan'quan'rong'hua
不完全熔化区,bu'wan'quan'rong'hua'qu
不完全熔透焊接,bu'wan'quan'rong'tou'han'jie
不完全烧结,bu'wan'quan'shao'jie
不完全弹性,bu'wan'quan'tan'xing
不完全退火的,bu'wan'quan'tui'huo'de
不完全位错,bu'wan'quan'wei'cuo
不完全位错壁,bu'wan'quan'wei'cuo'bi
不完全系数,bu'wan'quan'xi'shu
不完全氧化,bu'wan'quan'yang'hua
不完善程度,bu'wan'shan'cheng'du
不完整的材料,bu'wan'zheng'de'cai'liao
不完整晶面,bu'wan'zheng'jing'mian
不完整晶体,bu'wan'zheng'jing'ti
不完整位错,bu'wan'zheng'wei'cuo
不完整性理论,bu'wan'zheng'xing'li'lun
不稳定,bu'wen'ding
不稳定平衡,bu'wen'ding'ping'heng
不稳定型,bu'wen'ding'xing
不稳定运转,bu'wen'ding'yun'zhuan
布锡铝合金,bu'xi'lv'he'jin
布线,bu'xian
不相干电子散射,bu'xiang'gan'dian'zi'san'she
不相容的,bu'xiang'rong'de
不相容性,bu'xiang'rong'xing
不行,bu'xing
不氧化涂层,bu'yang'hua'tu'ceng
不用的风口,bu'yong'de'feng'kou
不正确的,bu'zheng'que'de
不正确的轮廓,bu'zheng'que'de'lun'kuo
不准确度,bu'zhun'que'du
捕捉,bu'zhuo
捕捉辊,bu'zhuo'gun
捕捉速度,bu'zhuo'su'du
不足,bu'zu
擦镀,ca'du
擦光,ca'guang
擦光器,ca'guang'qi
擦亮,ca'liang
彩虹色的,cai'hong'se'de
菜花冒口,cai'hua'mao'kou
菜花头,cai'hua'tou
采料场,cai'liao'chang
彩色显像管,cai'se'xian'xiang'guan
材质鉴别仪,cai'zhi'jian'bie'yi
采准矿石,cai'zhun'kuang'shi
残废,can'fei
残钢的凝集,can'gang'de'ning'ji
参考数值中央控制单元,can'kao'shu'zhi'zhong'yang'kong'zhi'dan'yuan
残留产物,can'liu'chan'wu
残留物,can'liu'wu
残渣,can'zha
舱,cang
舱壁,cang'bi
仓容能力,cang'rong'neng'li
槽壁,cao'bi
槽底,cao'di
槽底沉积物,cao'di'chen'ji'wu
槽底电压降,cao'di'dian'ya'jiang
槽电流,cao'dian'liu
槽电流效率,cao'dian'liu'xiao'lv
槽电压,cao'dian'ya
槽电阻,cao'dian'zu
槽法,cao'fa
槽法炭黑,cao'fa'tan'hei
槽法碳黑,cao'fa'tan'hei
槽钢,cao'gang
草黄铁矾,cao'huang'tie'fan
槽帘,cao'lian
槽路,cao'lu
槽螺母,cao'luo'mu
槽内配线,cao'nei'pei'xian
草拟大纲,cao'ni'da'gang
槽设计,cao'she'ji
槽式冷却器,cao'shi'leng'que'qi
槽式冷却装置,cao'shi'leng'que'zhuang'zhi
草酸氢盐,cao'suan'qing'yan
草酸氢酯,cao'suan'qing'zhi
草酸铯,cao'suan'se
草酸铈,cao'suan'shi
槽膛,cao'tang
槽温,cao'wen
槽系统,cao'xi'tong
槽楔钉,cao'xie'ding
槽形断面梁,cao'xing'duan'mian'liang
槽型感应炉,cao'xing'gan'ying'lu
槽形感应炉,cao'xing'gan'ying'lu
槽形钢,cao'xing'gang
槽形屋板面,cao'xing'wu'ban'mian
槽渣,cao'zha
槽砖,cao'zhuan
操作场所,cao'zuo'chang'suo
操作上的联合性,cao'zuo'shang'de'lian'he'xing
测布氏硬度,ce'bu'shi'ying'du
测锤,ce'chui
测径规,ce'jing'gui
侧立板,ce'li'ban
测力计校准,ce'li'ji'jiao'zhun
测平,ce'ping
侧砌弧形砖,ce'qi'hu'xing'zhuan
侧砌砖,ce'qi'zhuan
测试,ce'shi
测湿计,ce'shi'ji
测试频率,ce'shi'pin'lv
测碳,ce'tan
侧压下,ce'ya'xia
测针,ce'zhen
测周器,ce'zhou'qi
侧柱砖,ce'zhu'zhuan
参差断口,cen'ci'duan'kou
层叠冲压钢板,ceng'die'chong'ya'gang'ban
层间电阻,ceng'jian'dian'zu
层间电阻率测试机,ceng'jian'dian'zu'lv'ce'shi'ji
层间绝缘,ceng'jian'jue'yuan
层间温度,ceng'jian'wen'du
插板,cha'ban
查尔玛斯金属单晶制取法,cha'er'ma'si'jin'shu'dan'jing'zhi'qu'fa
查费里老式炼熟铁法,cha'fei'li'lao'shi'lian'shu'tie'fa
查换结晶器,cha'huan'jie'jing'qi
查理定律,cha'li'ding'lv
查米特海军黄铜,cha'mi'te'hai'jun'huang'tong
查米特含锡黄铜,cha'mi'te'han'xi'huang'tong
查帕拉尔钢公司,cha'pa'la'er'gang'gong'si
查佩隆偶数层绕组,cha'pei'long'ou'shu'ceng'rao'zu
查普曼液体渗氮法,cha'pu'man'ye'ti'shen'dan'fa
插入,cha'ru
插入槽,cha'ru'cao
插入法,cha'ru'fa
插入记号,cha'ru'ji'hao
插入件,cha'ru'jian
插入开关,cha'ru'kai'guan
插入式抗裂试验,cha'ru'shi'kang'lie'shi'yan
插入式冷却板,cha'ru'shi'leng'que'ban
插入式冷却器,cha'ru'shi'leng'que'qi
插入式振捣器,cha'ru'shi'zhen'dao'qi
插入型芯,cha'ru'xing'xin
插入增益,cha'ru'zeng'yi
插塞连接,cha'sai'lian'jie
查特电冶炼公司,cha'te'dian'ye'lian'gong'si
插图,cha'tu
插值法,cha'zhi'fa
插装式泵,cha'zhuang'shi'beng
拆毁,chai'hui
拆卸起重机,chai'xie'qi'zhong'ji
铲臂,chan'bi
铲除,chan'chu
颤动极限,chan'dong'ji'xian
铲斗,chan'dou
铲斗齿,chan'dou'chi
铲斗链,chan'dou'lian
铲斗链条,chan'dou'lian'tiao
掺合型砂,chan'he'xing'sha
掺和器,chan'huo'qi
掺入,chan'ru
铲式覆土器,chan'shi'fu'tu'qi
掺碳,chan'tan
铲削用护目镜,chan'xue'yong'hu'mu'jing
掺铟的合金添加剂,chan'yin'de'he'jin'tian'jia'ji
铲运机,chan'yun'ji
掺杂,chan'za
铲凿清理台,chan'zao'qing'li'tai
厂,chang
厂标转让废钢,chang'biao'zhuan'rang'fei'gang
长城特殊钢公司,chang'cheng'te'shu'gang'gong'si
长堤,chang'di
长度矩心,chang'du'ju'xin
长吨,chang'dun
厂房设备,chang'fang'she'bei
厂房设计,chang'fang'she'ji
厂房设施,chang'fang'she'shi
敞开模浇铸,chang'kai'mo'jiao'zhu
敞开退火,chang'kai'tui'huo
敞口锅,chang'kou'guo
厂内尘埃,chang'nei'chen'ai
厂内尘埃处理,chang'nei'chen'ai'chu'li
厂内返回料,chang'nei'fan'hui'liao
厂内反回料仓,chang'nei'fan'hui'liao'cang
厂内废钢铁,chang'nei'fei'gang'tie
厂内含铁尘,chang'nei'han'tie'chen
厂内铁路线,chang'nei'tie'lu'xian
厂内噪音,chang'nei'zao'yin
长焰煤,chang'yan'mei
厂印,chang'yin
长硬壳,chang'ying'ke
常用对数,chang'yong'dui'shu
长余辉管,chang'yu'hui'guan
昌原厂,chang'yuan'chang
超导性破坏,chao'dao'xing'po'huai
超低碳钢丝,chao'di'tan'gang'si
超高频波,chao'gao'pin'bo
超高温温度计,chao'gao'wen'wen'du'ji
超高压力,chao'gao'ya'li
潮间治泽地,chao'jian'zhi'ze'di
潮解性,chao'jie'xing
超静定的,chao'jing'ding'de
超精细分裂,chao'jing'xi'fen'lie
超精细结构光谱,chao'jing'xi'jie'gou'guang'pu
超精细组分,chao'jing'xi'zu'fen
超精细组织,chao'jing'xi'zu'zhi
超空间,chao'kong'jian
超临界的,chao'lin'jie'de
超临界流态化床,chao'lin'jie'liu'tai'hua'chuang
超流态化床,chao'liu'tai'hua'chuang
超滤法,chao'lv'fa
超密切,chao'mi'qie
超声波探伤器,chao'sheng'bo'tan'shang'qi
超碳量渗碳法,chao'tan'liang'shen'tan'fa
超碳量渗碳硬化,chao'tan'liang'shen'tan'ying'hua
超弹性变形,chao'tan'xing'bian'xing
超同步的,chao'tong'bu'de
超压,chao'ya
超子,chao'zi
车,che
车挡,che'dang
车底炉,che'di'lu
车底式炉,che'di'shi'lu
车底式热处理炉,che'di'shi're'chu'li'lu
车底式隧道窑,che'di'shi'sui'dao'yao
车底式退火炉,che'di'shi'tui'huo'lu
车斗,che'dou
车光,che'guang
车间之间运输,che'jian'zhi'jian'yun'shu
车里雅宾斯克钢铁公司,che'li'ya'bin'si'ke'gang'tie'gong'si
车辆,che'liang
车辆荷载,che'liang'he'zai
车辆衡器,che'liang'heng'qi
车辆牵引机,che'liang'qian'yin'ji
车轮,che'lun
车轮矿,che'lun'kuang
车棚,che'peng
车身,che'shen
车身保险螺栓,che'shen'bao'xian'luo'shuan
车身保险螺栓架,che'shen'bao'xian'luo'shuan'jia
车身托架,che'shen'tuo'jia
车身制造,che'shen'zhi'zao
车身装甲材料,che'shen'zhuang'jia'cai'liao
车式堆垛机,che'shi'dui'duo'ji
车式冷却热轧殆卷的运输机,che'shi'leng'que're'zha'dai'juan'de'yun'shu'ji
车式冷却运输机,che'shi'leng'que'yun'shu'ji
车台面,che'tai'mian
车弹簧,che'tan'huang
车体抛光,che'ti'pao'guang
车厢,che'xiang
车箱式炉,che'xiang'shi'lu
车箱试样,che'xiang'shi'yang
车载钢水包,che'zai'gang'shui'bao
车载公差,che'zai'gong'cha
车载批量,che'zai'pi'liang
车制螺栓机,che'zhi'luo'shuan'ji
车铸,che'zhu
车铸法,che'zhu'fa
车装货物,che'zhuang'huo'wu
沉淀铜沉淀器,chen'dian'tong'chen'dian'qi
沉淀铜滤饼,chen'dian'tong'lv'bing
沉淀析出,chen'dian'xi'chu
衬环,chen'huan
沉积金,chen'ji'jin
沉积铜,chen'ji'tong
沉浸式取样器,chen'jin'shi'qu'yang'qi
沉没,chen'mo
沉泥井,chen'ni'jing
衬墙,chen'qiang
辰砂,chen'sha
衬碳化物的拉模,chen'tan'hua'wu'de'la'mo
衬套用磷青铜,chen'tao'yong'lin'qing'tong
衬套轴承,chen'tao'zhou'cheng
衬套装卸工具,chen'tao'zhuang'xie'gong'ju
衬瓦,chen'wa
沉箱,chen'xiang
沉箱基础,chen'xiang'ji'chu
沉箱式尾矿浓缩机,chen'xiang'shi'wei'kuang'nong'suo'ji
沉渣室,chen'zha'shi
沉重的,chen'zhong'de
沉桩的承载能力,chen'zhuang'de'cheng'zai'neng'li
成堆煅烧,cheng'dui'duan'shao
撑杆角铁,cheng'gan'jiao'tie
承接槽,cheng'jie'cao
成块,cheng'kuai
成块文件,cheng'kuai'wen'jian
撑墙,cheng'qiang
城市布局,cheng'shi'bu'ju
城市公用事业,cheng'shi'gong'yong'shi'ye
城市规划,cheng'shi'gui'hua
城市环境卫生措施,cheng'shi'huan'jing'wei'sheng'cuo'shi
城市煤气,cheng'shi'mei'qi
承受,cheng'shou
成套挤压设备,cheng'tao'ji'ya'she'bei
成套设备,cheng'tao'she'bei
撑头,cheng'tou
撑系框架结构,cheng'xi'kuang'jia'jie'gou
成象,cheng'xiang
成型压力,cheng'xing'ya'li
成形圆铣刀,cheng'xing'yuan'xi'dao
程序间通信,cheng'xu'jian'tong'xin
程序块结构,cheng'xu'kuai'jie'gou
程序块首部,cheng'xu'kuai'shou'bu
成穴,cheng'xue
成穴断裂,cheng'xue'duan'lie
成穴蠕变断裂,cheng'xue'ru'bian'duan'lie
撑压模,cheng'ya'mo
承压墙,cheng'ya'qiang
承影幕,cheng'ying'mu
承载梁,cheng'zai'liang
承载螺栓,cheng'zai'luo'shuan
承载能力,cheng'zai'neng'li
承重墙,cheng'zhong'qiang
撑子,cheng'zi
尺寸,chi'cun
尺寸减缩指数,chi'cun'jian'suo'zhi'shu
弛度控制,chi'du'kong'zhi
尺度索结扣,chi'du'suo'jie'kou
齿根高度,chi'gen'gao'du
齿间,chi'jian
炽热,chi're
齿条式推钢机,chi'tiao'shi'tui'gang'ji
冲裁工具,chong'cai'gong'ju
冲锤,chong'chui
冲点,chong'dian
充电电感,chong'dian'dian'gan
充电电流,chong'dian'dian'liu
充电电压,chong'dian'dian'ya
充电回路,chong'dian'hui'lu
充电机组,chong'dian'ji'zu
充电时间,chong'dian'shi'jian
充电时间常数,chong'dian'shi'jian'chang'shu
充电特性,chong'dian'te'xing
充分干燥,chong'fen'gan'zao
充分混合,chong'fen'hun'he
冲击,chong'ji
冲击摆,chong'ji'bai
冲击板,chong'ji'ban
冲击板式流量计,chong'ji'ban'shi'liu'liang'ji
冲击操纵,chong'ji'cao'zong
冲击成形,chong'ji'cheng'xing
冲击脆性,chong'ji'cui'xing
冲击刀口,chong'ji'dao'kou
冲击点,chong'ji'dian
冲击锻,chong'ji'duan
冲击断裂,chong'ji'duan'lie
冲击放电,chong'ji'fang'dian
冲击腐蚀,chong'ji'fu'shi
冲击腐蚀试验,chong'ji'fu'shi'shi'yan
冲击荷载,chong'ji'he'zai
冲击机,chong'ji'ji
冲击挤压,chong'ji'ji'ya
冲击角,chong'ji'jiao
冲击拉力机,chong'ji'la'li'ji
冲击拉力试验,chong'ji'la'li'shi'yan
冲击拉伸应力,chong'ji'la'shen'ying'li
冲击浪,chong'ji'lang
冲击力,chong'ji'li
冲击面,chong'ji'mian
冲击能吸收,chong'ji'neng'xi'shou
冲击扭力试验,chong'ji'niu'li'shi'yan
冲击疲劳强度,chong'ji'pi'lao'qiang'du
冲击器,chong'ji'qi
冲击强度,chong'ji'qiang'du
冲击圈,chong'ji'quan
冲击韧性,chong'ji'ren'xing
冲积砂层,chong'ji'sha'ceng
冲击试件,chong'ji'shi'jian
冲击式磨机,chong'ji'shi'mo'ji
冲击式破碎机,chong'ji'shi'po'sui'ji
冲击式压力机,chong'ji'shi'ya'li'ji
冲击试验机,chong'ji'shi'yan'ji
冲击式震动筛,chong'ji'shi'zhen'dong'shai
冲击撕裂试验,chong'ji'si'lie'shi'yan
冲击速度,chong'ji'su'du
冲击速降,chong'ji'su'jiang
冲击台,chong'ji'tai
冲击弹性,chong'ji'tan'xing
冲击调制器,chong'ji'tiao'zhi'qi
冲击弯曲试验,chong'ji'wan'qu'shi'yan
冲击位置,chong'ji'wei'zhi
冲击系数,chong'ji'xi'shu
冲击消泡器,chong'ji'xiao'pao'qi
冲击效应,chong'ji'xiao'ying
冲击性能,chong'ji'xing'neng
冲击压缩试验,chong'ji'ya'suo'shi'yan
冲击液压成形,chong'ji'ye'ya'cheng'xing
冲击硬度,chong'ji'ying'du
冲击硬度试验,chong'ji'ying'du'shi'yan
冲击硬度试验机,chong'ji'ying'du'shi'yan'ji
冲击应力,chong'ji'ying'li
冲击值,chong'ji'zhi
冲击阻力,chong'ji'zu'li
冲击钻钻头,chong'ji'zuan'zuan'tou
冲坑,chong'keng
冲孔标记,chong'kong'biao'ji
冲力矩,chong'li'ju
冲量,chong'liang
冲量容积比,chong'liang'rong'ji'bi
冲料压力机,chong'liao'ya'li'ji
充满,chong'man
充气,chong'qi
充气充程,chong'qi'chong'cheng
充气阀,chong'qi'fa
充气混凝土,chong'qi'hun'ning'tu
充气活门,chong'qi'huo'men
充气机,chong'qi'ji
充气压气机,chong'qi'ya'qi'ji
冲突,chong'tu
冲窝,chong'wo
冲洗沉淀器,chong'xi'chen'dian'qi
冲洗管,chong'xi'guan
充型,chong'xing
冲压模,chong'ya'mo
冲眼,chong'yan
充液泵,chong'ye'beng
充有惰性气体的,chong'you'duo'xing'qi'ti'de
充有惰性气体的仓室,chong'you'duo'xing'qi'ti'de'cang'shi
充有惰性气体的料仓,chong'you'duo'xing'qi'ti'de'liao'cang
冲震试验,chong'zhen'shi'yan
冲钻,chong'zuan
畴壁位移,chou'bi'wei'yi
抽风机,chou'feng'ji
抽风冷却塔,chou'feng'leng'que'ta
抽风强度,chou'feng'qiang'du
抽风扇,chou'feng'shan
抽风装置,chou'feng'zhuang'zhi
抽气,chou'qi
抽气式汽轮机,chou'qi'shi'qi'lun'ji
抽气透平,chou'qi'tou'ping
初步的,chu'bu'de
除尘系统,chu'chen'xi'tong
初次分析,chu'ci'fen'xi
初次压轧,chu'ci'ya'zha
储碘器,chu'dian'qi
初电容,chu'dian'rong
初锻,chu'duan
触发电极,chu'fa'dian'ji
触发法,chu'fa'fa
初发故障,chu'fa'gu'zhang
触发器,chu'fa'qi
初沸点,chu'fei'dian
初轧轧槽,chu'ga'ga'cao
出钢间隔,chu'gang'jian'ge
除镉塔,chu'ge'ta
初加速度,chu'jia'su'du
初键,chu'jian
出料加热炉,chu'liao'jia're'lu
出料式加热炉,chu'liao'shi'jia're'lu
初裂,chu'lie
触媒的,chu'mei'de
触媒剂,chu'mei'ji
触媒燃烧装置,chu'mei'ran'shao'zhuang'zhi
触媒作用,chu'mei'zuo'yong
初凝,chu'ning
除泡勺,chu'pao'shao
初期变形温度,chu'qi'bian'xing'wen'du
初期的,chu'qi'de
初期反应,chu'qi'fan'ying
初期故障,chu'qi'gu'zhang
初期还原,chu'qi'huan'yuan
初期冷却作用,chu'qi'leng'que'zuo'yong
初期偏差,chu'qi'pian'cha
储气瓶,chu'qi'ping
初期蠕变,chu'qi'ru'bian
初期烧结,chu'qi'shao'jie
初期粘结力,chu'qi'zhan'jie'li
除去鼓风中水分,chu'qu'gu'feng'zhong'shui'fen
初熔,chu'rong
初熔温度,chu'rong'wen'du
出砂,chu'sha
初始,chu'shi
初始焙烧温度,chu'shi'bei'shao'wen'du
初始长度,chu'shi'chang'du
初始磁导率,chu'shi'ci'dao'lv
初始电感,chu'shi'dian'gan
初始电压响应,chu'shi'dian'ya'xiang'ying
初始动态磁导率,chu'shi'dong'tai'ci'dao'lv
初始负载,chu'shi'fu'zai
初始功率,chu'shi'gong'lv
初始鼓风,chu'shi'gu'feng
初始加载,chu'shi'jia'zai
初始切向模量,chu'shi'qie'xiang'mo'liang
初始水平,chu'shi'shui'ping
初始位置,chu'shi'wei'zhi
初始压力,chu'shi'ya'li
初始硬度,chu'shi'ying'du
初始载荷,chu'shi'zai'he
初速,chu'su
初速度,chu'su'du
初酸洗,chu'suan'xi
初态,chu'tai
初台产物,chu'tai'chan'wu
除铁,chu'tie
出铁,chu'tie
除铁槽,chu'tie'cao
出铁槽口,chu'tie'cao'kou
出铁场,chu'tie'chang
出铁场班组,chu'tie'chang'ban'zu
出铁场补炉材料,chu'tie'chang'bu'lu'cai'liao
出铁场地面,chu'tie'chang'di'mian
出铁场吊车,chu'tie'chang'diao'che
出铁场废铁,chu'tie'chang'fei'tie
出铁场结构,chu'tie'chang'jie'gou
出铁场控制盘,chu'tie'chang'kong'zhi'pan
出铁场流槽系统,chu'tie'chang'liu'cao'xi'tong
出铁场清理,chu'tie'chang'qing'li
出铁场设备,chu'tie'chang'she'bei
出铁场用工具,chu'tie'chang'yong'gong'ju
出铁场栈桥,chu'tie'chang'zhan'qiao
出铁场照明,chu'tie'chang'zhao'ming
出铁程序,chu'tie'cheng'xu
出铁间隔,chu'tie'jian'ge
出铁口,chu'tie'kou
出铁口泥套,chu'tie'kou'ni'tao
出铁口喷火,chu'tie'kou'pen'huo
出铁前的一次出渣,chu'tie'qian'de'yi'ci'chu'zha
出铁时间表,chu'tie'shi'jian'biao
初退火的,chu'tui'huo'de
初温,chu'wen
初相,chu'xiang
储箱闸门,chu'xiang'zha'men
雏形锻造,chu'xing'duan'zao
初选槽,chu'xuan'cao
初压,chu'ya
初应力,chu'ying'li
除渣,chu'zha
初轧板坯,chu'zha'ban'pi
初轧车间,chu'zha'che'jian
初轧方坯,chu'zha'fang'pi
初轧方坯仓库,chu'zha'fang'pi'cang'ku
初轧方坯加热炉,chu'zha'fang'pi'jia're'lu
初轧方坯剪切机,chu'zha'fang'pi'jian'qie'ji
初轧方坯钳,chu'zha'fang'pi'qian
初轧方坯切割器,chu'zha'fang'pi'qie'ge'qi
初轧方坯切头,chu'zha'fang'pi'qie'tou
初轧方坯推出机,chu'zha'fang'pi'tui'chu'ji
初轧方坯修整工段,chu'zha'fang'pi'xiu'zheng'gong'duan
初轧方坯用钢锭,chu'zha'fang'pi'yong'gang'ding
初轧方坯用夹头,chu'zha'fang'pi'yong'jia'tou
出渣工,chu'zha'gong
初轧机,chu'zha'ji
初轧机架,chu'zha'ji'jia
初轧机轧辊,chu'zha'ji'zha'gun
初轧机组,chu'zha'ji'zu
初轧机座,chu'zha'ji'zuo
出渣口,chu'zha'kou
出渣口铁渣,chu'zha'kou'tie'zha
初轧坯翻转机,chu'zha'pi'fan'zhuan'ji
初轧轧辊,chu'zha'zha'gun
初真空,chu'zhen'kong
氚,chuan
